start,end,cagr_port,cagr_sp500,cagr_world,mdd_port,mdd_sp500,mdd_world,vol_port,sharpe_port,sharpe_sp500,sharpe_world,sortino_port,calmar_port,window
2003-04-30,2008-03-31,0.1896739350147969,0.09627150638892701,0.09627150638892701,-0.13608896827438233,-0.13787764141944336,-0.13787764141944336,0.12196917696530178,1.4940030594641793,1.1095253255620776,1.109525325562079,2.620727203746344,1.3937495259158454,5y
2003-07-31,2008-06-30,0.1680504087914354,0.0725496859087944,0.0725496859087944,-0.1327950988281208,-0.15976107639936687,-0.15976107639936687,0.12406450284522608,1.3210799967939246,0.7861789531972334,0.786178953197234,2.322447066810354,1.2654865298074458,5y
2003-10-31,2008-09-30,0.10376092698509609,0.039435307488587146,0.039435307488587146,-0.25222435915165353,-0.23407213614797673,-0.23407213614797673,0.13678488018780832,0.7929423927798085,0.42879448480456245,0.42879448480456167,1.0967035396054745,0.4113834497750011,5y
2004-01-31,2008-12-31,0.029212108409552684,-0.02655134637169554,-0.02655134637169554,-0.43766763707146117,-0.4051003750674105,-0.40510037506741037,0.16671672953319835,0.25932649332459673,-0.14095217652143885,-0.14095217652143857,0.2785256184147841,0.06674495881170901,5y
2004-04-30,2009-03-31,0.02381544739132102,-0.046222997313377756,-0.046222997313377756,-0.4870846406488635,-0.5078480798152895,-0.5078480798152896,0.17629509611948957,0.22448826797388152,-0.24471632427779721,-0.24471632427779658,0.2587222135144068,0.04889385828219831,5y
2004-07-31,2009-06-30,0.06187682739322509,-0.017014790137574787,-0.017014790137574787,-0.48625390426832094,-0.5078480798152895,-0.5078480798152895,0.1852984544585389,0.41942063995483525,-0.030726140733605786,-0.030726140733605793,0.5021339745475413,0.12725209371086238,5y
2004-10-31,2009-09-30,0.07840448826817936,0.006831121773202886,0.006831121773202886,-0.48325606796517084,-0.5078480798152895,-0.5078480798152896,0.18738664667280389,0.4995171525447826,0.12422441615425223,0.12422441615425261,0.6085882621134875,0.16224211854869067,5y
2005-01-31,2009-12-31,0.07909229570785925,0.008621830574989886,0.008621830574989886,-0.4749840055639528,-0.5078480798152895,-0.5078480798152896,0.18433568741624762,0.5081121303818578,0.13535379856712026,0.13535379856711993,0.6155529017643674,0.16651570322657971,5y
2005-04-30,2010-03-31,0.0868500431611523,0.022977198016427725,0.022977198016427725,-0.47667873569843255,-0.5078480798152895,-0.5078480798152896,0.185894876916152,0.5442055620914966,0.22195316390322664,0.22195316390322664,0.6572552559570586,0.18219827455466225,5y
2005-07-31,2010-06-30,0.04661940891657412,-0.016069500868283737,-0.016069500868283737,-0.4693617606174473,-0.5078480798152895,-0.5078480798152896,0.18506885943277399,0.34072543571309605,-0.010204136729734317,-0.010204136729734182,0.4291260045636975,0.09932511088088238,5y
