,Portafoglio,S&P 500 TR,MSCI World TR,MSCI ACWI IMI TR
1995-07-31,0.042054567271307935,0.03216503019727002,0.04980888789455307,0.04893089136192552
1995-08-31,-0.001681558348930303,0.004452235281202643,-0.02249369672229584,-0.01718507341036002
1995-09-30,0.0226147461405904,0.042376193652792216,0.02890998753323948,0.02385668617600989
1995-10-31,-0.013691662909444919,-0.0029386059270364306,-0.015959573953760464,-0.02010464155342373
1995-11-30,0.022191865411095094,0.04447968955783321,0.034503648024577505,0.028260972769491577
1995-12-31,0.019066817449888075,0.015733385122761456,0.029025806172637836,0.02916805853165738
1996-01-31,0.026025406161859017,0.035577870283707735,0.01788332995025055,0.018076215658488826
1996-02-29,0.011307622668641378,0.0031903731964040283,0.005884600260013917,0.008092254815306177
1996-03-31,0.013586376986259916,0.017218262463638112,0.016433355314963594,0.015509496738429052
1996-04-30,0.03711783296013871,0.010869655935482614,0.023309115596350294,0.03135547087642898
1996-05-31,0.021211640666144893,0.022699771761868437,0.000664104325238446,0.002479507240897627
1996-06-30,-0.012529596624564309,0.008822129345675167,0.004856172806501968,0.0003844750446309053
1996-07-31,-0.058539911743777914,-0.04493622558950283,-0.035541594114024466,-0.043003040347020405
1996-08-31,0.03353081300523468,0.019259297681414767,0.011286359476686991,0.015424401249299668
1996-09-30,0.039157323437976455,0.055871920530475405,0.038946151721692246,0.032937080729225965
1996-10-31,0.006197767846735913,0.03233190571489808,0.006782856058920483,-0.0016632361405116702
1996-11-30,0.044185922668466604,0.07300347148181952,0.055841359271025626,0.045097004607169255
1996-12-31,-5.6331021293576236e-05,-0.023797506484812936,-0.016202798951550745,-0.013220420594498128
1997-01-31,0.04477224413525183,0.061786145676082205,0.011864100410846623,0.010616651704183244
1997-02-28,-0.003858988849171976,0.009565422367674437,0.01131437411184888,0.010160576961389722
1997-03-31,-0.03109537792789742,-0.04412246007311238,-0.019967027265066384,-0.022622649564716824
1997-04-30,0.02047865092053959,0.06260355731479872,0.03249674725871676,0.018714063916967616
1997-05-31,0.06888678238149222,0.06320771501672895,0.06154106323822939,0.0686549356003141
1997-06-30,0.037178382154029584,0.04110179368305822,0.049703655486655896,0.046371609628024
1997-07-31,0.06079021041700634,0.07926379816581108,0.04589346753786505,0.03922116192171177
1997-08-31,-0.04409738691131803,-0.05180342906547486,-0.06705264000981936,-0.0586147358035386
1997-09-30,0.05504099105559833,0.04809087082899666,0.05415836042617128,0.04781502831068907
1997-10-31,-0.06397767405720822,-0.024503215570859882,-0.052792648056592784,-0.058630153696023535
1997-11-30,-0.0018193620802331582,0.03869628723700158,0.017525582683333152,0.0032696888612455677
1997-12-31,0.007838695983713902,0.01907185335426731,0.012020011588197654,0.009559686151263236
1998-01-31,-0.00426258794539071,0.012878812690204855,0.02770200997478378,0.018032136734641657
1998-02-28,0.07607786272268417,0.06929344819696048,0.06748240348691081,0.07084257508068847
1998-03-31,0.04235702796630498,0.048784103210970375,0.04207294231371761,0.041541082426942655
1998-04-30,0.014010639634970259,0.012790855314106064,0.00962204690801216,0.008833537396059521
1998-05-31,-0.05157167666319488,-0.020768192934107588,-0.01268176189966197,-0.020257994862439954
1998-06-30,0.010761616871452809,0.04257293932241413,0.023580727023254422,0.01030138485419041
1998-07-31,-0.008272479206793195,-0.013513152942169704,-0.001752771386739238,-0.00703702241052806
1998-08-31,-0.17894146936527552,-0.14118021215436338,-0.1335027255004123,-0.14692898145324873
1998-09-30,0.07798834292549914,0.0636391774559868,0.017514097577699284,0.02149694962214377
1998-10-31,0.052313803037153085,0.08108130082583398,0.09022835931010031,0.08580388986327425
1998-11-30,0.06309477995236165,0.05568193055956372,0.05931254701722488,0.05606296249592191
1998-12-31,0.05906335882769658,0.06542223518970203,0.04870297341196106,0.04729647768798051
1999-01-31,0.03563373825365828,0.035225146185115186,0.021751548169187895,0.018122853182086285
1999-02-28,-0.03973196732088809,-0.032068194247792614,-0.02674333550411856,-0.028440601803134236
1999-03-31,0.06493036421275322,0.0414679220721661,0.04149002969430482,0.04540082257545164
1999-04-30,0.06557684244369844,0.03797510602327736,0.039281018426712944,0.050406814248036724
1999-05-31,-0.020485222648282425,-0.022866547893683697,-0.03667581799907882,-0.030225277535726347
1999-06-30,0.0637630428917991,0.05537891359173397,0.04650122226665787,0.051084782802911066
1999-07-31,-0.01783014881109621,-0.03102226626603155,-0.003134773563744253,-0.0011850549048197934
1999-08-31,0.009043841922785576,-0.005178381375714358,-0.0019135450124480036,0.002230546541180267
1999-09-30,-0.002907877015416995,-0.022337078701671564,-0.00983243463521044,-0.005824396169973767
1999-10-31,0.039982105125654956,0.0640773691192813,0.05184276346810557,0.04814923701296059
1999-11-30,0.07007569801723681,0.01665182105655716,0.02800277964776643,0.043507011421667796
1999-12-31,0.12655956435668175,0.05710966956072139,0.08081725988662214,0.08422105361159749
2000-01-31,-0.0233976035037122,-0.04978752422071353,-0.057381354663323614,-0.04618544535915703
2000-02-29,0.071629556045113,-0.015226608938380792,0.0025770237597146917,0.028418257034865668
2000-03-31,0.005410042249069215,0.09691483801238499,0.06899455267288346,0.039635833775739426
2000-04-30,-0.07855678313367374,-0.03512039583697624,-0.04239697087995786,-0.06144339417644529
2000-05-31,-0.04173374842156191,-0.01572259634189599,-0.02543608977256695,-0.035558938354281144
2000-06-30,0.05852103496492124,0.0196810642518932,0.03354811530852797,0.04510400537731196
2000-07-31,-0.03688330593746772,-0.015702128099635337,-0.02827072936698094,-0.03297892805563274
2000-08-31,0.05685533708621564,0.06534178093369047,0.03240463274012373,0.04624150452646525
2000-09-30,-0.06622952749380187,-0.05486255986891808,-0.053290076627490635,-0.052538375746017496
2000-10-31,-0.045675361448376875,-0.004678258346561548,-0.016877538475462806,-0.03255875252352802
2000-11-30,-0.10497734282100757,-0.07465272743274676,-0.060838470909911124,-0.0736389587229247
2000-12-31,0.017608942121162194,-0.0052266306176617094,0.016043154242844304,0.02123471149234546
2001-01-31,0.06356603227909277,0.04445946622372832,0.019256612664429795,0.028670591739020646
2001-02-28,-0.10402718154399057,-0.0953878243557732,-0.0846226172502954,-0.08613424324130825
2001-03-31,-0.07854663712342425,-0.05603730765693893,-0.06585093888116678,-0.07161507289969504
2001-04-30,0.08183090036084488,0.08543984759158674,0.07371419531326007,0.07532258608858022
2001-05-31,0.0030007378419571336,-0.0056050817637033346,-0.013030845323200202,-0.007542906163527152
2001-06-30,-0.004994275711206551,-0.02382964797967435,-0.03147192965886625,-0.027368572698539984
2001-07-31,-0.03881856446171785,-0.010195680279542096,-0.013366329737252602,-0.02387218554410553
2001-08-31,-0.04185871706773611,-0.05933257432654604,-0.04814650003256582,-0.04231317970610604
2001-09-30,-0.107455153787049,-0.08163079142336449,-0.08824929743458954,-0.09869515567123244
2001-10-31,0.04560317403402969,0.01302232342783749,0.01909506280524864,0.028873096011404753
2001-11-30,0.07010726639955453,0.07797724727579425,0.05900819755710951,0.059938781846254896
2001-12-31,0.03527239916688668,0.005638930507165574,0.006185140878631312,0.013369662013528849
2002-01-31,0.0009143972999452476,-0.009798353080648914,-0.030397288868246553,-0.026438922190537117
2002-02-28,-0.02041209652646284,-0.017936308587295335,-0.008795217236133523,-0.008008193503778904
2002-03-31,0.05477722547557541,0.0332710790133941,0.044049987956103154,0.050503975156776626
2002-04-30,-0.028209406476749833,-0.058155282541233366,-0.0339897551001731,-0.021719552186009183
2002-05-31,-0.013030189220937589,-0.005934257280782451,0.0016673422793425097,0.0019115525794231036
2002-06-30,-0.058861129542523455,-0.07380750173483264,-0.060846788665215534,-0.06086764832112124
2002-07-31,-0.08926614553246179,-0.07881945551906955,-0.08437775283114268,-0.08490807078476847
2002-08-31,0.00473711054656499,0.006800755632310418,0.0017076710319370303,0.00318935459267089
2002-09-30,-0.08340792382846833,-0.10485208013636504,-0.11010032656264346,-0.10380985352983385
2002-10-31,0.061725598355072735,0.08228384997946336,0.07368406014314965,0.06545286525137861
2002-11-30,0.06257426274612671,0.06168108645618453,0.05376395462908423,0.053950552041689415
2002-12-31,-0.037133317685563313,-0.05656981745915468,-0.04858613994135297,-0.044726753532923436
2003-01-31,-0.010003258351760084,-0.024595143090887395,-0.030474120977102337,-0.02864755574280986
2003-02-28,-0.0118180785119918,-0.013478542557061157,-0.017501482464606033,-0.017597084437896537
2003-03-31,-0.006104028017811292,0.0021396586064101886,-0.0033008358486478206,-0.0026195056977948994
2003-04-30,0.07504182947736436,0.08461194082751855,0.088618372811482,0.08692544725218743
2003-05-31,0.07843752241410756,0.05483644703550539,0.05693396402622386,0.0628772693040156
2003-06-30,0.013843402502532338,0.010651314426484149,0.017180898944659573,0.019822666341283712
2003-07-31,0.04215659134844952,0.018027182136024944,0.020190010212275178,0.023551538406639594
2003-08-31,0.042049489897893894,0.020625704164208614,0.021482218245117757,0.026651791756729715
2003-09-30,-0.0023785333725434184,-0.010905809588056758,0.006018371872030359,0.00702931177065147
2003-10-31,0.06440074232596842,0.053526675071620566,0.05924211603473428,0.06210216667294799
2003-11-30,0.01784169255530967,0.010921045398071483,0.015114366103534449,0.016096891370728894
2003-12-31,0.05124786322792556,0.05031275463791762,0.06266037990290507,0.0584545200564639
2004-01-31,0.025147672230998962,0.019770374416551606,0.01604588059497236,0.020362340609897833
2004-02-29,0.013415890032640319,0.013570644361647677,0.016745270710005755,0.01976708367866875
2004-03-31,0.00031606127516689244,-0.013245283241920092,-0.006635614185868222,-0.0013601287032215525
2004-04-30,-0.041134916023658215,-0.018921897840900037,-0.020481467970296485,-0.026462542175459847
2004-05-31,0.0131916158134386,0.01712323061140464,0.009111006205511751,0.00782583021776384
2004-06-30,0.023829022894966877,0.01850154779861568,0.020528811826597382,0.022036493577940686
2004-07-31,-0.03531409289547115,-0.03221885980234196,-0.032649903525320934,-0.03426685887126957
2004-08-31,0.0049258478484509715,0.0024362610443076083,0.004395219435098241,0.00537538848614183
2004-09-30,0.04013293720721403,0.010037277846093762,0.018917543914197976,0.02287301238568662
2004-10-31,0.025879858666840033,0.01288435349460082,0.024470421531105124,0.024289602539878663
2004-11-30,0.06930067314001535,0.04451803199817217,0.05253124475225013,0.056585011033585486
2004-12-31,0.02746894547950194,0.030120684519751473,0.0381731111544954,0.03953490896179357
2005-01-31,-0.021683254118701416,-0.02242114503356929,-0.022514368519943706,-0.020049310385458874
2005-02-28,0.04739119183998257,0.020903986212264414,0.03167802302041145,0.03443504996156799
2005-03-31,-0.03455016227237975,-0.01829278980228799,-0.01941144346705992,-0.021936968551960034
2005-04-30,-0.029699245241775654,-0.018735143199577586,-0.021789260219858386,-0.023983030448910814
