Date,port_lump,sp500_lump,world_lump,port_pac,port_pac_contributions,sp500_pac,world_pac
2003-04-30,10000.0,10000.0,10000.0,200.0,200.0,200.0,200.0
2003-05-31,10769.883300140791,10548.362239823395,10548.362239823395,415.39766600281587,400.0,410.9672447964679,410.9672447964679
2003-06-30,10930.535463539496,10660.718597399951,10660.718597399951,621.6162227809539,600.0,615.3446809954523,615.3446809954524
2003-07-31,11241.312213240602,10852.897310362572,10852.89731036257,839.1486953734972,800.0,826.4373805861668,826.4373805861669
2003-08-31,11687.024175777166,11076.74927065266,11076.74927065266,1071.9459305828818,1000.0,1043.4834856409502,1043.4834856409504
2003-09-30,11587.985771475904,10955.94485725868,10955.94485725868,1263.0977177058364,1200.0,1232.1031241929268,1232.1031241929268
2003-10-31,12300.684332743102,11542.384740335257,11542.384740335257,1539.5964073902023,1400.0,1498.0540231344519,1498.0540231344517
2003-11-30,12506.80082619955,11668.43342931383,11668.43342931383,1765.3389317480912,1600.0,1714.413532012657,1714.4135320126568
2003-12-31,13259.43460257612,12255.51381527378,12255.51381527378,2071.5417977165944,1800.0,2000.6717743179513,2000.6717743179515
2004-01-31,13553.952076906591,12497.799853608383,12497.799853608383,2317.3482929231895,2000.0,2240.224162370686,2240.2241623706864
2004-02-29,13763.74725657992,12667.405270288104,12667.405270288104,2552.520335843529,2200.0,2470.6258456241717,2470.6258456241717
2004-03-31,13628.02782625847,12499.621362796466,12499.621362796466,2725.759321850531,2400.0,2637.9016018280918,2637.9016018280918
2004-04-30,13142.14977579664,12263.108711124023,12263.108711124023,2835.3300960234983,2600.0,2787.9883216901594,2787.9883216901594
2004-05-31,13351.38398465487,12473.09618903949,12473.09618903949,3079.427089290946,2800.0,3035.7284706132814,3035.728470613281
2004-06-30,13677.838850337921,12703.86709944915,12703.86709944915,3354.830916791346,3000.0,3291.893981750408,3291.893981750408
2004-07-31,13162.617491722269,12294.561706471834,12294.561706471832,3429.9277986701527,3200.0,3385.8325794000602,3385.8325794000607
2004-08-31,13193.016309820438,12324.510912441294,12324.510912441296,3636.0707924227277,3400.0,3594.080372181904,3594.0803721819043
2004-09-30,13715.34534075791,12448.211512786165,12448.211512786165,3973.799794012199,3600.0,3830.154006493657,3830.1540064936576
2004-10-31,14057.826867883909,12608.608118247466,12608.608118247465,4270.838768670339,3800.0,4079.505971665887,4079.5059716658875
2004-11-30,14944.199339079218,13169.907630243762,13169.90763024376,4731.763649813459,4000.0,4461.114019882419,4461.11401988242
2004-12-31,15330.51113553647,13566.601698661749,13566.601698661749,5052.146118267327,4200.0,4795.4883465602825,4795.488346560285
2005-01-31,14976.412861496077,13262.424854043507,13262.424854043507,5131.872252785869,4400.0,4887.968678329429,4887.968678329431
2005-02-28,15757.838156465641,13539.660071448983,13539.660071448983,5587.546388234484,4600.0,5190.145849858862,5190.145849858864
2005-03-31,15243.061710296724,13291.980391244731,13291.980391244733,5616.710015957289,4800.0,5295.203018390206,5295.203018390209
2005-04-30,14870.628251874057,13042.951351211086,13042.951351211086,5683.538615510529,5000.0,5395.9958810307835,5395.995881030785
2005-05-31,15420.795741386582,13463.256685011505,13463.256685011507,6091.312670485215,5200.0,5769.880287166496,5769.880287166498
2005-06-30,15689.868912600028,13483.65657526526,13483.65657526526,6386.711218876765,5400.0,5978.622965657247,5978.622965657248
2005-07-31,16574.1527330621,13999.561394764649,13999.561394764649,6934.748206216984,5600.0,6407.374001011439,6407.374001011442
2005-08-31,16692.98714476073,13868.32286028841,13868.32286028841,7177.252700618657,5800.0,6547.308235376213,6547.308235376215
2005-09-30,17338.55887868013,13979.620995709834,13979.620995709833,7634.191335120695,6000.0,6799.85267106377,6799.852671063772
2005-10-31,16612.441069684988,13648.991128845193,13648.991128845193,7531.615617931263,6200.0,6839.030400987712,6839.030400987714
2005-11-30,17362.494987936872,14248.896762264254,14248.896762264254,8068.330052589839,6400.0,7339.622058345164,7339.622058345166
2005-12-31,17731.34955049929,14221.629820345905,14221.629820345903,8423.742046283087,6600.0,7525.576827215582,7525.576827215585
2006-01-31,19228.076371634168,14563.145704595894,14563.145704595894,9287.606332930682,6800.0,7906.294793939825,7906.294793939827
2006-02-28,18734.60061703919,14646.530066135721,14646.530066135721,9272.620478164636,7000.0,8151.563951916475,8151.563951916478
2006-03-31,19210.231890685172,14888.257879625331,14888.257879625331,9701.496338297662,7200.0,8486.098187788042,8486.098187788044
2006-04-30,19903.18252469071,15076.32775393297,15076.32775393297,10226.899672745743,7400.0,8793.295378516696,8793.2953785167
2006-05-31,18688.296095128368,14622.20614635934,14622.20614635934,9840.26208188024,7600.0,8728.428131111566,8728.428131111568
2006-06-30,18719.005619769112,14660.343915871339,14660.343915871339,10048.448677430515,7800.0,8951.193695824199,8951.1936958242
2006-07-31,18865.631646262664,14726.004322128647,14726.004322128649,10317.59079841214,8000.0,9191.284093288843,9191.284093288847
2006-08-31,19122.320068062123,15047.362086976118,15047.362086976118,10672.221289142155,8200.0,9591.860600512799,9591.8606005128
2006-09-30,19205.496386891606,15453.66369864466,15453.663698644661,10941.609933699037,8400.0,10050.855392979542,10050.855392979545
2006-10-31,20093.11284219505,15940.710445545072,15940.710445545072,11619.580789395673,8600.0,10567.624058208517,10567.624058208521
2006-11-30,20997.45320370795,16257.689752934873,16257.689752934873,12312.137602121988,8800.0,10977.76012248054,10977.760122480542
2006-12-31,21279.251270432116,16475.0835201203,16475.0835201203,12646.136418201924,9000.0,11324.551989255657,11324.551989255659
2007-01-31,21499.623132284112,16722.86699723451,16722.86699723451,12996.379222191203,9200.0,11694.872028315338,11694.87202831534
2007-02-28,21087.479214191102,16394.80926843115,16394.80926843115,12961.764780776599,9400.0,11665.450054386494,11665.450054386496
2007-03-31,21691.863135051935,16584.806980468777,16584.806980468777,13487.076300031047,9600.0,12000.639722282809,12000.639722282815
2007-04-30,22636.85065771643,17319.44480045519,17319.44480045519,14285.307557800093,9800.0,12732.21804058356,12732.218040583566
2007-05-31,23532.800621933744,17906.923918447275,17906.923918447275,15015.918632299703,10000.0,13364.097486532566,13364.09748653257
