date,strategia,nasdaq
1975-01-02,10000.0,10000.0
1975-01-03,10109.220751868976,10087.552555309809
1975-01-06,10232.034928510626,10171.8148385297
1975-01-07,10265.921556497004,10196.769510876256
1975-01-08,10162.294388172206,10132.757420770737
1975-01-09,10379.466174185583,10276.339947357004
1975-01-10,10728.86469420014,10494.073251694756
1975-01-13,10627.06579200302,10436.654564426834
1975-01-14,10559.577823710855,10399.005585938296
1975-01-15,10764.299227024232,10524.48256990856
1975-01-16,11024.802809761111,10677.979000849926
1975-01-17,10903.90590947852,10612.319539487004
1975-01-20,10911.037677310713,10619.163867292653
1975-01-21,10831.884763104545,10576.57056570275
1975-01-22,10810.382822473151,10566.93506551418
1975-01-23,10911.751990246872,10628.161615700365
1975-01-24,11166.971566789323,10775.08946425826
1975-01-27,11665.953685883114,11048.92644719242
1975-01-28,11940.958130856236,11194.222702937224
1975-01-29,12314.644835924191,11385.675034168557
1975-01-30,12280.21064946156,11371.111786172376
1975-01-31,12539.910580423371,11501.592542870609
1975-02-03,12869.233955243626,11658.452314029277
1975-02-04,12658.43842140616,11559.830670807109
1975-02-05,12975.767630162343,11715.05057160918
1975-02-06,13107.58991916757,11779.616297392107
1975-02-07,12984.358075432086,11723.851054200775
1975-02-10,12875.917671958876,11674.675877443198
1975-02-11,12875.31543263644,11676.602697922626
1975-02-12,13134.99652333818,11802.16877777473
1975-02-13,13586.585339296214,12015.116485346069
1975-02-14,13719.821523768682,12078.050790943009
1975-02-18,13429.089350979888,11948.094425491892
1975-02-19,13568.389604112916,12014.326964107757
1975-02-20,13820.942904689682,12131.67300062264
1975-02-21,13893.680122919552,12166.585934783465
1975-02-24,13651.409607209696,12059.702565878986
1975-02-25,13260.510064531729,11883.56260057638
1975-02-26,13316.836812613135,11911.876399920598
1975-02-27,13416.16119091249,11959.979162810772
1975-02-28,13580.66877511913,12037.765715212265
1975-03-03,13881.398119552538,12174.920377797198
1975-03-04,14016.956988306434,12237.873621196291
1975-03-05,13898.989937928984,12187.043708319648
1975-03-06,13942.948258513956,12208.772065156272
1975-03-07,14075.320222879902,12270.082327011987
1975-03-10,14249.332057594404,12349.535587054135
1975-03-11,14305.3059406275,12376.218125108211
1975-03-12,13961.788264392942,12226.427460087927
1975-03-13,14160.737028760564,12317.431807973564
1975-03-14,14674.734811872297,12546.98622939828
1975-03-17,14747.039189261048,12580.272465069987
1975-03-18,14708.9851289067,12565.727646325817
1975-03-19,14511.209898442754,12481.903071886783
1975-03-20,14549.03162766958,12500.3450597047
1975-03-21,14598.274685864462,12523.736388564015
1975-03-24,14027.249884839352,12276.595096526637
1975-03-25,13990.318263988178,12262.041271340851
1975-03-26,14441.379224281092,12465.242655662594
1975-03-27,14671.316323201674,12567.82220169431
1975-03-31,14470.366213562063,12482.334807447089
1975-04-01,14375.89671762499,12443.03606647781
1975-04-02,14446.37325578774,12476.329733555993
1975-04-03,14191.319438146911,12366.084433037096
1975-04-04,14105.141042951856,12330.081873150271
1975-04-07,13956.614203790456,12266.026212487164
1975-04-08,14022.07770136618,12297.668476516348
1975-04-09,14340.901887763262,12441.514284001563
1975-04-10,14471.798473954568,12501.213065509552
1975-04-11,14675.560582135024,12592.265858188151
1975-04-14,15061.04815579832,12760.881299598765
1975-04-15,15126.54882197587,12790.888511379024
1975-04-16,15312.597084718647,12872.053692049332
1975-04-17,15410.118568571135,12915.267367692626
1975-04-18,15335.72240616318,12885.869379499954
1975-04-21,15723.19064937158,13051.210369793276
1975-04-22,15505.711772652228,12962.400407469357
1975-04-23,15384.006974034251,12913.19592636094
