portfolio,sleeve,start,end,cagr,mdd,vol,sharpe,sortino,calmar,window,level
100% SPY,benchmark,2013-07-31,2018-06-30,0.12383443560697893,-0.08491094623994033,0.09737009466215922,1.252334349688435,2.2212075565258487,1.4584036698525191,5y,B
100% SPY,benchmark,2013-10-31,2018-09-30,0.130196349125558,-0.08491094623994022,0.09502718473653231,1.3408947388910308,2.2511030705546458,1.5333282090350389,5y,B
100% SPY,benchmark,2014-01-31,2018-12-31,0.09304923671891441,-0.13532112575841138,0.10828281146545854,0.8782454089700014,1.116168135518901,0.6876179620692418,5y,B
100% SPY,benchmark,2014-04-30,2019-03-31,0.10808298194983057,-0.1353211257584115,0.11241774137392668,0.9722607831915684,1.2828380488650164,0.798714770839188,5y,B
100% SPY,benchmark,2014-07-31,2019-06-30,0.11069351109553005,-0.1353211257584115,0.12052860873297086,0.934261704319465,1.276225101285567,0.818006135222012,5y,B
100% SPY,benchmark,2014-10-31,2019-09-30,0.10378023955505133,-0.13532112575841138,0.11980333190686784,0.8866363258007771,1.2106710761768822,0.7669182396570514,5y,B
100% SPY,benchmark,2015-01-31,2019-12-31,0.12453230494596546,-0.1353211257584115,0.11913731235014346,1.048744021205512,1.407627758455517,0.9202724574453564,5y,B
100% SPY,benchmark,2015-04-30,2020-03-31,0.06554777077971874,-0.19447701128913253,0.13733876333344452,0.5324505474247859,0.6056062928864504,0.33704637039216767,5y,B
100% SPY,benchmark,2015-07-31,2020-06-30,0.10282793823897785,-0.19447701128913253,0.14815760678736234,0.7368699788009939,0.8877001578188626,0.5287408396363191,5y,B
100% SPY,benchmark,2015-10-31,2020-09-30,0.12403042038356338,-0.19447701128913264,0.1455579258498208,0.8794944194868517,1.0198650542494427,0.6377639164721892,5y,B
100% SPY,benchmark,2016-01-31,2020-12-31,0.16576368202985803,-0.19447701128913253,0.15012553613887902,1.1024321385989109,1.2814416645976228,0.8523561778899108,5y,B
100% SPY,benchmark,2016-04-30,2021-03-31,0.16419381780433095,-0.19447701128913253,0.1491573430712837,1.0995424433800236,1.2993242874734852,0.8442839424358543,5y,B
100% SPY,benchmark,2016-07-31,2021-06-30,0.1699196135143306,-0.19447701128913253,0.14986417872240693,1.1282110932759466,1.339519756346396,0.8737259606571597,5y,B
100% SPY,benchmark,2016-10-31,2021-09-30,0.17515489337071544,-0.19447701128913242,0.151700017870383,1.1462638294050744,1.4171885014885934,0.9006457483569076,5y,B
100% SPY,benchmark,2017-01-31,2021-12-31,0.18258127947803415,-0.19447701128913253,0.15443852850055587,1.1698877818127909,1.4620314234543004,0.9388321954752133,5y,B
100% SPY,benchmark,2017-04-30,2022-03-31,0.15950048102687808,-0.19447701128913253,0.1584936415139395,1.0178715259277622,1.3897816181842912,0.8201508238407973,5y,B
100% SPY,benchmark,2017-07-31,2022-06-30,0.10957764985410723,-0.1998132506236161,0.17027757222736553,0.6977711727229876,1.00603510875397,0.5484003163559772,5y,B
100% SPY,benchmark,2017-10-31,2022-09-30,0.08796303076448297,-0.2392717360083898,0.18164140046182436,0.555814274852425,0.8635814436966383,0.36762817134991094,5y,B
100% SPY,benchmark,2018-01-31,2022-12-31,0.08264230289322372,-0.2392717360083898,0.1867444752032845,0.5190453864679776,0.8498125136701794,0.3453909946569116,5y,B
100% SPY,benchmark,2018-04-30,2023-03-31,0.11201350039782532,-0.2392717360083897,0.18752084431870483,0.6616124995242733,1.0630564493297858,0.4681434684533644,5y,B
100% SPY,benchmark,2018-07-31,2023-06-30,0.11589040118241623,-0.2392717360083897,0.188673209001275,0.6772822053551064,1.0949214822466269,0.48434638840231725,5y,B
100% SPY,benchmark,2018-10-31,2023-09-30,0.11622780191419868,-0.2392717360083897,0.18743541956613166,0.682065102623252,1.1026745282367356,0.485756503685514,5y,B
100% SPY,benchmark,2019-01-31,2023-12-31,0.14075678285430904,-0.2392717360083897,0.18408015094986938,0.8102067887653414,1.315115331990096,0.5882716663591793,5y,B
100% SPY,benchmark,2019-04-30,2024-03-31,0.14283979752755882,-0.2392717360083898,0.18450836494005482,0.8187390631896947,1.3320562765905333,0.5969773108619495,5y,B
100% SPY,benchmark,2019-07-31,2024-06-30,0.14901066156406406,-0.2392717360083898,0.1820594924317369,0.8572405987372311,1.3862332643501367,0.6227675029650772,5y,B
100% SPY,benchmark,2019-10-31,2024-09-30,0.15643583734449118,-0.2392717360083898,0.18157341039174069,0.8949996040930677,1.4354169929989449,0.653799901125831,5y,B
100% SPY,benchmark,2020-01-31,2024-12-31,0.14725456285936955,-0.2392717360083898,0.18331409005514196,0.8441176425125244,1.410099901531548,0.6154281542647655,5y,B
100% SPY,benchmark,2020-04-30,2025-03-31,0.15961980101274564,-0.2392717360083898,0.16240750386801925,0.9972327315283568,1.8352542299630796,0.6671067952929833,5y,B
100% SPY,benchmark,2020-07-31,2025-06-30,0.15514807569949385,-0.2392717360083898,0.1631139287954143,0.9695832114361723,1.7765763011570272,0.648417896270263,5y,B
100% SPY,benchmark,2020-10-31,2025-09-30,0.1726718137590182,-0.2392717360083898,0.15883818368912803,1.0875603837881391,1.8575020307840202,0.721655706769159,5y,B
100% SPY,benchmark,2021-01-31,2025-12-31,0.15007799826293988,-0.2392717360083897,0.15224132519886652,0.9989789048584342,1.642979746959271,0.6272282751259749,5y,B
90% SPY + 10% Healthcare,Healthcare,2013-07-31,2018-06-30,0.12367941180972841,-0.09043006267418852,0.09719663779137828,1.2530263582135277,2.031143084714998,1.3676802619869273,5y,B
90% SPY + 10% Healthcare,Healthcare,2013-10-31,2018-09-30,0.13167700580082586,-0.09046981042248892,0.09503624188479326,1.3547519501052876,2.0985734306323462,1.4554800677253734,5y,B
90% SPY + 10% Healthcare,Healthcare,2014-01-31,2018-12-31,0.09473786889513902,-0.13037429966220337,0.10888856986141196,0.8883047992997799,1.0944225348700536,0.7266606159388969,5y,B
90% SPY + 10% Healthcare,Healthcare,2014-04-30,2019-03-31,0.10870971956422659,-0.1302920556957955,0.11231294239793975,0.9782465498391997,1.2427810380922806,0.8343541667501271,5y,B
90% SPY + 10% Healthcare,Healthcare,2014-07-31,2019-06-30,0.110227321148469,-0.13038502766602744,0.11961682341089595,0.9370179318551023,1.2302508510409125,0.8453986099601017,5y,B
90% SPY + 10% Healthcare,Healthcare,2014-10-31,2019-09-30,0.10130388304171523,-0.13062275916480937,0.11875347892805259,0.8744383214382437,1.1457881329729067,0.7755454232435718,5y,B
90% SPY + 10% Healthcare,Healthcare,2015-01-31,2019-12-31,0.1221824933420752,-0.13078368778976057,0.11849565091881872,1.0360349667309061,1.3177200588695532,0.9342334308425979,5y,B
90% SPY + 10% Healthcare,Healthcare,2015-04-30,2020-03-31,0.06521846830878308,-0.1882168356723818,0.13525776922351546,0.5361328191999927,0.612190349982526,0.34650709154575904,5y,B
90% SPY + 10% Healthcare,Healthcare,2015-07-31,2020-06-30,0.100130706875454,-0.18852093054497432,0.146223520511936,0.7276759493665991,0.8791291399821882,0.5311384077407066,5y,B
90% SPY + 10% Healthcare,Healthcare,2015-10-31,2020-09-30,0.12190747213652475,-0.18818487136746664,0.14275868409292333,0.8804291612254258,1.0252525740838527,0.6478069743368333,5y,B
90% SPY + 10% Healthcare,Healthcare,2016-01-31,2020-12-31,0.1627966835046477,-0.18817557771816662,0.1470430286430712,1.1047822761163661,1.3029437918947988,0.8651318384603062,5y,B
90% SPY + 10% Healthcare,Healthcare,2016-04-30,2021-03-31,0.16094876300855043,-0.18808411228510935,0.14616484580440117,1.0995777696351063,1.3074788945276699,0.8557275840745895,5y,B
90% SPY + 10% Healthcare,Healthcare,2016-07-31,2021-06-30,0.16618640818958363,-0.18821340842292644,0.14684456827593165,1.1262011062279118,1.3438856203391463,0.8829679542073492,5y,B
90% SPY + 10% Healthcare,Healthcare,2016-10-31,2021-09-30,0.17351139452786368,-0.18768219253888607,0.1482594640148731,1.159711205885629,1.4726690782425713,0.9244957775731103,5y,B
90% SPY + 10% Healthcare,Healthcare,2017-01-31,2021-12-31,0.18147575713737707,-0.1875354183122694,0.1511742128185696,1.1854668807021644,1.5296958685683055,0.9676879107454666,5y,B
90% SPY + 10% Healthcare,Healthcare,2017-04-30,2022-03-31,0.15841870478543507,-0.18767258541286203,0.15535664367583568,1.0290798440205182,1.4462886751741055,0.8441227813691,5y,B
90% SPY + 10% Healthcare,Healthcare,2017-07-31,2022-06-30,0.11066725184571746,-0.1890426076950552,0.16634028903890663,0.7161175547141027,1.0660235190912393,0.5854090418824253,5y,B
90% SPY + 10% Healthcare,Healthcare,2017-10-31,2022-09-30,0.08960790886335213,-0.22899423020049348,0.17668354292308125,0.5748695834457349,0.92625735516431,0.39131077138885495,5y,B
90% SPY + 10% Healthcare,Healthcare,2018-01-31,2022-12-31,0.0856408298414244,-0.22889765046967037,0.1816243982513843,0.5436867798663354,0.9241259811030978,0.3741446435369684,5y,B
90% SPY + 10% Healthcare,Healthcare,2018-04-30,2023-03-31,0.112412592947849,-0.22884682869752193,0.18187403989039178,0.6782885046243251,1.1303041120536028,0.4912132433193131,5y,B
90% SPY + 10% Healthcare,Healthcare,2018-07-31,2023-06-30,0.11473333299895971,-0.22899230436229323,0.18301239831457233,0.6866429637758377,1.1115053790947402,0.501035758902351,5y,B
90% SPY + 10% Healthcare,Healthcare,2018-10-31,2023-09-30,0.1144467440664414,-0.22931852362666583,0.18172015060685998,0.6887233649300951,1.1188311269551703,0.4990732639320603,5y,B
90% SPY + 10% Healthcare,Healthcare,2019-01-31,2023-12-31,0.1374527335438258,-0.2295268598156618,0.1782514443266937,0.8141905434963043,1.3763642541143233,0.5988524988065328,5y,B
90% SPY + 10% Healthcare,Healthcare,2019-04-30,2024-03-31,0.14134808031398505,-0.22858494217123815,0.17832901263506043,0.833274798030023,1.3855341749560743,0.6183612926178575,5y,B
90% SPY + 10% Healthcare,Healthcare,2019-07-31,2024-06-30,0.14620361355551692,-0.22866865149405713,0.1761482185468551,0.8658226699431595,1.432054422891642,0.639368853580337,5y,B
90% SPY + 10% Healthcare,Healthcare,2019-10-31,2024-09-30,0.15328378370096285,-0.22884661624342717,0.1757736820911794,0.902787374796238,1.4785997626379612,0.6698101384112792,5y,B
90% SPY + 10% Healthcare,Healthcare,2020-01-31,2024-12-31,0.14171293839822252,-0.22877207155946866,0.17740076558559867,0.8385177741767791,1.4361820485026993,0.6194503438824902,5y,B
90% SPY + 10% Healthcare,Healthcare,2020-04-30,2025-03-31,0.15401697249475954,-0.22974486851069176,0.15760647536563543,0.991665778540291,1.9028234189195694,0.6703826444227718,5y,B
90% SPY + 10% Healthcare,Healthcare,2020-07-31,2025-06-30,0.14753891007263542,-0.22920491698580825,0.1575728750892066,0.9556715536040314,1.7757943467252169,0.6436987129807981,5y,B
90% SPY + 10% Healthcare,Healthcare,2020-10-31,2025-09-30,0.16487920456159633,-0.2288575935153263,0.15334292216905285,1.0769379209494565,1.8688471697667621,0.720444543827446,5y,B
90% SPY + 10% Healthcare,Healthcare,2021-01-31,2025-12-31,0.14386343597904805,-0.22884139117285174,0.14682118953304552,0.99303735914882,1.6625061256357614,0.628660030607763,5y,B
85% SPY + 15% Healthcare,Healthcare,2013-07-31,2018-06-30,0.12360186848802779,-0.09311270140153305,0.09732365909609202,1.2508318075812876,1.993149974439084,1.3274436959466493,5y,B
85% SPY + 15% Healthcare,Healthcare,2013-10-31,2018-09-30,0.13241449786689774,-0.0931679436078463,0.09527364239499866,1.358548399671438,2.071033956814051,1.421245256031885,5y,B
85% SPY + 15% Healthcare,Healthcare,2014-01-31,2018-12-31,0.09557837367537969,-0.12790786745004623,0.10939096242499166,0.8918199381718088,1.093200447262776,0.7472438996976268,5y,B
85% SPY + 15% Healthcare,Healthcare,2014-04-30,2019-03-31,0.10902256873219329,-0.12779168331590685,0.11247169348808699,0.9796013598416545,1.2339922070212712,0.8531272607364013,5y,B
85% SPY + 15% Healthcare,Healthcare,2014-07-31,2019-06-30,0.10999393836364724,-0.1279230387299498,0.11938777433819113,0.9368490611989218,1.2245098818255795,0.8598446335835442,5y,B
85% SPY + 15% Healthcare,Healthcare,2014-10-31,2019-09-30,0.10005748118297553,-0.12826018859236243,0.11843217629710844,0.8668883484540348,1.1312121476696215,0.7801133171648377,5y,B
85% SPY + 15% Healthcare,Healthcare,2015-01-31,2019-12-31,0.12100032346487133,-0.1284894599573826,0.11836063388005855,1.0281256487654673,1.3048842781965504,0.941714001327461,5y,B
85% SPY + 15% Healthcare,Healthcare,2015-04-30,2020-03-31,0.06505366744027263,-0.18504285901404116,0.13439538973347773,0.5374953437237989,0.6226923555796359,0.35155999959628986,5y,B
85% SPY + 15% Healthcare,Healthcare,2015-07-31,2020-06-30,0.09877231989642077,-0.1854787794428604,0.1453999185627912,0.7223534323732878,0.8866958760665974,0.5325262555269785,5y,B
85% SPY + 15% Healthcare,Healthcare,2015-10-31,2020-09-30,0.12084007034162192,-0.18499716390042653,0.141523242058714,0.8800290227925165,1.0400873214482944,0.6531995831388164,5y,B
85% SPY + 15% Healthcare,Healthcare,2016-01-31,2020-12-31,0.16130199507400467,-0.18498388248311304,0.1456485322401925,1.1049708075231628,1.3281975517627413,0.871978644348811,5y,B
85% SPY + 15% Healthcare,Healthcare,2016-04-30,2021-03-31,0.15931282160253146,-0.18485327805677865,0.14482558373703858,1.098487200193263,1.3299620699008026,0.8618339002546533,5y,B
85% SPY + 15% Healthcare,Healthcare,2016-07-31,2021-06-30,0.16430211428942298,-0.1850379583893439,0.14547774087246598,1.1240977292198975,1.3649873869719458,0.8879373492854369,5y,B
85% SPY + 15% Healthcare,Healthcare,2016-10-31,2021-09-30,0.17268625284568362,-0.18428167587918665,0.1467102907579089,1.1654904108473476,1.500300725984784,0.9370777209498308,5y,B
85% SPY + 15% Healthcare,Healthcare,2017-01-31,2021-12-31,0.1809214731320703,-0.1840738670115658,0.14973817731781494,1.1921622542519263,1.5640176264841343,0.982874299700036,5y,B
85% SPY + 15% Healthcare,Healthcare,2017-04-30,2022-03-31,0.1578763295312955,-0.1842680585482449,0.15397001619694267,1.033830201151486,1.47436102653262,0.8567753455217549,5y,B
85% SPY + 15% Healthcare,Healthcare,2017-07-31,2022-06-30,0.11121048659645738,-0.1844385100119318,0.16453066313334455,0.7251067897014264,1.0971639582569817,0.6029678215751304,5y,B
85% SPY + 15% Healthcare,Healthcare,2017-10-31,2022-09-30,0.09042671423841342,-0.22380901342138215,0.17438788025685625,0.5844064780115353,0.9592119512410731,0.4040351764929154,5y,B
85% SPY + 15% Healthcare,Healthcare,2018-01-31,2022-12-31,0.08712801080135901,-0.22367143429270986,0.17925524527776227,0.556116888152505,0.9632882227396189,0.38953570927317466,5y,B
85% SPY + 15% Healthcare,Healthcare,2018-04-30,2023-03-31,0.11261192911197226,-0.22359909268052025,0.17927714205166007,0.6864472009975012,1.165252430049634,0.5036332113962236,5y,B
85% SPY + 15% Healthcare,Healthcare,2018-07-31,2023-06-30,0.11415303043433322,-0.22380626870716547,0.18039881788712966,0.6909879971982081,1.1429236141563208,0.5100528733790487,5y,B
85% SPY + 15% Healthcare,Healthcare,2018-10-31,2023-09-30,0.11355201808205506,-0.2242719725739396,0.17904746436586427,0.691726893196236,1.1465429517709484,0.506313904402916,5y,B
85% SPY + 15% Healthcare,Healthcare,2019-01-31,2023-12-31,0.13578651162734068,-0.22457020660747573,0.1754824933876189,0.8157391082008135,1.378888948376808,0.6046506065013366,5y,B
85% SPY + 15% Healthcare,Healthcare,2019-04-30,2024-03-31,0.14059934898952675,-0.22322691019177787,0.17544344237407147,0.8402237807091583,1.435559413412401,0.6298494606619586,5y,B
85% SPY + 15% Healthcare,Healthcare,2019-07-31,2024-06-30,0.14478993185814626,-0.22334576595168065,0.17338808647069956,0.8695658425083712,1.4771704213746755,0.6482770391513515,5y,B
