date,ffr,sp500_ret,nasdaq_ret,cpi,cpi_yoy,ffr_real,ffr_trailing_change,sp500_ret_fwd12m,sp500_ret_fwd24m,nasdaq_ret_fwd12m,nasdaq_ret_fwd24m,regime_A,regime_B,regime_C
1971-04-30,4.16,0.03673862115127191,0.0603567487502632,40.1,4.155844155844157,0.004155844155842914,-3.9399999999999995,0.0891287532800713,0.13528873829486665,0.17811962045218865,-0.02513158830582163,4-6%,Discesa (≤−1pp),0-2%
1971-05-31,4.63,-0.011078745954692604,-0.035441252179282956,40.3,4.404145077720201,0.2258549222797992,-3.3200000000000003,0.09278501632570002,0.11850619991046352,0.23332896707725648,-0.037506176009915904,4-6%,Discesa (≤−1pp),0-2%
1971-06-30,4.91,-0.01595855479002617,-0.0035341820787810896,40.6,4.6391752577319645,0.27082474226803566,-2.7,0.11623836632285389,0.11402855111903687,0.21559350084912388,-0.04911250921745525,4-6%,Discesa (≤−1pp),0-2%
1971-07-31,5.31,-0.004629629629629539,-0.022846525953975516,40.7,4.358974358974366,0.9510256410256339,-1.9000000000000004,0.11577975676149621,0.13275522669252515,0.22250690680596996,0.047543591164096455,4-6%,Discesa (≤−1pp),0-2%
1971-08-31,5.57,-0.015171153198653253,0.030545916802551476,40.8,4.615384615384599,0.9546153846154013,-1.0499999999999998,0.17583614366616573,0.13139444601410255,0.20743898538454264,-0.018147143555526823,4-6%,Discesa (≤−1pp),0-2%
1971-09-30,5.55,0.024864022007404563,0.006249130017322857,40.8,4.081632653061207,1.468367346938793,-0.7400000000000002,0.13342169308917762,0.1259728309723207,0.19754828566924854,0.03526001721708116,4-6%,Stabile (−1÷+1pp),0-2%
1971-10-31,5.2,-0.01863682092555341,-0.03542226339377397,40.9,3.8071065989847774,1.3928934010152227,-1.0,0.159767292442059,0.1959501137613775,0.24833397370013732,0.06400512180452878,4-6%,Discesa (≤−1pp),0-2%
1971-11-30,4.91,-0.0437152413745846,-0.010128803279748744,40.9,3.282828282828265,1.627171717171735,-0.6899999999999995,0.2765066631938826,0.16491795400239662,0.2882306045645875,-0.08698414085635198,4-6%,Stabile (−1÷+1pp),0-2%
1971-12-31,4.14,0.07163601171229428,0.09824717650729187,41.1,3.266331658291466,0.8736683417085338,-0.7600000000000007,0.21870981830994274,0.013069711042585253,0.18051149399931177,-0.1798783517246889,4-6%,Stabile (−1÷+1pp),0-2%
1972-01-31,3.51,0.04422540418809451,0.042245714938175194,41.1,3.266331658291466,0.2436683417085339,-0.6299999999999999,0.1786413752970475,-0.013339228567464612,0.08822305807812425,-0.18924349505659588,2-4%,Stabile (−1÷+1pp),0-2%
1972-02-29,3.3,0.020869635366247197,0.05538857224110294,41.3,3.50877192982455,-0.20877192982455028,-0.4200000000000004,0.1161563386276585,-0.05740949765505865,-0.03240987216214364,-0.2360084393393449,2-4%,Stabile (−1÷+1pp),<0% (accomodante)
1972-03-31,3.83,0.02619613434727497,0.022635942037208867,41.4,3.499999999999992,0.33000000000000806,0.1200000000000001,0.0730308736145886,-0.039452030059647925,-0.0764189215128962,-0.2689238096882951,2-4%,Stabile (−1÷+1pp),0-2%
1972-04-30,4.17,0.012588981739399374,0.02551750828153887,41.5,3.4912718204488824,0.6787281795511175,0.009999999999999787,0.04238248680496026,-0.09708494224368702,-0.17252170766835861,-0.3284689105162516,4-6%,Stabile (−1÷+1pp),0-2%
1972-05-31,4.27,-0.007758884803921617,0.009760149549546515,41.6,3.2258064516129226,1.044193548387077,-0.3600000000000003,0.023537276957956932,-0.11464552154312246,-0.21959683938097818,-0.38553760406173654,4-6%,Stabile (−1÷+1pp),0-2%
1972-06-30,4.46,0.005160940885174714,-0.017863518641037412,41.7,2.7093596059113434,1.7506403940886566,-0.4500000000000002,-0.001979698306819988,-0.11516398328183974,-0.21775865853319765,-0.40704796288926115,4-6%,Stabile (−1÷+1pp),0-2%
1972-07-31,4.55,-0.005038580246913615,-0.017289192319414726,41.9,2.9484029484029284,1.6015970515970714,-0.7599999999999998,0.01521399705287707,-0.21159251211062513,-0.14311846801667416,-0.44366247986656704,4-6%,Stabile (−1÷+1pp),0-2%
1972-08-31,4.81,0.03783685478855725,0.017843996830480657,42.0,2.941176470588247,1.8688235294117526,-0.7600000000000007,-0.03779582545702109,-0.26893536975194277,-0.18683025119337648,-0.5125833847721957,4-6%,Stabile (−1÷+1pp),0-2%
1972-09-30,4.87,-0.012104602102102069,-0.0019935291184576265,42.1,3.1862745098039325,1.6837254901960677,-0.6799999999999997,-0.006572013013580569,-0.3340805021404303,-0.135517098052938,-0.5637701245120008,4-6%,Stabile (−1÷+1pp),0-2%
1972-10-31,5.05,0.004174283973186865,0.0054835978554432785,42.3,3.4229828850855792,1.6270171149144206,-0.15000000000000036,0.031198346043308067,-0.32108602248636653,-0.14765988571892108,-0.4913753884045472,4-6%,Stabile (−1÷+1pp),0-2%
1972-11-30,5.06,0.05254206964720187,0.021507382685647558,42.4,3.667481662591676,1.3925183374083234,0.14999999999999947,-0.08741725555296809,-0.3308308240988531,-0.2912636480545028,-0.5191778900121415,4-6%,Stabile (−1÷+1pp),0-2%
1972-12-31,5.33,0.023115167969881334,0.006414077204255131,42.5,3.406326034063256,1.923673965936744,1.1900000000000004,-0.1687359075785001,-0.38579295910788436,-0.30528279271816317,-0.545699758824139,4-6%,Rialzo (≥+1pp),0-2%
1973-01-31,5.94,0.009893617021276668,-0.03923356532816369,42.6,3.649635036496357,2.2903649635036434,2.4300000000000006,-0.16288296668367663,-0.339306515614731,-0.2549721319310627,-0.44812396579445746,4-6%,Rialzo (≥+1pp),2-4%
1973-02-28,6.58,-0.03325121762387384,-0.06160455252909158,42.9,3.874092009685226,2.705907990314774,3.2800000000000002,-0.15550315872068676,-0.24272143095033105,-0.21041819394349914,-0.38438947792396505,6-8%,Rialzo (≥+1pp),2-4%
1973-03-31,7.09,-0.013453495329830756,-0.023876764475760703,43.3,4.589371980676327,2.500628019323673,3.26,-0.10482727612051745,-0.19421648300420535,-0.20843312261305402,-0.34595779038731556,6-8%,Rialzo (≥+1pp),2-4%
