regime,bucket,asset,cont_n,cont_mean_m,cont_mean_ann,cont_median_ann,cont_std_ann,cont_sharpe,cont_p5_ann,cont_p95_ann,cont_hit_rate,fwd12_n,fwd12_median,fwd12_mean,fwd12_p5,fwd12_p95,fwd12_hit_rate,fwd12_cagr_median,fwd24_n,fwd24_median,fwd24_mean,fwd24_p5,fwd24_p95,fwd24_hit_rate,fwd24_cagr_median
regime_A,<2%,SP500,194,0.008192049082069414,0.10285703437360194,0.18796703744315013,0.13497372216951042,0.6138753013682446,-0.51771592800951,0.9602577862523922,0.6752577319587629,194,0.1395061027039225,0.1268487250532536,-0.14855742539030695,0.3435198008174166,0.845360824742268,0.1395061027039226,194,0.23806746972977455,0.2652897804652181,0.025434663964875093,0.5275272618833428,0.9639175257731959,0.11268480250688007
regime_A,<2%,NASDAQ,194,0.011000868074086446,0.1402979455511657,0.1971260431266395,0.19085207075906171,0.6303203579228334,-0.6810682936278043,1.9773075428584086,0.6288659793814433,194,0.16068607436666904,0.15572810959221586,-0.2189570224473958,0.4744232197765969,0.845360824742268,0.16068607436666893,194,0.2902339183327308,0.3137857120936952,-0.06622994379495825,0.6516580790669757,0.9072164948453608,0.13588464129625888
regime_A,2-4%,SP500,74,0.0018579240429316736,0.0225243295598736,0.06821913577842476,0.10910454877317222,0.02313679482898251,-0.5082346334449919,0.7239900509555341,0.6081081081081081,68,0.09076832231678766,0.04271361172552571,-0.31516709580463825,0.19274891847983477,0.8088235294117647,0.09076832231678766,68,0.24798500266070922,0.24153512919929407,-0.13852762649493203,0.5350337416465138,0.8088235294117647,0.11713249109526358
regime_A,2-4%,NASDAQ,74,0.00393095507495763,0.048204802154347304,0.0661564668028305,0.20103670819948183,0.14029677667802162,-0.700768400105923,1.6855021319430539,0.5675675675675675,68,0.10683545065026545,0.07321915794887796,-0.3217725630827282,0.3271326278489316,0.7647058823529411,0.10683545065026534,68,0.2857455033681342,0.3358481002874771,-0.1649695865448448,0.8363249622183958,0.8970588235294118,0.13390718463555662
regime_A,4-6%,SP500,193,0.013981948390161245,0.18130673890476978,0.16197923943774817,0.1039492544162815,1.5517835102384767,-0.3555974537152202,1.0359002549661578,0.689119170984456,187,0.1528230072584964,0.1381083974490551,-0.13739445413597934,0.36868539334651723,0.8074866310160428,0.1528230072584964,175,0.1959501137613775,0.20721715003872979,-0.3434422697243518,0.7194021078152594,0.7314285714285714,0.09359504102815741
regime_A,4-6%,NASDAQ,193,0.019365054616460486,0.2588004653637568,0.2371706061938168,0.19737807461174162,1.2098631817819498,-0.5430098992913696,2.6809299855938584,0.6528497409326425,188,0.20343037828946187,0.18273578431004617,-0.27828657747331936,0.5406160761419904,0.824468085106383,0.20343037828946198,176,0.3521498343053784,0.2937817715738309,-0.49390540097948027,1.0590271907228832,0.7045454545454546,0.16281977722490537
regime_A,6-8%,SP500,70,0.010544024532563064,0.13413005750731366,0.11285125334641655,0.14559930159738585,0.7838640450550265,-0.4167567339841204,1.1479319779834327,0.5857142857142857,70,0.1516955219112195,0.10820089307309448,-0.17425005888208356,0.3453284205316796,0.6714285714285714,0.1516955219112195,70,0.23262363566715505,0.22578031972449872,-0.34618792707713913,0.695120611243182,0.8142857142857143,0.11023584686640131
regime_A,6-8%,NASDAQ,70,0.0053982628146744226,0.06673750838077952,0.24493936548841022,0.2685002531420493,0.17406876840467325,-0.7922145027664247,2.627430977216739,0.6,70,0.13361829554189286,0.0650303908964336,-0.45458229789140486,0.4361605977668612,0.6571428571428571,0.13361829554189297,70,0.1789119588903001,0.14339301067773275,-0.6135017029338964,0.6364540614261358,0.7428571428571429,0.08577712210669652
regime_A,>8%,SP500,130,0.007482370205915869,0.09357723929373685,0.1405623815261945,0.13411882088799987,0.5485974213505785,-0.5526799869875954,0.9326350971266164,0.6384615384615384,130,0.16625540101061287,0.14415310085410596,-0.17148956429725498,0.4072365818336224,0.7538461538461538,0.16625540101061276,130,0.3127754981930879,0.3398522851051756,-0.0015850158793466965,0.6664933826910351,0.9461538461538461,0.1457641546989885
regime_A,>8%,NASDAQ,130,0.00423294009766588,0.05199470065271439,0.019775320665369245,0.2072175467852058,0.15440150290881946,-0.7009062503024943,1.737677679975992,0.5153846153846153,130,0.13963862559763374,0.12353753069159301,-0.268427369349178,0.5955117148224524,0.6923076923076923,0.13963862559763385,130,0.3178454316517466,0.28589943633537174,-0.12485670257368617,0.7128937114011066,0.8384615384615385,0.1479744908541072
regime_B,Discesa (≤−1pp),SP500,161,0.010908947309478226,0.13905444917344112,0.17535157972167958,0.16388987003703734,0.7264295782682364,-0.5296288966367296,1.5521626736971226,0.6583850931677019,157,0.14590020279652394,0.14129548446489126,-0.24171463486627448,0.445758608454272,0.7834394904458599,0.14590020279652394,153,0.23031236632814633,0.25113362664179417,-0.14459638729333527,0.7083691856527292,0.869281045751634,0.10919446731767746
regime_B,Discesa (≤−1pp),NASDAQ,161,0.014919257477538021,0.19447734386122195,0.3192904890309425,0.22502026511372336,0.7753850248689493,-0.7111726363608231,3.0695878871210365,0.639751552795031,158,0.17182013017462505,0.15487216910399682,-0.29347466782234755,0.580375898005062,0.7658227848101266,0.17182013017462516,153,0.24975386195817717,0.24545504565833273,-0.09621459296508221,0.6754314147914767,0.8104575163398693,0.11792390705189648
