date,sp500_nav,nasdaq_nav
1971-04-30,1.0,1.0
1971-05-31,0.9889212540453073,0.964558747820717
1971-06-30,0.9731395000296038,0.9611498215802375
1971-07-31,0.9686342245665039,0.9391908872358458
1971-08-31,0.9539389263521468,0.9678793339390664
1971-09-30,0.9776576848106865,0.9739277377379316
1971-10-31,0.9594372536123785,0.9394290128852762
1971-11-30,0.9174952224869449,0.9299137212184727
1971-12-31,0.9832209209909938,1.0212751187235767
1972-01-31,1.026704263628011,1.064419616262624
1972-02-29,1.048131207238899,1.1233762990728333
1972-03-31,1.0755881931573006,1.14880497986462
1972-04-30,1.0891287532800715,1.1781196204521887
1972-05-31,1.0806783287467325,1.189618244135057
1972-06-30,1.0862556457172838,1.168367476455232
1972-07-31,1.0807824594776743,1.1481673464550484
1972-08-31,1.1216758684549508,1.1686552409460538
1972-09-30,1.108098428379774,1.1663254926937896
1972-10-31,1.1127239458900733,1.172721152664274
1972-11-30,1.1711887649531387,1.1979433152781782
1972-12-31,1.1982609899794683,1.2056270161886937
1973-01-31,1.210116125305861,1.1583259698876556
1973-02-28,1.1698782906731566,1.0869678168299006
1973-03-31,1.154139338553115,1.0610145422747213
1973-04-30,1.1352887382948664,0.9748684116941785
1973-05-31,1.1061145538729062,0.9283818376530493
1973-06-30,1.084105187254683,0.9139453421085233
1973-07-31,1.0972254806309683,0.9838433948036318
1973-08-31,1.0792812031114745,0.9503150887216464
1973-09-30,1.1008159910881334,1.008268446538764
1973-10-31,1.1474390926046265,0.999557281281706
1973-11-30,1.0688066573864645,0.8490259751077507
1973-12-31,0.9960713343193701,0.8375698337101434
1974-01-31,1.013008820784286,0.862985127874284
1974-02-28,0.9879585211547228,0.8582500119378444
1974-03-31,1.0331540554290561,0.839863968090541
1974-04-30,0.9833907511719365,0.7911439522644383
1974-05-31,0.9567833981272131,0.730975676543097
1974-06-30,0.9611581186940936,0.6927858752580629
1974-07-31,0.8520969838316925,0.6387685742249859
1974-08-31,0.8200175540301864,0.5696219819101596
1974-09-30,0.7379043490056371,0.5087860244562912
1974-10-31,0.7554438399788943,0.5964748407836382
1974-11-30,0.783723420668373,0.575997632497904
1974-12-31,0.7359803368717459,0.5477166442226573
1975-01-31,0.7995158393391295,0.6392523425788881
1975-02-28,0.8859237579232404,0.669148825198503
1975-03-31,0.929986455322529,0.6939482956605497
1975-04-30,0.9438156284615756,0.7207956906812475
1975-05-31,1.0071705243856595,0.763093747235471
1975-06-30,1.0363243197384386,0.799565769869185
1975-07-31,1.040801225845534,0.7648726040757181
1975-08-31,0.9679841508582329,0.7269169009486327
1975-09-30,0.9597303288586349,0.6843121947607254
1975-10-31,1.0074410281526092,0.7092274679631351
1975-11-30,1.0280099475674895,0.7263428349362524
1975-12-31,1.015883150972725,0.715918538715946
1976-01-31,1.1128520800772241,0.803340904077337
1976-02-29,1.159348572270404,0.8334647586682388
1976-03-31,1.168651278561453,0.8373081476585194
1976-04-30,1.1814532695704225,0.832840197985727
1976-05-31,1.1769250706867969,0.814497996462369
1976-06-30,1.187524248151247,0.8360986309167274
1976-07-31,1.2191760077450622,0.8455987634517416
1976-08-31,1.212341055878225,0.8313976417835915
1976-09-30,1.2418965146622196,0.8463745770385286
1976-10-31,1.2032957027728373,0.8384621188974383
1976-11-30,1.198883884222696,0.8461300852500642
1976-12-31,1.244279695553307,0.9094297080645082
1977-01-31,1.2375948118021254,0.8882545804980014
1977-02-28,1.208281093000836,0.8797895554067541
1977-03-31,1.207626437930423,0.8762442001699222
1977-04-30,1.1932113476632116,0.8893569575409483
1977-05-31,1.1939809920716862,0.8909355088071604
1977-06-30,1.20472405043893,0.9300768283601882
1977-07-31,1.2201738972602842,0.9392360101652872
1977-08-31,1.1948111154309324,0.9346885871842436
1977-09-30,1.180768091934958,0.9422739302437888
1977-10-31,1.1548164706687993,0.9117475775069972
1977-11-30,1.1661468599523996,0.9649522510222075
1977-12-31,1.1652123118213775,0.9833274882216766
1978-01-31,1.125707449725323,0.9445319812929419
1978-02-28,1.1147656668630885,0.9510212774071033
1978-03-31,1.1177272147055066,0.9959452636720587
1978-04-30,1.1717133636706791,1.0807801806086614
1978-05-31,1.2362082263119725,1.1289333687057646
1978-06-30,1.244534780151815,1.1301998781814928
1978-07-31,1.243759547721691,1.1874608046483504
1978-08-31,1.3349040300282375,1.2698900612426005
1978-09-30,1.3402395026781901,1.2507405270694347
1978-10-31,1.3030679579215234,1.0466236270139169
1978-11-30,1.232211662382865,1.0809008560011288
1978-12-31,1.2559049788998653,1.11258085487967
1979-01-31,1.3084684767421784,1.1872069963287655
1979-02-28,1.2946385624651409,1.1571858930860526
1979-03-31,1.3249481362355646,1.2447711362843372
1979-04-30,1.3571563326875113,1.265007814757222
1979-05-31,1.3314650376453867,1.243108407898981
1979-06-30,1.363655048439244,1.3073529210460504
1979-07-31,1.383030481526704,1.3384541201577427
1979-08-31,1.4523802691499164,1.4255632964860772
