Date,adjclose
2000-05-31,33.916080474853516
2000-06-30,36.860923767089844
2000-07-31,35.8411865234375
2000-08-31,38.33757400512695
2000-09-30,37.08135986328125
2000-10-31,35.426368713378906
2000-11-30,31.892671585083008
2000-12-31,34.419898986816406
2001-01-31,36.27120590209961
2001-02-28,33.8447151184082
2001-03-31,32.27446365356445
2001-04-30,34.939998626708984
2001-05-31,35.69641876220703
2001-06-30,36.80672073364258
2001-07-31,34.758670806884766
2001-08-31,33.9134635925293
2001-09-30,28.96857452392578
2001-10-31,30.851579666137695
2001-11-30,33.20804214477539
2001-12-31,35.031654357910156
2002-01-31,34.977115631103516
2002-02-28,33.88636016845703
2002-03-31,36.437679290771484
2002-04-30,36.87446975708008
2002-05-31,35.127197265625
2002-06-30,33.085350036621094
2002-07-31,28.669103622436523
2002-08-31,28.486608505249023
2002-09-30,26.20136833190918
2002-10-31,27.281658172607422
2002-11-30,29.592361450195312
2002-12-31,27.895586013793945
2003-01-31,27.31788444519043
2003-02-28,26.497323989868164
2003-03-31,26.553991317749023
2003-04-30,29.283119201660156
2003-05-31,32.465911865234375
2003-06-30,32.8406867980957
2003-07-31,34.97585678100586
2003-08-31,36.6492919921875
2003-09-30,35.935543060302734
2003-10-31,39.064395904541016
2003-11-30,40.527000427246094
2003-12-31,41.25825500488281
2004-01-31,43.04560852050781
2004-02-29,43.45521545410156
2004-03-31,43.87068557739258
2004-04-30,41.44960403442383
2004-05-31,42.341209411621094
2004-06-30,44.132659912109375
2004-07-31,41.14411926269531
2004-08-31,40.52321243286133
2004-09-30,42.68450164794922
2004-10-31,43.561824798583984
2004-11-30,47.56969451904297
2004-12-31,48.70684814453125
2005-01-31,46.7285041809082
2005-02-28,47.495758056640625
2005-03-31,46.14936828613281
2005-04-30,43.53871154785156
2005-05-31,46.35337829589844
2005-06-30,48.24287414550781
2005-07-31,51.4161491394043
2005-08-31,50.38616180419922
2005-09-30,50.433929443359375
2005-10-31,48.45122528076172
2005-11-30,51.23917770385742
2005-12-31,50.88051223754883
2006-01-31,55.17393493652344
2006-02-28,55.34931945800781
2006-03-31,58.066375732421875
2006-04-30,58.24216079711914
2006-05-31,54.93260192871094
2006-06-30,54.90965270996094
2006-07-31,53.340354919433594
2006-08-31,54.94024658203125
2006-09-30,55.292755126953125
2006-10-31,58.541221618652344
2006-11-30,59.95424270629883
2006-12-31,60.177825927734375
2007-01-31,61.19583511352539
2007-02-28,60.79475402832031
2007-03-31,61.39072799682617
2007-04-30,62.387516021728516
2007-05-31,65.11514282226562
2007-06-30,64.17863464355469
2007-07-31,59.68841552734375
2007-08-31,60.95805740356445
2007-09-30,62.115230560302734
2007-10-31,63.88461685180664
2007-11-30,59.484397888183594
