date,economico,caro
2001-01,1.0,1.0
2001-02,1.0,0.9155998896343867
2001-03,1.0,0.8556344724698772
2001-04,1.0,0.919092888844077
2001-05,1.0,0.9076774740040076
2001-06,1.0,0.8793676074510071
2001-07,1.0,0.8677876705670968
2001-08,1.0,0.8263030598685152
2001-09,1.0,0.753601825258873
2001-10,1.0,0.7681129714009367
2001-11,1.0,0.8136701819040241
2001-12,1.0,0.8188844741301915
2002-01,0.9698126339553309,0.8188844741301915
2002-02,0.9615709020451528,0.8188844741301915
2002-03,1.0042806723147555,0.8188844741301915
2002-04,0.9705432826401263,0.8188844741301915
2002-05,0.972793105507587,0.8188844741301915
2002-06,0.9139688821812406,0.8188844741301915
2002-07,0.8370435934054348,0.8188844741301915
2002-08,0.8387843215031161,0.8188844741301915
2002-09,0.7467236931452472,0.8188844741301915
2002-10,0.8019717192510076,0.8188844741301915
2002-11,0.8453900196781164,0.8188844741301915
2002-12,0.8045872351029876,0.8188844741301915
2003-01,0.7802767617591306,0.8188844741301915
2003-02,0.7669164339920477,0.8188844741301915
2003-03,0.7648092756256042,0.8188844741301915
2003-04,0.8331149743167036,0.8188844741301915
2003-05,0.8811357716306295,0.8188844741301915
2003-06,0.896712744474239,0.8188844741301915
2003-07,0.9150906601569384,0.8188844741301915
2003-08,0.9350802791947973,0.8188844741301915
2003-09,0.9410117309295902,0.8188844741301915
2003-10,0.997042015617155,0.8188844741301915
2003-11,1.0124623155591308,0.8188844741301915
2003-12,1.0762292924504309,0.8188844741301915
2004-01,1.0937361068000466,0.8188844741301915
2004-02,1.1124421139708733,0.8188844741301915
2004-03,1.105495053191372,0.8188844741301915
2004-04,1.0834672118637887,0.8188844741301915
2004-05,1.0940870540997063,0.8188844741301915
2004-06,1.1170199118355506,0.8188844741301915
2004-07,1.0808454290957434,0.8188844741301915
2004-08,1.0860278000396661,0.8188844741301915
2004-09,1.1069202236330569,0.8188844741301915
2004-10,1.1342764181846738,0.8188844741301915
2004-11,1.1943617662086414,0.8188844741301915
2004-12,1.2403177990000953,0.8188844741301915
2005-01,1.2126257714757998,0.8188844741301915
2005-02,1.2515890318646878,0.8188844741301915
2005-03,1.2278123523127504,0.8188844741301915
2005-04,1.2019170864886028,0.8188844741301915
2005-05,1.2241933926060715,0.8188844741301915
2005-06,1.2353267533172263,0.8188844741301915
2005-07,1.2787542697973724,0.8188844741301915
2005-08,1.2889870378057244,0.8188844741301915
2005-09,1.322839075180137,0.8188844741301915
2005-10,1.291007933915739,0.8188844741301915
2005-11,1.3347266776718631,0.8188844741301915
2005-12,1.3646375621254137,0.8188844741301915
2006-01,1.4258391584932564,0.8188844741301915
2006-02,1.4243148233208904,0.8188844741301915
2006-03,1.456276832538418,0.8188844741301915
2006-04,1.5012677602558082,0.8188844741301915
2006-05,1.4513307611943709,0.8188844741301915
2006-06,1.4515036543493502,0.8188844741301915
2006-07,1.4608774862146277,0.8188844741301915
2006-08,1.499545464264201,0.8188844741301915
2006-09,1.5178577616492752,0.8188844741301915
2006-10,1.5738773557153167,0.8188844741301915
2006-11,1.6132343258899573,0.8188844741301915
2006-12,1.646465569931779,0.8188844741301915
2007-01,1.646465569931779,0.8287150158561217
2007-02,1.646465569931779,0.8247442595258818
2007-03,1.646465569931779,0.8401920179341575
2007-04,1.646465569931779,0.8777540490494357
2007-05,1.646465569931779,0.9032046958129266
2007-06,1.646465569931779,0.8965548661346947
2007-07,1.646465569931779,0.8768820484442448
2007-08,1.645932311375843,0.8768820484442448
2007-09,1.7247657586050125,0.8768820484442448
2007-10,1.7780420407757125,0.8768820484442448
2007-11,1.706168839824085,0.8768820484442448
2007-12,1.6846505316915295,0.8768820484442448
2008-01,1.5562860055389336,0.8768820484442448
2008-02,1.5480316863680654,0.8768820484442448
2008-03,1.5339548998269303,0.8768820484442448
2008-04,1.6158102602930298,0.8768820484442448
2008-05,1.642462516033508,0.8768820484442448
2008-06,1.5120486108082933,0.8768820484442448
2008-07,1.4754871786481518,0.8768820484442448
2008-08,1.4554281881518856,0.8768820484442448
2008-09,1.282949168046228,0.8768820484442448
2008-10,1.0400345762527183,0.8768820484442448
2008-11,0.9734319940818386,0.8768820484442448
2008-12,1.005164148628895,0.8768820484442448
2009-01,0.9173999115623541,0.8768820484442448
2009-02,0.824114778781453,0.8768820484442448
2009-03,0.8867501100817032,0.8768820484442448
2009-04,0.9871211439967738,0.8768820484442448
2009-05,1.0778040163358935,0.8768820484442448
2009-06,1.0733961128173635,0.8768820484442448
2009-07,1.164634276344814,0.8768820484442448
2009-08,1.2131976407422653,0.8768820484442448
2009-09,1.2619727249666377,0.8768820484442448
2009-10,1.239790683783182,0.8768820484442448
2009-11,1.2910798979197555,0.8768820484442448
2009-12,1.31467994555376,0.8768820484442448
2010-01,1.260594308402424,0.8768820484442448
2010-02,1.2788669343752872,0.8768820484442448
2010-03,1.3587799805918128,0.8768820484442448
2010-04,1.3597294493440861,0.8768820484442448
2010-05,1.2307762387946857,0.8768820484442448
2010-06,1.1890361052420693,0.8768820484442448
2010-07,1.285747312360397,0.8768820484442448
2010-08,1.238269055108401,0.8768820484442448
2010-09,1.3542085536297264,0.8768820484442448
2010-10,1.4049886074020461,0.8768820484442448
2010-11,1.3753161597240435,0.8768820484442448
2010-12,1.4768903819238113,0.8768820484442448
2011-01,1.5106020307876087,0.8768820484442448
2011-02,1.5641606060608702,0.8768820484442448
2011-03,1.5494534796773083,0.8768820484442448
2011-04,1.6162602079577233,0.8768820484442448
2011-05,1.584366939786278,0.8768820484442448
2011-06,1.559913127646966,0.8768820484442448
2011-07,1.532042191927138,0.8768820484442448
2011-08,1.4247408623441882,0.8768820484442448
2011-09,1.3022514753236787,0.8768820484442448
2011-10,1.4373204626621052,0.8768820484442448
2011-11,1.403051801310571,0.8768820484442448
2011-12,1.40280186863684,0.8768820484442448
2012-01,1.4736116508155266,0.8768820484442448
2012-02,1.5464081567684587,0.8768820484442448
2012-03,1.5671405195922978,0.8768820484442448
2012-04,1.5504363416380558,0.8768820484442448
2012-05,1.4180773680842176,0.8768820484442448
2012-06,1.491042905638805,0.8768820484442448
2012-07,1.5106247519397666,0.8768820484442448
2012-08,1.5496861993569815,0.8768820484442448
2012-09,1.5929538140023596,0.8768820484442448
2012-10,1.5826421977816056,0.8768820484442448
2012-11,1.6037625414915262,0.8768820484442448
2012-12,1.634786553463011,0.8768820484442448
2013-01,1.7185663266648639,0.8768820484442448
2013-02,1.722262989268892,0.8768820484442448
2013-03,1.7634929296776112,0.8768820484442448
2013-04,1.8202823839356748,0.8768820484442448
2013-05,1.8225858268005986,0.8768820484442448
2013-06,1.778404202170708,0.8768820484442448
2013-07,1.8725489518748961,0.8768820484442448
2013-08,1.8334892257570872,0.8768820484442448
2013-09,1.9259054465979097,0.8768820484442448
2013-10,2.001750373798622,0.8768820484442448
2013-11,2.0382536260388453,0.8768820484442448
2013-12,2.082146072368551,0.8768820484442448
2014-01,2.0054952327860143,0.8768820484442448
2014-02,2.106957914784282,0.8768820484442448
2014-03,2.1112053931981856,0.8768820484442448
2014-04,2.1339974628910787,0.8768820484442448
2014-05,2.1779949084845422,0.8768820484442448
2014-06,2.2178946287124117,0.8768820484442448
2014-07,2.1830324633257367,0.8768820484442448
2014-08,2.232033037772277,0.8768820484442448
2014-09,2.1723721118453554,0.8768820484442448
2014-10,2.1869446326153787,0.8768820484442448
2014-11,2.2318023836518917,0.8768820484442448
2014-12,2.196740891794018,0.8768820484442448
2015-01,2.157453954154635,0.8768820484442448
2015-02,2.284929257034163,0.8768820484442448
2015-03,2.2506399400897585,0.8768820484442448
2015-04,2.304583742170052,0.8768820484442448
2015-05,2.3144798367142307,0.8768820484442448
2015-06,2.261603584525453,0.8768820484442448
2015-07,2.302952638853058,0.8768820484442448
2015-08,2.151502389328929,0.8768820484442448
2015-09,2.0731171684650462,0.8768820484442448
2015-10,2.238002504111806,0.8768820484442448
2015-11,2.227952525400743,0.8768820484442448
2015-12,2.1896907936874914,0.8768820484442448
2016-01,2.0592503804514264,0.8768820484442448
2016-02,2.04517910206839,0.8768820484442448
2016-03,2.1854632823466957,0.8768820484442448
2016-04,2.22143224325134,0.8768820484442448
2016-05,2.2359483054008513,0.8768820484442448
2016-06,2.2119661292987454,0.8768820484442448
2016-07,2.306013109196681,0.8768820484442448
2016-08,2.309095612172698,0.8768820484442448
2016-09,2.3224036663991754,0.8768820484442448
2016-10,2.278056452766441,0.8768820484442448
2016-11,2.312055214371136,0.8768820484442448
2016-12,2.368219492684991,0.8768820484442448
2017-01,2.425929153605428,0.8768820484442448
2017-02,2.4944255093826366,0.8768820484442448
2017-03,2.5227828843145614,0.8768820484442448
2017-04,2.5613830234910058,0.8768820484442448
2017-05,2.6180485441918475,0.8768820484442448
2017-06,2.6291178764110614,0.8768820484442448
2017-07,2.6291178764110614,0.8981389043483617
2017-08,2.6291178764110614,0.8998567263412182
2017-09,2.6291178764110614,0.9204075540764912
2017-10,2.6291178764110614,0.9380335719979795
2017-11,2.6291178764110614,0.9588390704892285
2017-12,2.6291178764110614,0.9721057175396001
2018-01,2.6291178764110614,1.023652203785106
2018-02,2.6291178764110614,0.981676423668372
2018-03,2.6291178764110614,0.9609146715964318
2018-04,2.6291178764110614,0.9725498412925825
2018-05,2.6291178764110614,0.979566950661704
2018-06,2.6291178764110614,0.9794552308034693
2018-07,2.6291178764110614,1.010294389656175
2018-08,2.6291178764110614,1.0232681308911746
2018-09,2.6291178764110614,1.0293943518943733
2018-10,2.6291178764110614,0.9540519951248702
2018-11,2.6291178764110614,0.9653887476457362
2018-12,2.6291178764110614,0.8923477280998693
2019-01,2.6291178764110614,0.9620800945780169
2019-02,2.6291178764110614,0.991493992793243
2019-03,2.6291178764110614,1.0051904110968237
2019-04,2.6291178764110614,1.0414117573644843
2019-05,2.6291178764110614,0.9822589055191684
2019-06,2.6291178764110614,1.0473983572498893
2019-07,2.6291178764110614,1.0528782564833004
2019-08,2.6291178764110614,1.0318464477756273
2019-09,2.6291178764110614,1.0542965131008901
2019-10,2.6291178764110614,1.0814184893323313
2019-11,2.6291178764110614,1.1120517759282897
2019-12,2.6291178764110614,1.1457926657751445
2020-01,2.6291178764110614,1.1391417173802372
2020-02,2.6291178764110614,1.0433449816739369
2020-03,2.6291178764110614,0.9059505681049281
2020-04,2.6291178764110614,1.0054172954132383
2020-05,2.6291178764110614,1.0546502735152998
2020-06,2.6291178764110614,1.082994508627428
2020-07,2.6291178764110614,1.1351671083230404
2020-08,2.6291178764110614,1.211462585897483
2020-09,2.6291178764110614,1.1701396722904331
2020-10,2.6291178764110614,1.1345451283928683
2020-11,2.6291178764110614,1.280082231773213
2020-12,2.6291178764110614,1.3348053280885244
2021-01,2.6291178764110614,1.3218566176131288
2021-02,2.6291178764110614,1.3561745927708648
2021-03,2.6291178764110614,1.4020803169655012
2021-04,2.6291178764110614,1.4679705766643585
2021-05,2.6291178764110614,1.4899706624167313
2021-06,2.6291178764110614,1.5126674759180954
2021-07,2.6291178764110614,1.540132304664119
2021-08,2.6291178764110614,1.5789427270708691
2021-09,2.6291178764110614,1.514077006215823
2021-10,2.6291178764110614,1.6002453961542622
2021-11,2.6291178764110614,1.565712248319926
2021-12,2.6291178764110614,1.633100564535112
2022-01,2.6291178764110614,1.5470197822552882
2022-02,2.6291178764110614,1.508394220045617
2022-03,2.6291178764110614,1.5507291571166757
2022-04,2.6291178764110614,1.4225266585024243
2022-05,2.6291178764110614,1.4246968712881323
2022-06,2.6291178764110614,1.301797449110086
2022-07,2.6291178764110614,1.405527672591028
2022-08,2.6291178764110614,1.3473163447308347
2022-09,2.6291178764110614,1.2226220563411496
2022-10,2.6291178764110614,1.3107545571685537
2022-11,2.6291178764110614,1.4025384487582613
2022-12,2.6291178764110614,1.343507880211013
2023-01,2.6291178764110614,1.4389339769631697
2023-02,2.6291178764110614,1.4049014443209233
2023-03,2.6291178764110614,1.4493337982988403
2023-04,2.6291178764110614,1.4754804934656922
2023-05,2.6291178764110614,1.4618776534606328
2023-06,2.6291178764110614,1.5508443215748562
2023-07,2.6291178764110614,1.6033333651854682
2023-08,2.6291178764110614,1.5656947956802014
2023-09,2.6291178764110614,1.4986999675987975
2023-10,2.6291178764110614,1.4555696724003064
2023-11,2.6291178764110614,1.592778536852247
2023-12,2.6291178764110614,1.6715295549078892
2024-01,2.6291178764110614,1.6919747482448313
2024-02,2.6291178764110614,1.7643679533609347
2024-03,2.6291178764110614,1.8220659210092396
2024-04,2.6291178764110614,1.755206465705697
2024-05,2.6291178764110614,1.834760994108643
2024-06,2.6291178764110614,1.8727011957491437
2024-07,2.6291178764110614,1.9061281677209585
2024-08,2.6291178764110614,1.9571608344745834
2024-09,2.6291178764110614,1.9937358263366558
2024-10,2.6291178764110614,1.954631924014543
2024-11,2.6291178764110614,2.0450170783863526
2024-12,2.6291178764110614,1.992369812818241
2025-01,2.6291178764110614,2.063125914400212
2025-02,2.6291178764110614,2.0488768674453635
