anno,div_tax,plus_realizz,tax_plus,ricchezza_netta,lordo
1995,0.008634305394464992,0.00657020079695249,0.0017082522072076475,1.4296492336917008,1.4399917912933737
1996,0.00964972703864061,0.018893447129881284,0.004912296253769134,1.8962123121797994,1.9245975119288483
1997,0.010839354804433356,0.4426500637651221,0.11508901657893175,2.4846917965106594,2.6496996393533054
1998,0.005567719335864052,0.7614788049424203,0.19798448928502926,3.5559212311582225,4.009139254828429
1999,0.011560803767427782,0.37186970531581315,0.09668612338211142,4.942115261109161,5.694053378526098
2000,0.004888520233157885,-0.3206644659502671,0.0,3.0840531305563923,3.5589211731174406
2001,0.009490333790601088,0.075593770370392,0.0,3.4916674072199267,4.040249596043253
2002,0.006958417034981996,-0.12035638612408088,0.0,2.7112096763073836,3.1452244043621866
2003,0.015692330983096595,0.03700029817263658,0.0,3.1072370135455367,3.6228528074922153
2004,0.04512209863977054,0.037632299555077194,0.0,3.6320814993708455,4.287399809122415
2005,0.018759747366089964,0.05720590415189442,0.0,3.8521825466886157,4.569357063030898
2006,0.021633081604684877,0.075762750421772,0.003279189796892242,4.492815023888664,5.358808642993051
2007,0.02433757720506561,0.7162738045086955,0.18623118917226084,4.988987084151659,6.2017743181919815
2008,0.02159081767163752,0.09807248965909539,0.0254988473113648,4.475286095091231,5.621733103927542
2009,0.025214160833668856,0.38424126019632077,0.0999027276510434,4.921229729088486,6.339083855448063
2010,0.018311329065131873,0.2043940216027387,0.05314244561671207,5.776669768403321,7.533024787994068
2011,0.024590983950413717,0.14068047563321934,0.03657692366463703,6.499663687819784,8.5556053954467
2012,0.03900423923816674,0.5936878859502961,0.154358850347077,7.319376520412866,9.889132519631396
2013,0.03122462246101536,1.315177290392708,0.3419460955021041,8.703330809153433,12.263165607885586
2014,0.06137867726128816,0.38727366202230057,0.10069115212579816,10.43841482030826,14.936292970312545
2015,0.06982165675196823,0.6415435332390215,0.1668013186421456,10.365836929562795,15.171024535098121
2016,0.04311501355139937,0.07137738347652674,0.018558119703896953,11.535741706033035,16.973512728988613
2017,0.0465760052321605,0.2604424508720563,0.06771503722673464,16.156198771492903,23.940148193467152
2018,0.050942551976964755,1.8950040891956927,0.49270106319088014,16.217702326623257,24.836851257145625
2019,0.053327257279663504,1.5088680752225438,0.39230569955786143,25.29420548101684,39.41967399503124
2020,0.05209941620514825,8.000778623015547,2.080202441984042,38.18215145519706,62.82793140485341
2021,0.05708120712817005,0.6919313721902643,0.17990215676946875,58.83598653601794,97.2033360956064
2022,0.06418504355362338,0.8593287482860047,0.22342547455436124,39.52675191588315,65.77758071132799
2023,0.06591339760506806,7.888533152193088,2.051018619570203,58.515945945574,100.9008792941627
2024,0.07274168275552877,13.945317309698876,3.6257825005217077,100.22500237853306,179.19859347723772
2025,0.10975679130021164,80.72841332037194,20.989387463296705,99.81545785536503,216.19083177598387
