date,sp1_nav,sp3_nav,bench_nav
1995-01-03,1.0,1.0,1.0
1995-01-04,1.0,0.9941281936351413,1.004778156996587
1995-01-05,1.0024509712112721,0.9940221633041344,1.004778156996587
1995-01-06,0.9975490287887279,0.9923881824966195,1.00580204778157
1995-01-09,0.9877451439436392,0.9815401621137231,1.006825938566553
1995-01-10,0.9950980575774556,0.9821450918554666,1.0078498293515359
1995-01-11,1.0098039784901125,0.985790362801982,1.0085324232081911
1995-01-12,1.0073529136338164,0.9881939530994805,1.0088737201365188
1995-01-13,1.0196078633352013,0.9950280772267462,1.0208191126279864
1995-01-16,1.0318627193915622,1.0040618148756277,1.026962457337884
1995-01-17,1.0196078633352013,1.0050235949318111,1.0273037542662116
1995-01-18,1.0245098057577455,1.008365828142334,1.0262798634812287
1995-01-19,1.0,1.0026113518269504,1.0204778156996588
1995-01-20,1.0,1.0060477779437889,1.0167235494880547
1995-01-23,0.9852940790873431,1.0066440860931782,1.0197952218430035
1995-01-24,0.9877451439436392,0.9973676435620024,1.021160409556314
1995-01-25,0.9950980575774556,1.002803491178142,1.023890784982935
1995-01-26,1.0,1.0137457044673541,1.0249146757679182
1995-01-27,0.9901961151549113,1.011067081630816,1.02901023890785
1995-01-30,1.0024509712112721,1.0167623396077352,1.0245733788395905
1995-01-31,1.0098039784901125,1.0184081890549492,1.0286689419795223
1995-02-01,1.0024509712112721,1.012285025000434,1.0283276450511944
1995-02-02,1.0049019424225443,1.0118453127131544,1.0344709897610922
1995-02-03,1.0220588345464734,1.0278934764158016,1.0491467576791809
1995-02-06,1.0196078633352013,1.028568924214478,1.0535836177474402
1995-02-07,1.0196078633352013,1.0316799655809596,1.0549488054607508
1995-02-08,1.0196078633352013,1.030655671502329,1.0549488054607508
1995-02-09,1.0245098057577455,1.0232852398597458,1.0549488054607508
1995-02-10,1.0220588345464734,1.0271895967806022,1.0563139931740615
1995-02-13,1.0318627193915622,1.0291045526676537,1.0566552901023891
1995-02-14,1.0318627193915622,1.0295809939973724,1.0580204778156996
1995-02-15,1.0514705827267632,1.04373019603397,1.0638225255972695
1995-02-16,1.061274467571852,1.0577224466070119,1.062457337883959
1995-02-17,1.0514705827267632,1.046950807950234,1.0583617747440273
1995-02-21,1.0563725251493077,1.053673006862299,1.0580204778156996
1995-02-22,1.0808823309070532,1.0633436775232303,1.0658703071672355
1995-02-23,1.0857842733295975,1.0645012170010264,1.0675767918088737
1995-02-24,1.0735294172732366,1.063160435568785,1.070307167235495
1995-02-27,1.0514705827267632,1.0555883496203955,1.0617747440273038
1995-02-28,1.0735294172732366,1.0675530712440513,1.0706484641638225
1995-03-01,1.069313677825158,1.0660191746462815,1.0638225255972695
1995-03-02,1.0495573782419565,1.0559749088707575,1.0651877133105803
1995-03-03,1.0470878407940563,1.056066453250306,1.065529010238908
1995-03-06,1.042148671543866,1.0634244759503402,1.0662116040955631
1995-03-07,1.039679134095966,1.059380684884776,1.0580204778156996
1995-03-08,1.0520269156898567,1.0684752596375073,1.0607508532423209
1995-03-09,1.0520269156898567,1.0652805521058322,1.0604095563139933
1995-03-10,1.0816614594190488,1.0892582933397827,1.0761092150170648
1995-03-13,1.0791919219711485,1.0885479053521814,1.075085324232082
1995-03-14,1.0866005343148493,1.0903218603707978,1.0829351535836178
1995-03-15,1.0619050654814575,1.0823156197497312,1.0808873720136518
1995-03-16,1.084130996866949,1.102789867621402,1.0873720136518772
1995-03-17,1.0717832152730582,1.0970571932414737,1.0884477815699658
1995-03-20,1.069313677825158,1.092304937298961,1.0884477815699658
1995-03-21,1.0742528470753483,1.0953236564485,1.0857026421460818
1995-03-22,1.0791919219711485,1.1064637509745818,1.0867320694300384
1995-03-23,1.0767223845232485,1.0984780006681398,1.0874183542860094
1995-03-24,1.0866005343148493,1.1022407173712263,1.1028597635453563
1995-03-27,1.0791919219711485,1.1001283888675137,1.1073206151091677
1995-03-28,1.084130996866949,1.097262879105316,1.1073206151091677
1995-03-29,1.0866005343148493,1.1042146734973786,1.106977472681182
1995-03-30,1.0816614594190488,1.095518535203335,1.1049186181132693
1995-03-31,1.0668441403772577,1.090936637800259,1.100457766549458
1995-04-03,1.0791919219711485,1.101857927211177,1.1032029059733417
1995-04-04,1.084130996866949,1.1131108128989573,1.110408896961037
1995-04-05,1.084130996866949,1.1164759338836767,1.110408896961037
1995-04-06,1.0915396092106495,1.1136063942207055,1.1145266060968628
1995-04-07,1.084130996866949,1.1134491863840534,1.1134971788129064
1995-04-10,1.0866005343148493,1.1126556183513887,1.1155560333808192
1995-04-11,1.0816614594190488,1.1062718096685937,1.111781466672979
1995-04-12,1.0816614594190488,1.1102008864618063,1.1155560333808192
1995-04-13,1.0866005343148493,1.1116216624370092,1.1217325970845582
1995-04-17,1.0643746029293577,1.0984416123432708,1.1152128909528338
1995-04-18,1.0668441403772577,1.111522021978095,1.1114383242449934
1995-04-19,1.0816614594190488,1.1160099636785643,1.110408896961037
1995-04-20,1.0668441403772577,1.1139848136692252,1.1121246091009644
1995-04-21,1.0866005343148493,1.1234465637348305,1.1176148879487322
1995-04-24,1.0964787784608399,1.1304428062533096,1.1306543002121807
1995-04-25,1.1014178533566403,1.133367538248778,1.1275660183603113
1995-04-26,1.1038873908045403,1.1319911789485286,1.1285954456442677
1995-04-27,1.1137655405961413,1.133779939525463,1.1313405850681517
1995-04-28,1.1063569282524406,1.1314231932392615,1.133056297208079
1995-05-01,1.1137655405961413,1.1383106430453522,1.1299680153562097
1995-05-02,1.111296003148241,1.139912584668999,1.132370012352108
1995-05-03,1.1187046154919416,1.1457284076425271,1.1481545640394406
1995-05-04,1.1285828596379321,1.1528374413227047,1.1474682791834696
1995-05-05,1.1335219345337326,1.157717293985234,1.1460957094715276
1995-05-08,1.1557478659192242,1.1739052561195042,1.1543311277431794
1995-05-09,1.1582174033671244,1.1735628527336346,1.153301700459223
1995-05-10,1.1680955531587252,1.181389835394722,1.154674270171165
1995-05-11,1.153278328471324,1.1711081208440521,1.1577625520230344
1995-05-12,1.165626015710825,1.163098412725818,1.1584488368790051
1995-05-15,1.138461009429533,1.150283290464781,1.163939115726773
1995-05-16,1.123643784742132,1.1463290117869325,1.164625400582744
1995-05-17,1.1359914719816329,1.154486775488344,1.1601645490189327
1995-05-18,1.1162350780440413,1.139535827145019,1.1433505700476438
1995-05-19,1.1162350780440413,1.1432959473122921,1.1440368549036148
1995-05-22,1.1285828596379321,1.1491339468528892,1.1567331247390777
1995-05-23,1.138461009429533,1.1660294616417515,1.1673705400066279
1995-05-24,1.1285828596379321,1.1639321915838405,1.1666842551506569
1995-05-25,1.1162350780440413,1.1615383367285104,1.1677136824346135
1995-05-26,1.1137655405961413,1.149150407212188,1.1543311277431794
1995-05-30,1.1187046154919416,1.1568424535959714,1.153987985315194
1995-05-31,1.1458697161276234,1.1819254061058075,1.178007955274178
1995-06-01,1.1458697161276234,1.1771804897205824,1.1749196734223086
1995-06-02,1.1211741529398418,1.1646250195821055,1.175949100706265
1995-06-05,1.1434000843253334,1.1709093143042808,1.1831550916939604
1995-06-06,1.138461009429533,1.1670484855540713,1.1810962371260474
1995-06-07,1.1335219345337326,1.1684249712980628,1.1749196734223086
1995-06-08,1.123643784742132,1.1674520503131407,1.1721745339984246
1995-06-09,1.09894831590874,1.151557792101529,1.1653116854387149
1995-06-12,1.1211741529398418,1.1591770547665672,1.1718313915704393
1995-06-13,1.1359914719816329,1.167858694246238,1.1845276614059022
1995-06-14,1.1409305468774331,1.1726420403690907,1.1834982341219458
1995-06-15,1.1409305468774331,1.1801055834762242,1.1886453705417281
1995-06-16,1.1335219345337326,1.18834484166071,1.1921536587254518
1995-06-19,1.1434000843253334,1.1912593039305956,1.2056145714904467
1995-06-20,1.1310523970858324,1.181952079545586,1.202508207006217
1995-06-21,1.1285828596379321,1.1810754401719705,1.2018179037874994
1995-06-22,1.1310523970858324,1.1861717143798354,1.2176948778180063
1995-06-23,1.1285828596379321,1.1928120783376688,1.2152788165524944
1995-06-26,1.123643784742132,1.1957088047239486,1.2007824489594228
1995-06-27,1.1211741529398418,1.191207282793934,1.198366387693911
1995-06-28,1.1211741529398418,1.1980212376950696,1.20457911666237
1995-06-29,1.1063569282524406,1.1891338618437033,1.202508207006217
1995-06-30,1.121865648292542,1.184947276194329,1.2018179037874994
1995-07-03,1.1355469332092583,1.195781680148407,1.2063048747091645
1995-07-05,1.1492282181259745,1.1955824943670998,1.2107918456308293
1995-07-06,1.174103290250968,1.2163673318957584,1.2263236680519773
1995-07-07,1.1940033669590835,1.2113723173337647,1.2318460938017188
1995-07-10,1.1890283715422054,1.2087409474715105,1.2325363970204366
1995-07-11,1.174103290250968,1.2082007403583115,1.2266688196613362
1995-07-12,1.176590787959407,1.2191439181641968,1.2418554904731254
1995-07-13,1.164153299417212,1.211752836124879,1.2390942775982547
1995-07-14,1.1566908062918948,1.2029913627679343,1.238058822770178
1995-07-17,1.1840533761253274,1.216438774661959,1.2449618549573551
1995-07-18,1.174103290250968,1.2135551381745044,1.2342621550672308
1995-07-19,1.1566908062918948,1.2153227846629464,1.2208012423022359
1995-07-20,1.1815658784168883,1.2221535740339666,1.225288213223901
1995-07-21,1.1915158692506445,1.231852477994724,1.2239076067864654
1995-07-24,1.1865408738337664,1.2281932655991572,1.2328815486297955
1995-07-25,1.1865408738337664,1.228518059702156,1.2422006420824843
1995-07-26,1.1790782856678461,1.234521915953962,1.2411651872544078
1995-07-27,1.1790782856678461,1.2338188675236486,1.251519735535173
1995-07-28,1.16912829483409,1.2223356123749496,1.2435812485199196
1995-07-31,1.174103290250968,1.2250752469382036,1.24047488403569
1995-08-01,1.166640797125651,1.2219395052761353,1.238403974379537
1995-08-02,1.1417657250006574,1.208888200480925,1.2356427615046661
1995-08-03,1.1417657250006574,1.2087799357799252,1.2352976098953075
1995-08-04,1.1467407204175355,1.2086539163976098,1.2366782163327428
1995-08-07,1.16912829483409,1.212979453378875,1.2394394292076136
1995-08-08,1.174103290250968,1.2155573630168137,1.2394394292076136
1995-08-09,1.166640797125651,1.2207499378175075,1.2390942775982547
1995-08-10,1.1542033085834558,1.215901059873129,1.236333064723384
1995-08-11,1.1492282181259745,1.205821912139089,1.229430032536207
1995-08-14,1.166640797125651,1.2169023689011877,1.24047488403569
1995-08-15,1.166640797125651,1.209802014797862,1.238058822770178
1995-08-16,1.1591783040003338,1.1986922687627175,1.2415103388637665
1995-08-17,1.1467407204175355,1.190182188976804,1.2394394292076136
1995-08-18,1.1392782272922184,1.1801914090080543,1.240820035645049
1995-08-21,1.1442532227090965,1.1819504728529266,1.2373685195514605
1995-08-22,1.1442532227090965,1.182051204892173,1.2397845808169723
1995-08-23,1.1392782272922184,1.176537771508474,1.2352976098953075
1995-08-24,1.1492282181259745,1.1869547892230514,1.2366782163327428
1995-08-25,1.1616658017087729,1.2009425968496643,1.2435812485199196
1995-08-28,1.16912829483409,1.2014998153603953,1.2390942775982547
1995-08-29,1.171615792542529,1.2008070870398282,1.2422006420824843
1995-08-30,1.174103290250968,1.198491732456635,1.2449618549573551
1995-08-31,1.171615792542529,1.198373147645889,1.2459973097854316
1995-09-01,1.16912829483409,1.2024173173482975,1.251519735535173
1995-09-05,1.16912829483409,1.2035362834146923,1.2632548902533738
1995-09-06,1.1815658784168883,1.2118394423047705,1.2656709515188858
1995-09-07,1.176590787959407,1.2125197429909793,1.2663612547376035
1995-09-08,1.16912829483409,1.2076990379278472,1.2711933772686272
1995-09-11,1.171615792542529,1.210760679146107,1.2746448933622156
1995-09-12,1.1940033669590835,1.2302976256994185,1.280512470721316
1995-09-13,1.2064409505418818,1.2482480158703282,1.2863800480804164
1995-09-14,1.2412660135006313,1.2659547851184303,1.2981152027986171
1995-09-15,1.2711160810425028,1.2761116907283794,1.2977590063377589
1995-09-18,1.2412660135006313,1.2621050647580132,1.2929010849236604
1995-09-19,1.2338035203753144,1.267240585710223,1.2991469838846441
1995-09-20,1.2338035203753144,1.2764017178469065,1.305392882845628
1995-09-21,1.2362910180837532,1.2775412083937074,1.294636056857267
1995-09-22,1.2537035020428264,1.2892504112898309,1.2949830512439884
1995-09-25,1.281066071876259,1.297246920616924,1.2929010849236604
1995-09-26,1.27857857416782,1.2882910380573875,1.292554090536939
1995-09-27,1.2718126054490069,1.289898945255439,1.291513107376775
1995-09-28,1.2668053923824079,1.282117949560815,1.301228950204972
1995-09-29,1.2768197228613551,1.285662942816456,1.298799989497923
1995-10-02,1.2718126054490069,1.2803375566706765,1.2922070961502177
1995-10-03,1.2643019293304845,1.2944112656658424,1.293595073697103
1995-10-04,1.274316164155181,1.3090287096097202,1.2922070961502177
1995-10-05,1.2617982749700596,1.2969227365767095,1.2960240344041523
1995-10-06,1.2592947162638854,1.2990339829242483,1.2970650175643161
1995-10-09,1.2592947162638854,1.3040215603126215,1.286308191575955
1995-10-10,1.254287598851537,1.30214563807918,1.2856142028025124
1995-10-11,1.2442733640268404,1.2943371901558882,1.2897781354431683
1995-10-12,1.2592947162638854,1.295481077463914,1.2977590063377589
1995-10-13,1.2617982749700596,1.3070777549616375,1.3019229389784148
1995-10-16,1.2592947162638854,1.3097062090491562,1.295677040017431
1995-10-17,1.2818268402737034,1.3137539433961856,1.3043518996854642
1995-10-18,1.2868339576860517,1.321121141014075,1.3081688379393988
1995-10-19,1.3068625229896957,1.3413253896857036,1.3144147369003825
1995-10-20,1.294344729458825,1.3333794935418484,1.3064338660057921
1995-10-23,1.2718126054490069,1.3191632310659862,1.3036579109120214
1995-10-24,1.2617982749700596,1.3233446980189896,1.3050458884589067
1995-10-25,1.2617982749700596,1.3227240487310132,1.2942890624705456
