anno,div_tax,plus_realizz,tax_plus,ricchezza_netta,lordo
1995,0.008615680763304337,0.0,0.0,1.4656980565811324,1.4743137373444368
1996,0.009851084915745165,0.0,0.0,1.9748237237908175,1.9963411437296668
1997,0.011360429917641078,0.0,0.0,3.0261763401483552,3.0706333717898917
1998,0.013290646617120176,3.02753786178587,0.7871598440643262,3.3630980301762365,4.22471448989826
1999,0.0,0.0,0.0,5.560441335353441,6.985011102535688
2000,0.0,-1.2939579300500772,0.0,2.0691401001261593,2.5992480992813762
2001,0.008115759769542472,0.0,0.0,1.9598138442379307,2.4721077525993027
2002,0.009083583733684137,0.0,0.0,1.2452930444115313,1.5822697631381206
2003,0.009784443210241826,0.0,0.0,1.5487868216810428,1.980321175967678
2004,0.01061057847662958,-0.3249211879304146,0.0,1.8512182592752549,2.3805852566755967
2005,0.010954304060245388,0.0,0.0,2.192102640619851,2.8330343306874317
2006,0.01247702657033592,0.0,0.0,2.8139744179999693,3.6528554038074295
2007,0.013524999047855684,0.0,0.0,3.589091336025312,4.676601344787734
2008,0.015467904773555675,0.0,0.0,3.1775221415570565,4.160479672021999
2009,0.016798365587321586,0.0,0.0,2.739207873686342,3.608569011841765
2010,0.017920717494010936,0.0,0.0,3.0041208216478634,3.981167532192442
2011,0.019382723756690055,1.3662766292324844,0.355231923600446,3.1654524670404136,4.691422580630724
2012,0.010607202997296923,0.0,0.0,4.256360715237901,6.323945739470144
2013,0.02378478318839765,0.0,0.0,4.355841267369469,6.507088885522201
2014,0.026453375969576556,0.0,0.0,6.102027308850436,9.155193245462963
2015,0.029458062376949947,0.0,0.0,5.96373385328703,8.991901767707242
2016,0.032821764956980144,0.0,0.0,6.668524536680393,10.104047084948162
2017,0.03672137957493242,0.0,0.0,9.994484432832243,15.199130675737592
2018,0.042540091836945924,5.542080818112655,1.4409410127092905,7.842615845777621,14.182679176218533
2019,0.038111761490684765,4.614671383650954,1.199814559749248,11.365944606229737,22.792989132447552
2020,0.031779990299124566,0.0,0.0,19.679155961870702,39.52783200279971
2021,0.03420015493841289,0.0,0.0,27.775284711647608,55.85852604759369
2022,0.036105887374932075,0.0,0.0,19.188829363999965,38.663025695354804
2023,0.037895905208866265,0.0,0.0,28.58962202917385,57.680770436563435
2024,0.039641072691792394,25.789941369666025,6.705384756113166,30.96173594201227,76.07498509036934
2025,0.0023281184258608237,11.313762032365005,2.9415781284149016,39.34054602917444,103.89563048005326
