"DATE","TIME PERIOD","Bank interest rates - loans to households for house purchase (new business)  (MIR.M.IT.B.A2C.A.R.A.2250.EUR.N)"
"2005-11-30","2005Nov","3.6600"
"2005-12-31","2005Dec","3.7300"
"2006-01-31","2006Jan","3.8800"
"2006-02-28","2006Feb","3.9400"
"2006-03-31","2006Mar","4.0400"
"2006-04-30","2006Apr","4.1600"
"2006-05-31","2006May","4.2400"
"2006-06-30","2006Jun","4.3500"
"2006-07-31","2006Jul","4.4800"
"2006-08-31","2006Aug","4.5700"
"2006-09-30","2006Sep","4.6500"
"2006-10-31","2006Oct","4.7400"
"2006-11-30","2006Nov","4.8200"
"2006-12-31","2006Dec","4.8700"
"2007-01-31","2007Jan","5.0700"
"2007-02-28","2007Feb","5.1500"
"2007-03-31","2007Mar","5.1800"
"2007-04-30","2007Apr","5.2800"
"2007-05-31","2007May","5.3900"
"2007-06-30","2007Jun","5.4900"
"2007-07-31","2007Jul","5.6000"
"2007-08-31","2007Aug","5.6200"
"2007-09-30","2007Sep","5.6300"
"2007-10-31","2007Oct","5.7100"
"2007-11-30","2007Nov","5.6600"
"2007-12-31","2007Dec","5.7200"
"2008-01-31","2008Jan","5.6900"
"2008-02-29","2008Feb","5.6500"
"2008-03-31","2008Mar","5.6100"
"2008-04-30","2008Apr","5.6600"
"2008-05-31","2008May","5.7500"
"2008-06-30","2008Jun","5.8400"
"2008-07-31","2008Jul","5.9200"
"2008-08-31","2008Aug","5.9500"
"2008-09-30","2008Sep","5.8000"
"2008-10-31","2008Oct","5.7600"
"2008-11-30","2008Nov","5.5400"
"2008-12-31","2008Dec","5.0900"
"2009-01-31","2009Jan","4.7900"
"2009-02-28","2009Feb","4.5600"
"2009-03-31","2009Mar","4.2800"
"2009-04-30","2009Apr","4.0600"
"2009-05-31","2009May","3.7400"
"2009-06-30","2009Jun","3.6400"
"2009-07-31","2009Jul","3.3800"
"2009-08-31","2009Aug","3.2400"
"2009-09-30","2009Sep","3.0600"
"2009-10-31","2009Oct","2.9700"
"2009-11-30","2009Nov","2.9000"
"2009-12-31","2009Dec","2.8800"
"2010-01-31","2010Jan","2.7200"
"2010-02-28","2010Feb","2.6700"
"2010-03-31","2010Mar","2.5900"
"2010-04-30","2010Apr","2.6000"
"2010-05-31","2010May","2.5400"
"2010-06-30","2010Jun","2.5100"
"2010-07-31","2010Jul","2.5400"
"2010-08-31","2010Aug","2.6600"
"2010-09-30","2010Sep","2.6400"
"2010-10-31","2010Oct","2.7000"
