date,azienda,azionario
2026-01-31,185.1851851851852,185.1851851851852
2026-02-28,370.77198902176906,375.7624708405568
2026-03-31,556.7612825164738,568.041813082698
2026-04-30,743.1539385650094,716.0264379777624
2026-05-31,929.9508319561703,870.19314634305
2026-06-30,1117.1528393759409,1027.3997756132121
2026-07-31,1304.7608394116105,1183.2209186217826
2026-08-31,1492.775712555896,1423.2645135580387
2026-09-30,1681.198341211075,1700.4132033796636
2026-10-31,1870.029609693127,1927.0397272350035
2026-11-30,2059.270404235883,2268.5839035723984
2026-12-31,2248.9216129951856,2415.7499542831147
2027-01-31,2439.470743250548,2657.733549902079
2027-02-28,2630.4743558062064,2904.4220200454283
2027-03-31,2821.93353465641,3147.5134068167013
2027-04-30,3013.8493663808617,3395.232878260799
2027-05-31,3206.2229401508876,3590.9406930480786
2027-06-30,3399.055347735615,3696.1226562464135
2027-07-31,3592.347683508172,3929.07069873989
2027-08-31,3786.1010444518947,4196.761864737681
2027-09-30,3980.3165301665563,4519.998774415868
2027-10-31,4174.995242874605,4723.159827327581
2027-11-30,4370.13828742742,4994.61335597144
2027-12-31,4565.746771311585,5388.552216330466
2028-01-31,4766.174446240868,5628.534672655356
2028-02-29,4967.271237731486,5951.290928067043
2028-03-31,5169.039379591582,6118.888451542114
2028-04-30,5371.481113086745,6359.130206973412
2028-05-31,5574.598686964901,6758.704483696699
2028-06-30,5778.394357481299,6965.541530212972
2028-07-31,5982.870388423566,7318.595268294096
2028-08-31,6188.029051136857,7463.1988824606815
2028-09-30,6393.872624549087,7551.462433545358
2028-10-31,6600.403395196245,7727.017297806443
2028-11-30,6807.62365724779,7973.136672674522
2028-12-31,7015.53571253214,8068.182866960303
2029-01-31,7232.739276611403,8395.845041704111
2029-02-28,7450.934141468939,8542.169740440448
2029-03-31,7670.124831327162,9011.428120011977
2029-04-30,7890.315891056697,9546.685532155396
2029-05-31,8111.5118862706195,9559.199735226524
2029-06-30,8333.71740341912,9582.1463539927
2029-07-31,8556.9370498846,9836.352032788336
2029-08-31,8781.175454077216,10280.39655646372
2029-09-30,9006.437265530838,10673.850338319266
2029-10-31,9232.727154999457,11131.214900183499
2029-11-30,9460.049814554039,11421.074050162919
2029-12-31,9688.409957679807,11592.647705534515
2030-01-31,9901.417572963377,11241.779941212619
2030-02-28,10115.036887123495,11695.27898281033
2030-03-31,10329.269656789918,12716.505045416057
2030-04-30,10544.117643636959,13162.217352262527
2030-05-31,10759.582614397968,13444.986004613707
2030-06-30,10975.666340879869,13819.144081516952
2030-07-31,11192.37059997772,14052.913935003304
2030-08-31,11409.697173689332,14228.269279003243
2030-09-30,11627.64784912992,14347.27070117071
2030-10-31,11846.224418546799,14753.749393995507
2030-11-30,12065.42867933412,14938.795946819899
2030-12-31,12285.262434047654,14276.455156769929
2031-01-31,12494.517193977155,15104.519132794036
2031-02-28,12704.18193074775,15650.303796976088
2031-03-31,12914.257447595697,15275.302133059153
2031-04-30,13124.744549330973,16398.802520773188
2031-05-31,13335.644042340358,15233.338359621497
2031-06-30,13546.956734590522,15771.837361467047
2031-07-31,13758.683435631125,15243.073540767027
2031-08-31,13970.824956597913,16013.368334996192
2031-09-30,14183.38211021583,17292.160685198127
2031-10-31,14396.35571080213,17029.692118447932
2031-11-30,14609.746574269497,16988.5403193513
2031-12-31,14823.555518129166,18180.965636933015
2032-01-31,15048.113776253727,18967.726876430625
2032-02-29,15273.268487008394,18797.00464974078
2032-03-31,15499.021234640133,19711.16345583498
2032-04-30,15725.373607603859,20455.32670448262
