Date,adjclose
2006-05-31,19.411239624023438
2006-06-30,19.035093307495117
2006-07-31,19.168270111083984
2006-08-31,19.228801727294922
2006-09-30,19.72395896911621
2006-10-31,20.48350715637207
2006-11-30,21.331933975219727
2006-12-31,21.618911743164062
2007-01-31,22.42799949645996
2007-02-28,22.432044982910156
2007-03-31,22.883359909057617
2007-04-30,23.717395782470703
2007-05-31,25.29235076904297
2007-06-30,25.459699630737305
2007-07-31,25.82438850402832
2007-08-31,26.37547492980957
2007-09-30,28.238800048828125
2007-10-31,28.78225326538086
2007-11-30,27.902191162109375
2007-12-31,27.589677810668945
2008-01-31,25.266494750976562
2008-02-29,24.490753173828125
2008-03-31,24.024370193481445
2008-04-30,25.9237060546875
2008-05-31,26.34261703491211
2008-06-30,22.09063720703125
2008-07-31,22.933696746826172
2008-08-31,23.992616653442383
2008-09-30,20.79161834716797
2008-10-31,17.791654586791992
2008-11-30,16.028400421142578
2008-12-31,16.92749786376953
2009-01-31,16.460018157958984
2009-02-28,13.298422813415527
2009-03-31,13.79576301574707
2009-04-30,16.22329330444336
2009-05-31,17.272480010986328
2009-06-30,16.843088150024414
2009-07-31,17.379886627197266
2009-08-31,18.469999313354492
2009-09-30,19.89021873474121
2009-10-31,18.65251350402832
2009-11-30,20.03924560546875
2009-12-31,21.214941024780273
2010-01-31,21.119192123413086
2010-02-28,22.243221282958984
2010-03-31,24.109539031982422
2010-04-30,24.559724807739258
2010-05-31,22.329673767089844
2010-06-30,20.766300201416016
2010-07-31,22.31228256225586
2010-08-31,20.503068923950195
2010-09-30,22.585006713867188
2010-10-31,23.829954147338867
2010-11-30,23.599411010742188
2010-12-31,24.734716415405273
2011-01-31,26.19315528869629
2011-02-28,26.453746795654297
2011-03-31,27.05349349975586
2011-04-30,27.276723861694336
2011-05-31,27.17563247680664
2011-06-30,27.72051239013672
2011-07-31,26.17063331604004
2011-08-31,24.55318260192871
2011-09-30,23.085256576538086
2011-10-31,25.37683868408203
2011-11-30,25.813133239746094
2011-12-31,26.008358001708984
2012-01-31,27.347244262695312
2012-02-29,28.39285659790039
2012-03-31,28.60654640197754
2012-04-30,28.47871971130371
2012-05-31,26.32672882080078
2012-06-30,27.374652862548828
2012-07-31,26.998252868652344
2012-08-31,27.597068786621094
2012-09-30,28.007762908935547
2012-10-31,28.222381591796875
2012-11-30,28.900583267211914
2012-12-31,29.6201229095459
2013-01-31,29.989009857177734
2013-02-28,30.89606285095215
2013-03-31,32.54021072387695
2013-04-30,32.94948959350586
2013-05-31,35.13945007324219
2013-06-30,35.603641510009766
2013-07-31,38.6379280090332
2013-08-31,37.952491760253906
2013-09-30,40.30989456176758
2013-10-31,42.49888610839844
2013-11-30,45.21428298950195
2013-12-31,46.49248123168945
2014-01-31,46.29890823364258
2014-02-28,48.23463821411133
2014-03-31,48.117000579833984
2014-04-30,47.90541076660156
2014-05-31,48.45199966430664
2014-06-30,47.8238525390625
2014-07-31,45.52667236328125
2014-08-31,48.19192123413086
2014-09-30,47.820167541503906
2014-10-31,49.429283142089844
2014-11-30,50.74058151245117
2014-12-31,51.09206771850586
2015-01-31,50.967315673828125
2015-02-28,54.94099044799805
2015-03-31,55.36650466918945
2015-04-30,53.720462799072266
2015-05-31,54.37350845336914
2015-06-30,53.39527893066406
2015-07-31,52.90229797363281
2015-08-31,50.8586311340332
2015-09-30,48.973148345947266
2015-10-31,53.11488723754883
2015-11-30,53.88303756713867
2015-12-31,53.2066650390625
2016-01-31,49.246089935302734
2016-02-29,50.4837646484375
2016-03-31,52.749427795410156
2016-04-30,54.996768951416016
2016-05-31,55.97152328491211
2016-06-30,56.519405364990234
2016-07-31,58.59143829345703
2016-08-31,58.90812683105469
2016-09-30,58.54977035522461
2016-10-31,59.09870529174805
2016-11-30,65.01448822021484
2016-12-31,63.98078155517578
2017-01-31,64.83220672607422
2017-02-28,69.10306549072266
2017-03-31,67.85746765136719
2017-04-30,70.15713500976562
2017-05-31,72.00503540039062
2017-06-30,71.96820831298828
2017-07-31,75.42139434814453
2017-08-31,78.19309997558594
2017-09-30,81.75820922851562
2017-10-31,82.87409973144531
2017-11-30,85.3400650024414
2017-12-31,86.52993774414062
2018-01-31,93.49427032470703
2018-02-28,93.31949615478516
2018-03-31,91.25116729736328
2018-04-30,88.6651611328125
2018-05-31,91.77202606201172
2018-06-30,88.92159271240234
2018-07-31,95.09858703613281
2018-08-31,95.85161590576172
