Date,adjclose
2012-01-31,39.245487213134766
2012-02-29,41.790924072265625
2012-03-31,41.775726318359375
2012-04-30,41.94289016723633
2012-05-31,38.36406326293945
2012-06-30,39.205299377441406
2012-07-31,40.50777816772461
2012-08-31,41.35554885864258
2012-09-30,43.2052001953125
2012-10-31,42.234134674072266
2012-11-30,42.95859146118164
2012-12-31,43.839908599853516
2013-01-31,45.9025993347168
2013-02-28,46.191680908203125
2013-03-31,47.16832733154297
2013-04-30,48.44188690185547
2013-05-31,49.6998176574707
2013-06-30,47.54371643066406
2013-07-31,50.3094367980957
2013-08-31,49.460872650146484
2013-09-30,52.242313385009766
2013-10-31,53.57017517089844
2013-11-30,54.66231155395508
2013-12-31,55.52763748168945
2014-01-31,53.24394989013672
2014-02-28,56.057090759277344
2014-03-31,56.25463104248047
2014-04-30,55.90694808959961
2014-05-31,57.68490982055664
2014-06-30,58.43292999267578
2014-07-31,57.47185516357422
2014-08-31,59.065616607666016
2014-09-30,57.167537689208984
2014-10-31,57.65605926513672
2014-11-30,58.68921661376953
2014-12-31,57.95591354370117
2015-01-31,56.50822448730469
2015-02-28,60.28513717651367
2015-03-31,59.419769287109375
2015-04-30,60.479248046875
2015-05-31,60.73805236816406
2015-06-30,59.09109115600586
2015-07-31,60.6461067199707
2015-08-31,56.66032791137695
2015-09-30,54.64697265625
2015-10-31,58.452693939208984
2015-11-30,58.61639404296875
2015-12-31,57.58744812011719
2016-01-31,54.070980072021484
2016-02-29,53.75656509399414
2016-03-31,57.39714431762695
2016-04-30,58.009422302246094
2016-05-31,58.481048583984375
2016-06-30,58.04291534423828
2016-07-31,60.45405197143555
2016-08-31,60.654964447021484
2016-09-30,60.83077621459961
2016-10-31,59.54148483276367
2016-11-30,60.53775405883789
2016-12-31,61.79495620727539
2017-01-31,63.511478424072266
2017-02-28,65.17727661132812
2017-03-31,65.84527587890625
2017-04-30,66.9529800415039
2017-05-31,68.34819793701172
2017-06-30,68.62258911132812
2017-07-31,70.28839874267578
2017-08-31,70.34820556640625
2017-09-30,71.83460998535156
2017-10-31,73.3637466430664
2017-11-30,74.79888153076172
2017-12-31,75.97466278076172
2018-01-31,79.91522979736328
2018-02-28,76.43165588378906
2018-03-31,75.12963104248047
2018-04-30,75.69009399414062
2018-05-31,76.19022369384766
2018-06-30,76.30738067626953
2018-07-31,78.60201263427734
2018-08-31,79.50066375732422
2018-09-30,80.09396362304688
2018-10-31,74.37918853759766
2018-11-30,75.21678161621094
2018-12-31,69.46927642822266
2019-01-31,74.8333969116211
2019-02-28,77.06182861328125
2019-03-31,78.2068862915039
2019-04-30,81.1135482788086
2019-05-31,76.41885375976562
2019-06-30,81.26421356201172
2019-07-31,82.01417541503906
2019-08-31,80.21067810058594
2019-09-30,81.9427490234375
2019-10-31,84.03194427490234
2019-11-30,86.38898468017578
2019-12-31,89.02202606201172
2020-01-31,88.07575988769531
2020-02-29,80.81195831298828
2020-03-31,70.231689453125
2020-04-30,77.8289566040039
2020-05-31,81.74021911621094
2020-06-30,83.8801498413086
2020-07-31,87.98585510253906
2020-08-31,93.73021697998047
2020-09-30,90.59858703613281
2020-10-31,87.87661743164062
2020-11-30,99.17412567138672
2020-12-31,103.07390594482422
2021-01-31,102.23030853271484
2021-02-28,104.77943420410156
2021-03-31,108.64893341064453
2021-04-30,113.34368896484375
2021-05-31,115.16842651367188
2021-06-30,116.979248046875
2021-07-31,119.0679931640625
2021-08-31,122.01627349853516
2021-09-30,116.8775863647461
2021-10-31,123.69837951660156
2021-11-30,121.1659927368164
2021-12-31,126.0314712524414
2022-01-31,119.51195526123047
2022-02-28,116.0286636352539
2022-03-31,119.36292266845703
2022-04-30,109.3601303100586
2022-05-31,109.84445190429688
2022-06-30,100.40445709228516
2022-07-31,108.5679702758789
2022-08-31,103.59846496582031
2022-09-30,93.89433288574219
2022-10-31,100.91175842285156
2022-11-30,108.44584655761719
2022-12-31,103.38574981689453
2023-01-31,110.72921752929688
2023-02-28,107.86184692382812
2023-03-31,111.35377502441406
2023-04-30,113.35997772216797
2023-05-31,112.23384857177734
2023-06-30,118.97727966308594
2023-07-31,122.81834411621094
2023-08-31,120.1047592163086
2023-09-30,114.82091522216797
2023-10-31,111.89713287353516
2023-11-30,122.09217071533203
2023-12-31,128.1444091796875
2024-01-31,129.28114318847656
2024-02-29,135.13827514648438
2024-03-31,139.59860229492188
2024-04-30,134.06898498535156
2024-05-31,140.36927795410156
2024-06-30,143.23977661132812
2024-07-31,145.64833068847656
2024-08-31,149.73699951171875
2024-09-30,152.38833618164062
2024-10-31,149.29995727539062
2024-11-30,156.49642944335938
2024-12-31,152.05616760253906
2025-01-31,157.10191345214844
2025-02-28,156.45651245117188
2025-03-31,149.7875518798828
2025-04-30,150.86318969726562
2025-05-31,159.6931915283203
2025-06-30,166.9043426513672
2025-07-31,168.5991973876953
2025-08-31,173.30934143066406
2025-09-30,178.90631103515625
2025-10-31,182.32559204101562
2025-11-30,182.94638061523438
2025-12-31,184.53594970703125
2026-01-31,188.37030029296875
2026-02-28,189.572265625
2026-03-31,178.8241424560547
2026-04-30,195.2443389892578
2026-05-31,203.5686492919922
2026-06-30,202.63999938964844
2026-07-31,203.3699951171875
2026-08-31,209.14999389648438
