Date,Price_SPY_1x,Price_SSO_Real_2x,Price_Synthetic_2x,Difference_Real_vs_Synth
2006-06-21,86.78573608398438,3.6503148078918457,3.6503148078918457,0.0
2006-06-22,86.40389251708984,3.6115148067474365,3.6181931876941555,-0.00667838094671902
2006-06-23,86.39002227783203,3.6110050678253174,3.617031545464105,-0.006026477638787497
2006-06-26,86.7718734741211,3.6319360733032227,3.64900671542549,-0.017070642122267277
2006-06-27,86.02206420898438,3.56760835647583,3.585943445399676,-0.018335088923846055
2006-06-28,86.6052474975586,3.599262237548828,3.6345649778020794,-0.03530274025325131
2006-06-29,88.35470581054688,3.7519094944000244,3.7814041151116555,-0.029494620711631114
2006-06-30,88.36160278320312,3.7498679161071777,3.781994468291939,-0.03212655218476135
2006-07-03,88.72262573242188,3.800922393798828,3.812898995911742,-0.011976602112913959
2006-07-05,88.21585845947266,3.750379800796509,3.7693418443906297,-0.018962043594120903
2006-07-06,88.47270202636719,3.7621219158172607,3.7912909864397966,-0.02916907062253582
2006-07-07,87.89649963378906,3.71872615814209,3.74190737121585,-0.023181213073760087
2006-07-10,88.06310272216797,3.7253642082214355,3.7560925396143574,-0.03072833139292186
2006-07-11,88.45191192626953,3.7570157051086426,3.7892597414438614,-0.03224403633521877
2006-07-12,87.50772857666016,3.6829891204833984,3.708362542563668,-0.025373422080269492
2006-07-13,86.08454132080078,3.571692943572998,3.587740183909725,-0.016047240336726887
2006-07-14,85.75135803222656,3.539529323577881,3.559968064672422,-0.020438741094541246
2006-07-17,85.62639617919922,3.5359559059143066,3.5495924807449364,-0.013636574830629744
2006-07-18,86.06375122070312,3.541571617126465,3.5858530787850356,-0.04428146165857072
2006-07-19,87.25785064697266,3.6630795001983643,3.685357575006297,-0.022278074807932757
2006-07-20,86.66080474853516,3.6201937198638916,3.6349248034420474,-0.01473108357815578
2006-07-21,86.04986572265625,3.563014507293701,3.583674011922125,-0.020659504628423697
2006-07-24,87.61884307861328,3.675842046737671,3.714358780076438,-0.03851673333876704
2006-07-25,87.93120574951172,3.7223000526428223,3.7408422849585725,-0.01854223231575025
2006-07-26,88.04923248291016,3.729447364807129,3.750884667325309,-0.02143730251817999
2006-07-27,87.96593475341797,3.693711280822754,3.7437877246816376,-0.05007644385888366
2006-07-28,88.84761047363281,3.7779476642608643,3.8188351108713676,-0.040887446610503364
2006-07-31,88.75733184814453,3.7677392959594727,3.8110744252898874,-0.04333512933041472
2006-08-01,88.3199691772461,3.7340424060821533,3.773515349212898,-0.039472943130744564
2006-08-02,88.91704559326172,3.762631893157959,3.824536132881117,-0.06190423972315795
2006-08-03,89.15306091308594,3.781522512435913,3.8448393067564677,-0.06331679432055459
2006-08-04,89.00033569335938,3.780501127243042,3.831666367500682,-0.05116524025764013
2006-08-07,88.79207611083984,3.7595694065093994,3.8137342724847896,-0.054164865975390164
2006-08-08,88.45191192626953,3.7289369106292725,3.784513290933503,-0.05557638030423062
2006-08-09,88.15335845947266,3.7003471851348877,3.7589654076025267,-0.058618222467639036
2006-08-10,88.42414093017578,3.7330219745635986,3.7820583891552637,-0.04903641459166508
2006-08-11,88.17420959472656,3.7059643268585205,3.7606783702146234,-0.05471404335610286
2006-08-14,88.24361419677734,3.71872615814209,3.766598658855155,-0.04787250071306515
2006-08-15,89.298828125,3.810112714767456,3.856680358319226,-0.04656764355177012
2006-08-16,90.04169464111328,3.8739283084869385,3.9208469047723713,-0.04691859628543282
2006-08-17,90.27079010009766,3.8897554874420166,3.9407987331966687,-0.05104324575465213
2006-08-18,90.72895050048828,3.905581474304199,3.980800995799182,-0.0752195214949829
2006-08-21,90.3401870727539,3.8872029781341553,3.9466864197632354,-0.05948344162908015
2006-08-22,90.33325958251953,3.893838882446289,3.9460811380493714,-0.05224225560308238
2006-08-23,90.08331298828125,3.858614683151245,3.9242440086110757,-0.06562932545983058
2006-08-24,90.0069580078125,3.872908592224121,3.917591598421164,-0.04468300619704291
2006-08-25,90.11802673339844,3.880056142807007,3.927260226621331,-0.04720408381432417
2006-08-28,90.5484619140625,3.9132401943206787,3.9647761604790803,-0.051535966158401614
2006-08-29,90.65263366699219,3.931619167327881,3.9738987380222066,-0.04227957069432575
2006-08-30,90.70814514160156,3.931107759475708,3.978765601123092,-0.04765784164738385
2006-08-31,90.69425964355469,3.928044319152832,3.977547471441416,-0.04950315228858404
2006-09-01,91.23577117919922,3.9678666591644287,4.025045247989224,-0.05717858882479554
2006-09-05,91.40931701660156,3.9750149250030518,4.0403578789697345,-0.06534295396668277
2006-09-06,90.60399627685547,3.905581474304199,3.9691663614717982,-0.06358488716759902
2006-09-07,90.1874771118164,3.866272211074829,3.932672742498753,-0.06640053142392377
2006-09-08,90.44434356689453,3.893838882446289,3.9550743383454923,-0.061235455899203206
2006-09-11,90.53457641601562,3.8928189277648926,3.9629659899836227,-0.07014706221873013
2006-09-12,91.42321014404297,3.9688880443573,4.040762239353422,-0.07187419499612258
2006-09-13,91.7911376953125,4.007688045501709,4.0732858786709505,-0.0655978331692415
2006-09-14,91.79810333251953,3.9882869720458984,4.0739040871905035,-0.08561711514460502
2006-09-15,92.0135269165039,4.022494792938232,4.093024635162878,-0.0705298422246452
2006-09-18,92.1390380859375,4.021984100341797,4.104190826171858,-0.08220672583006117
2006-09-19,91.90895080566406,3.995948076248169,4.083693062693226,-0.08774498644505702
2006-09-20,92.39702606201172,4.044447898864746,4.127065324501187,-0.0826174256364407
2006-09-21,91.95076751708984,4.0005412101745605,4.087199578924627,-0.08665836875006683
2006-09-22,91.67185974121094,3.978588104248047,4.062404750672232,-0.08381664642418496
2006-09-25,92.3761215209961,4.052614688873291,4.124822954208033,-0.07220826533474156
2006-09-26,93.1431655883789,4.105710029602051,4.193323794553675,-0.08761376495162398
2006-09-27,93.25472259521484,4.1159210205078125,4.203368431715387,-0.08744741120757471
2006-09-28,93.21985626220703,4.1291937828063965,4.200225297739624,-0.07103151493322724
2006-09-29,93.1431655883789,4.112349987030029,4.193314364356342,-0.08096437732631312
2006-10-02,92.79448699951172,4.078141689300537,4.161919276461183,-0.08377758716064587
2006-10-03,92.9897689819336,4.092947483062744,4.179436434500786,-0.08648895143804225
2006-10-04,94.0774917602539,4.188930034637451,4.277212098643613,-0.08828206400616168
2006-10-05,94.25875854492188,4.2088398933410645,4.293694606201103,-0.08485471286003854
2006-10-06,94.14026641845703,4.1965861320495605,4.28289945014063,-0.08631331809106957
2006-10-09,94.19599914550781,4.200671195983887,4.2879705568014,-0.08729936081751344
2006-10-10,94.32154083251953,4.21343469619751,4.299400321599072,-0.08596562540156238
2006-10-11,94.2099838256836,4.1965861320495605,4.289230253832288,-0.09264412178272785
2006-10-12,95.02581024169922,4.271635055541992,4.363516804012034,-0.09188174847004138
2006-10-13,95.26988220214844,4.2915449142456055,4.385932021479781,-0.09438710723417554
2006-10-16,95.41629028320312,4.304819583892822,4.3994123759435055,-0.09459279205068327
2006-10-17,95.11643981933594,4.270102024078369,4.371761629142214,-0.10165960506384497
2006-10-18,95.2419662475586,4.282357692718506,4.383300572849305,-0.10094288013079922
2006-10-19,95.39535522460938,4.290014266967773,4.397419348793679,-0.10740508182590514
