Date,QQQ,QLD
2006-06-21,33.109832763671875,0.9833744764328003
2006-06-22,32.69038772583008,0.9602368474006653
2006-06-23,32.65615463256836,0.9573785662651062
2006-06-26,32.74175262451172,0.9609169960021973
2006-06-27,32.12540817260742,0.9249847531318665
2006-06-28,32.36509704589844,0.9362817406654358
2006-06-29,33.34950256347656,0.9929026365280151
2006-06-30,33.18687057495117,0.9833744764328003
2006-07-03,33.38374328613281,0.9948074817657471
2006-07-05,32.65615463256836,0.9556087851524353
2006-07-06,32.62191390991211,0.950028657913208
2006-07-07,32.26239013671875,0.9292042255401611
2006-07-10,31.97992515563965,0.9138243198394775
2006-07-11,32.21958923339844,0.9287955164909363
2006-07-12,31.611846923828125,0.8920471668243408
2006-07-13,31.081119537353516,0.8636002540588379
2006-07-14,30.76439666748047,0.8459067940711975
2006-07-17,30.84144401550293,0.8499893546104431
2006-07-18,30.944164276123047,0.8547534346580505
2006-07-19,31.346481323242188,0.8732640743255615
2006-07-20,30.88423728942871,0.8494449853897095
2006-07-21,30.55896759033203,0.8302541375160217
2006-07-24,31.166719436645508,0.860878050327301
2006-07-25,31.346481323242188,0.8693171739578247
2006-07-26,31.320796966552734,0.8710863590240479
2006-07-27,31.1153564453125,0.8622394800186157
2006-07-28,31.765926361083984,0.8966742753982544
2006-07-31,31.757354736328125,0.8949050903320312
2006-08-01,31.226640701293945,0.8642814755439758
2006-08-02,31.577594757080078,0.8802057504653931
2006-08-03,31.774471282958984,0.8949050903320312
2006-08-04,31.628955841064453,0.8867388963699341
2006-08-07,31.423505783081055,0.8759860396385193
2006-08-08,31.226640701293945,0.8649616837501526
2006-08-09,31.269445419311523,0.8645530343055725
2006-08-10,31.491989135742188,0.8755776882171631
2006-08-11,31.269445419311523,0.8670033812522888
2006-08-14,31.474882125854492,0.8748972415924072
2006-08-15,32.270957946777344,0.9204933047294617
2006-08-16,33.032798767089844,0.96431964635849
2006-08-17,33.152618408203125,0.9704447388648987
2006-08-18,33.203983306884766,0.9690834283828735
2006-08-21,32.88725662231445,0.9513897895812988
2006-08-22,32.895835876464844,0.9538397789001465
2006-08-23,32.64760208129883,0.9377790689468384
2006-08-24,32.74175262451172,0.9449926614761353
2006-08-25,32.801666259765625,0.9486678242683411
2006-08-28,33.049896240234375,0.9622787833213806
2006-08-29,33.152618408203125,0.9684031009674072
2006-08-30,33.30670928955078,0.9769778251647949
2006-08-31,33.272457122802734,0.9758893251419067
2006-09-01,33.45222091674805,0.9847358465194702
2006-09-05,33.77750778198242,1.0024293661117554
2006-09-06,33.101261138916016,0.9633674025535583
2006-09-07,32.94719314575195,0.9547925591468811
2006-09-08,33.144073486328125,0.96431964635849
2006-09-11,33.34950256347656,0.977249801158905
2006-09-12,33.96581268310547,1.0152243375778198
2006-09-13,34.19694519042969,1.0269287824630737
2006-09-14,34.2311897277832,1.0258400440216064
2006-09-15,34.35366439819336,1.0357764959335327
2006-09-18,34.36220932006836,1.0349591970443726
2006-09-19,34.13095474243164,1.0224376916885376
2006-09-20,34.627716064453125,1.052789568901062
2006-09-21,34.41360855102539,1.0391786098480225
2006-09-22,34.148094177246094,1.0212126970291138
2006-09-25,34.747623443603516,1.0589141845703125
2006-09-26,34.91893005371094,1.0676252841949463
2006-09-27,34.8761100769043,1.062180757522583
2006-09-28,34.970314025878906,1.0684422254562378
2006-09-29,34.8161506652832,1.0602755546569824
