Date,SPY,QQQ,XLE
1999-03-10,80.29507446289062,43.07432556152344,5.979349136352539
1999-03-11,81.18846893310547,43.28522872924805,6.064106464385986
1999-03-12,80.41157531738281,42.23076629638672,6.040987968444824
1999-03-15,81.55752563476562,43.44340896606445,5.994758129119873
1999-03-16,81.24674987792969,43.81245040893555,5.963937282562256
1999-03-17,80.89714050292969,43.4961051940918,6.118045330047607
1999-03-18,82.19847869873047,44.33967971801758,6.195098400115967
1999-03-19,80.80131530761719,43.20614242553711,6.13230562210083
1999-03-22,80.95703887939453,42.67893600463867,6.1709723472595215
1999-03-23,78.6206283569336,41.176326751708984,6.0627055168151855
1999-03-24,79.06845092773438,42.57345962524414,6.031774044036865
1999-03-25,80.68449401855469,44.128787994384766,6.047239303588867
1999-03-26,80.10040283203125,43.65428924560547,6.124570369720459
1999-03-29,81.71638488769531,45.23596954345703,6.294698238372803
1999-03-30,81.28804016113281,44.91963577270508,6.178703308105469
1999-03-31,79.98356628417969,44.26060485839844,6.085905075073242
1999-04-01,80.587158203125,45.18326187133789,6.078174114227295
1999-04-05,82.49520111083984,46.817623138427734,6.225102424621582
1999-04-06,82.3005142211914,46.90993118286133,6.163235187530518
1999-04-07,82.9625473022461,46.422218322753906,6.101373672485352
1999-04-08,84.01392364501953,46.791290283203125,6.163235187530518
1999-04-09,84.03336334228516,47.08123016357422,6.279233455657959
1999-04-12,84.92898559570312,46.76491165161133,6.325628757476807
1999-04-13,84.38381958007812,46.13225173950195,6.317899703979492
1999-04-14,82.9625473022461,44.550575256347656,6.240566730499268
1999-04-15,82.65097045898438,45.156883239746094,6.511224269866943
1999-04-16,81.95002746582031,43.83882141113281,6.716150283813477
1999-04-19,80.68449401855469,41.78264236450195,6.797351360321045
1999-04-20,81.69690704345703,42.731632232666016,6.689084529876709
1999-04-21,84.03336334228516,44.84054946899414,6.588557243347168
1999-04-22,84.83162689208984,46.05317687988281,6.704548358917236
1999-04-23,84.61746978759766,46.659481048583984,6.619485378265381
1999-04-26,85.10419464111328,47.73368453979492,6.472554683685303
1999-04-27,85.51306915283203,47.002166748046875,6.677483558654785
1999-04-28,84.34484100341797,45.39412307739258,6.897876739501953
1999-04-29,83.70238494873047,45.02506637573242,7.106668949127197
1999-04-30,83.02088928222656,45.31503677368164,6.986804485321045
1999-05-03,84.53959655761719,45.07780456542969,7.160797595977783
1999-05-04,83.33241271972656,44.36604309082031,7.168534278869629
1999-05-05,83.994384765625,45.71047592163086,7.064136505126953
1999-05-06,83.4784164428711,44.04972457885742,7.04480504989624
1999-05-07,84.11124420166016,44.682376861572266,7.08733606338501
1999-05-10,83.69263458251953,45.13050079345703,7.006138324737549
1999-05-11,84.53959655761719,45.84228515625,7.02933931350708
1999-05-12,85.20157623291016,46.791290283203125,6.897876739501953
1999-05-13,85.5715103149414,45.92136001586914,6.932677268981934
1999-05-14,83.35191345214844,45.05144500732422,6.882410526275635
1999-05-17,83.60501861572266,45.86205291748047,6.8553466796875
1999-05-18,83.44925689697266,45.65775680541992,6.6968183517456055
1999-05-19,84.05284118652344,46.290428161621094,6.789610385894775
1999-05-20,83.54662322998047,45.01846694946289,6.866944313049316
1999-05-21,83.07930755615234,44.60328674316406,6.975207805633545
1999-05-24,81.69690704345703,43.469764709472656,6.8089494705200195
1999-05-25,80.37295532226562,42.0462532043457,6.781881809234619
1999-05-26,81.26860046386719,43.21932601928711,6.975207805633545
1999-05-27,80.10040283203125,43.17980194091797,6.766411304473877
1999-05-28,81.1225814819336,43.891544342041016,6.836010932922363
1999-06-01,80.84021759033203,42.916175842285156,6.797351360321045
1999-06-02,80.91812896728516,43.641109466552734,6.874677658081055
1999-06-03,81.36593627929688,43.02163314819336,6.897876739501953
1999-06-04,83.00141143798828,44.33967971801758,7.006138324737549
1999-06-07,83.21558380126953,45.26232147216797,7.08733606338501
1999-06-08,82.39789581298828,44.128787994384766,6.975207805633545
1999-06-09,82.31997680664062,44.86690902709961,6.990670204162598
1999-06-10,81.56062316894531,44.352874755859375,7.02933931350708
1999-06-11,80.87915802001953,43.680660247802734,7.083469867706299
1999-06-14,80.95703887939453,42.856868743896484,7.145331859588623
1999-06-15,81.50221252441406,43.4961051940918,7.234264373779297
1999-06-16,83.05982208251953,45.73023223876953,7.160797595977783
1999-06-17,83.83868408203125,46.23769760131836,7.168534278869629
1999-06-18,83.93550872802734,46.44857406616211,7.181527614593506
1999-06-21,84.13079833984375,47.839134216308594,7.014425754547119
1999-06-22,83.54496002197266,46.3958625793457,6.940589427947998
1999-06-23,83.13481140136719,47.12738037109375,6.994998455047607
1999-06-24,82.50990295410156,46.19157028198242,6.878409385681152
1999-06-25,82.30484008789062,46.13225173950195,6.824006080627441
1999-06-28,83.31058502197266,47.226261138916016,6.781258583068848
1999-06-29,84.09178161621094,47.87208938598633,6.8745245933532715
1999-06-30,85.61500549316406,48.61020278930664,6.97556734085083
1999-07-01,86.25947570800781,48.93972396850586,7.029969692230225
1999-07-02,87.1187515258789,49.5592155456543,7.053285598754883
1999-07-06,87.0992431640625,49.24287033081055,7.1854143142700195
1999-07-07,87.21636962890625,49.32196807861328,7.165984153747559
1999-07-08,87.28471374511719,49.980987548828125,7.212616443634033
1999-07-09,87.80224609375,50.48186492919922,7.208726406097412
1999-07-12,87.41171264648438,50.21824645996094,7.282567977905273
1999-07-13,87.0992431640625,49.980987548828125,7.212616443634033
1999-07-14,87.58744049072266,50.831153869628906,7.224279880523682
1999-07-15,88.14398956298828,51.29905700683594,7.29033899307251
1999-07-16,88.62249755859375,51.77357864379883,7.243712902069092
1999-07-19,88.03661346435547,51.246341705322266,7.216498851776123
1999-07-20,86.23018646240234,49.26923751831055,7.02608060836792
1999-07-21,86.13256072998047,49.506492614746094,7.103804588317871
1999-07-22,84.9998779296875,48.24776840209961,6.998879909515381
1999-07-23,84.83384704589844,48.32023620605469,7.03385591506958
1999-07-26,84.20892333984375,47.13398742675781,6.901728630065918
1999-07-27,84.91197967529297,48.08297348022461,6.901728630065918
1999-07-28,85.18535614013672,49.02540969848633,7.002766132354736
1999-07-29,83.99410247802734,47.9775390625,6.960021495819092
1999-07-30,82.95909118652344,47.74028396606445,7.107690811157227
1999-08-02,83.15436553955078,47.60850143432617,6.952245235443115
1999-08-03,82.76377868652344,47.2987174987793,7.041630744934082
1999-08-04,81.6310806274414,46.44198226928711,7.138781547546387
1999-08-05,82.3731918334961,47.180110931396484,7.263138294219971
1999-08-06,81.4748764038086,46.67265701293945,7.251480579376221
1999-08-09,81.299072265625,46.07294464111328,7.426353454589844
1999-08-10,80.4007797241211,45.65775680541992,7.383604526519775
1999-08-11,81.37721252441406,47.16033935546875,7.430241107940674
1999-08-12,81.32844543457031,46.60674285888672,7.44578218460083
1999-08-13,83.21297454833984,48.636566162109375,7.4224653244018555
1999-08-16,83.58396911621094,49.02540969848633,7.348632335662842
1999-08-17,84.13079833984375,49.26923751831055,7.4030327796936035
1999-08-18,83.52539825439453,48.71564483642578,7.348632335662842
1999-08-19,82.84188842773438,48.13570785522461,7.399150848388672
1999-08-20,83.6816177368164,48.90018844604492,7.4224653244018555
1999-08-23,85.28300476074219,50.45547866821289,7.461328983306885
1999-08-24,85.59548950195312,50.79820251464844,7.414694309234619
1999-08-25,86.4742431640625,51.878997802734375,7.379716873168945
1999-08-26,85.43928527832031,51.015689849853516,7.189300060272217
1999-08-27,84.40421295166016,50.50823211669922,7.1854143142700195
1999-08-30,82.84188842773438,49.79646301269531,7.088261127471924
1999-08-31,82.52942657470703,50.35005187988281,7.1854143142700195
1999-09-01,83.54496002197266,50.7125244140625,7.165984153747559
1999-09-02,82.5587158203125,50.53458023071289,7.088261127471924
1999-09-03,84.97054290771484,52.85437774658203,7.173755168914795
1999-09-07,84.6581039428711,52.61711502075195,7.305881023406982
1999-09-08,84.24797821044922,51.905364990234375,7.329198360443115
1999-09-09,84.20892333984375,52.64349365234375,7.49241304397583
1999-09-10,84.91197967529297,53.24980163574219,7.4690985679626465
1999-09-13,84.33584594726562,52.610530853271484,7.352514743804932
1999-09-14,83.7792739868164,52.90052032470703,7.270904541015625
1999-09-15,82.4513168334961,51.878997802734375,7.165984153747559
1999-09-16,82.77352142333984,51.852657318115234,7.162098407745361
1999-09-17,83.81938934326172,53.40796661376953,7.229711532592773
1999-09-20,83.70185852050781,53.53317642211914,7.120408058166504
1999-09-21,81.9393310546875,52.2480583190918,6.886183738708496
1999-09-22,81.85120391845703,52.801658630371094,6.8939900398254395
1999-09-23,80.13758087158203,50.61366653442383,6.815917015075684
1999-09-24,80.05927276611328,50.679569244384766,6.745648384094238
1999-09-27,80.58802032470703,51.035457611083984,6.808107852935791
1999-09-28,80.4313735961914,51.272701263427734,6.698798179626465
1999-09-29,79.47171783447266,50.2446174621582,6.788585662841797
1999-09-30,80.68597412109375,50.771846771240234,6.854953289031982
1999-10-01,80.50971221923828,50.791595458984375,6.831529140472412
1999-10-04,81.9393310546875,51.93172836303711,6.753454208374023
1999-10-05,81.86099243164062,52.300777435302734,6.605113506317139
1999-10-06,83.11436462402344,53.34864044189453,6.722225666046143
1999-10-07,82.64435577392578,53.22344207763672,6.597305774688721
1999-10-08,83.89775085449219,53.78363037109375,6.523136615753174
1999-10-11,83.76065063476562,54.541500091552734,6.620728492736816
1999-10-12,82.46810913085938,53.30251693725586,6.65585994720459
1999-10-13,80.3334732055664,51.72085189819336,6.698798179626465
1999-10-14,80.31388092041016,52.043766021728516,6.675380229949951
1999-10-15,78.25756072998047,50.50823211669922,6.57778787612915
1999-10-18,78.82550811767578,49.86895751953125,6.589499473571777
1999-10-19,79.58926391601562,50.1391716003418,6.609018802642822
1999-10-20,80.37265014648438,51.66811752319336,6.745648384094238
1999-10-21,80.84263610839844,52.511688232421875,6.77687406539917
1999-10-22,81.52806854248047,52.274444580078125,6.890082359313965
1999-10-25,81.1168212890625,52.300777435302734,6.77687406539917
