Date,AdjClose,Close,High,Low,Open,Volume
2024-06-10,107.22000122070312,107.22000122070312,112.4800033569336,105.80000305175781,112.4800033569336,54
2024-06-11,106.30999755859375,106.30999755859375,106.5,105.9000015258789,106.5,92
2024-06-12,109.04000091552734,109.04000091552734,107.69999694824219,107.30000305175781,107.69999694824219,76
2024-06-13,105.83000183105469,105.83000183105469,114.4800033569336,106.80000305175781,114.4800033569336,49
2024-06-14,104.29000091552734,104.29000091552734,104.19999694824219,104.19999694824219,104.19999694824219,29
2024-06-17,101.3499984741211,101.3499984741211,103.0,102.5,103.0,16
2024-06-18,102.1500015258789,102.1500015258789,102.5,101.9000015258789,102.0,100
2024-06-19,102.1500015258789,102.1500015258789,102.1500015258789,102.1500015258789,102.1500015258789,0
2024-06-20,101.94999694824219,101.94999694824219,102.19999694824219,102.19999694824219,102.19999694824219,1
2024-06-21,101.94999694824219,101.94999694824219,101.94999694824219,101.94999694824219,101.94999694824219,0
2024-06-24,100.8499984741211,100.8499984741211,100.19999694824219,100.19999694824219,100.19999694824219,30
2024-06-25,99.55999755859375,99.55999755859375,100.5,100.4000015258789,100.5,25
2024-06-26,99.55999755859375,99.55999755859375,99.55999755859375,99.55999755859375,99.55999755859375,0
2024-06-27,99.55999755859375,99.55999755859375,99.55999755859375,99.55999755859375,99.55999755859375,0
2024-06-28,99.55999755859375,99.55999755859375,99.55999755859375,99.55999755859375,99.55999755859375,0
2024-07-01,95.44999694824219,95.44999694824219,96.25,96.1500015258789,96.19999694824219,44
2024-07-02,94.37000274658203,94.37000274658203,96.25,94.5999984741211,96.25,7
2024-07-03,96.3499984741211,96.3499984741211,94.9000015258789,94.9000015258789,94.9000015258789,2
2024-07-04,97.79000091552734,97.79000091552734,98.55000305175781,98.0,98.0999984741211,160
2024-07-05,98.19999694824219,98.19999694824219,98.5999984741211,98.19999694824219,98.5999984741211,4
2024-07-08,98.19999694824219,98.19999694824219,98.19999694824219,98.19999694824219,98.19999694824219,0
2024-07-09,97.45999908447266,97.45999908447266,97.75,97.75,97.75,50
2024-07-10,97.45999908447266,97.45999908447266,97.45999908447266,97.45999908447266,97.45999908447266,0
2024-07-11,101.19999694824219,101.19999694824219,101.4000015258789,98.69999694824219,98.69999694824219,16
2024-07-12,101.19999694824219,101.19999694824219,101.19999694824219,101.19999694824219,101.19999694824219,0
2024-07-15,99.58999633789062,99.58999633789062,101.47000122070312,100.33000183105469,101.47000122070312,4
2024-07-16,99.58999633789062,99.58999633789062,99.58999633789062,99.58999633789062,99.58999633789062,0
2024-07-17,99.58999633789062,99.58999633789062,99.58999633789062,99.58999633789062,99.58999633789062,0
2024-07-18,96.83999633789062,96.83999633789062,97.44999694824219,97.44999694824219,97.44999694824219,10
2024-07-19,95.13999938964844,95.13999938964844,95.52999877929688,94.77999877929688,95.11000061035156,119
2024-07-22,95.13999938964844,95.13999938964844,95.13999938964844,95.13999938964844,95.13999938964844,0
2024-07-23,95.13999938964844,95.13999938964844,95.13999938964844,95.13999938964844,95.13999938964844,0
2024-07-24,95.2699966430664,95.2699966430664,95.26000213623047,95.26000213623047,95.26000213623047,6
2024-07-25,95.05999755859375,95.05999755859375,94.62999725341797,94.37000274658203,94.5999984741211,24
2024-07-26,96.12000274658203,96.12000274658203,95.9800033569336,95.9800033569336,95.9800033569336,11
2024-07-29,96.12000274658203,96.12000274658203,96.12000274658203,96.12000274658203,96.12000274658203,0
2024-07-30,94.4000015258789,94.4000015258789,94.83999633789062,94.83999633789062,94.83999633789062,50
2024-07-31,95.73999786376953,95.73999786376953,95.80999755859375,95.80999755859375,95.80999755859375,8
2024-08-01,95.04000091552734,95.04000091552734,96.98999786376953,96.33000183105469,96.98999786376953,25
2024-08-02,90.37000274658203,90.37000274658203,92.47000122070312,90.3499984741211,92.47000122070312,103
2024-08-05,86.94999694824219,86.94999694824219,90.3499984741211,86.0,90.3499984741211,7
2024-08-06,86.94999694824219,86.94999694824219,86.94999694824219,86.94999694824219,86.94999694824219,0
2024-08-07,89.55000305175781,89.55000305175781,89.88999938964844,89.6500015258789,89.80000305175781,28
2024-08-08,88.41999816894531,88.41999816894531,87.91999816894531,86.9000015258789,87.91999816894531,20
2024-08-09,88.08999633789062,88.08999633789062,89.81999969482422,89.4800033569336,89.81999969482422,5
2024-08-12,87.93000030517578,87.93000030517578,89.12000274658203,87.83999633789062,89.12000274658203,25
2024-08-13,88.80000305175781,88.80000305175781,88.86000061035156,88.86000061035156,88.86000061035156,10
2024-08-14,88.7699966430664,88.7699966430664,88.80000305175781,88.80000305175781,88.80000305175781,2
2024-08-16,90.68000030517578,90.68000030517578,91.5999984741211,91.5999984741211,91.5999984741211,15
2024-08-19,91.81999969482422,91.81999969482422,91.12000274658203,91.05000305175781,91.05000305175781,52
2024-08-20,89.87000274658203,89.87000274658203,92.2300033569336,91.37000274658203,91.91000366210938,140
2024-08-21,89.87000274658203,89.87000274658203,89.87000274658203,89.87000274658203,89.87000274658203,0
2024-08-22,89.45999908447266,89.45999908447266,90.9800033569336,90.9800033569336,90.9800033569336,50
