Date,AdjClose,Close,High,Low,Open,Volume
2007-10-11,110.43616485595703,155.47000122070312,157.52000427246094,154.5399932861328,156.92999267578125,233529100
2007-10-12,111.04711151123047,156.3300018310547,156.35000610351562,155.27000427246094,155.4600067138672,124546700
2007-10-15,110.10942077636719,155.00999450683594,156.36000061035156,153.94000244140625,156.27000427246094,161151900
2007-10-16,109.23572540283203,153.77999877929688,154.52000427246094,153.47000122070312,154.41000366210938,166525700
2007-10-17,109.5695571899414,154.25,155.08999633789062,152.47000122070312,154.97999572753906,216687300
2007-10-18,109.17183685302734,153.69000244140625,154.19000244140625,153.0800018310547,153.4499969482422,148367500
2007-10-19,106.31626892089844,149.6699981689453,156.47999572753906,149.66000366210938,153.08999633789062,297169900
2007-10-22,106.93424987792969,150.5399932861328,150.75999450683594,148.66000366210938,148.86000061035156,261989800
2007-10-23,107.80081939697266,151.75999450683594,151.9499969482422,150.25,151.4600067138672,180085100
2007-10-24,107.6019058227539,151.47999572753906,151.74000549316406,148.83999633789062,151.2100067138672,326694200
2007-10-25,107.85768127441406,151.83999633789062,152.2899932861328,149.8800048828125,151.64999389648438,237374500
2007-10-26,109.1220474243164,153.6199951171875,153.6199951171875,151.89999389648438,153.05999755859375,176484000
2007-10-29,109.48432922363281,154.1300048828125,154.44000244140625,153.5500030517578,153.92999267578125,106841000
2007-10-30,108.72425842285156,153.05999755859375,153.75,152.8699951171875,153.4499969482422,132981600
2007-10-31,109.85370635986328,154.64999389648438,155.27000427246094,152.83999633789062,153.97999572753906,220954400
2007-11-01,107.28226470947266,151.02999877929688,153.41000366210938,150.58999633789062,153.2899932861328,333040800
2007-11-02,107.40303802490234,151.1999969482422,152.0,149.2100067138672,151.52999877929688,331228200
2007-11-05,106.5862045288086,150.0500030517578,151.16000366210938,148.97000122070312,149.63999938964844,226841000
2007-11-06,108.02106475830078,152.07000732421875,152.11000061035156,149.89999389648438,150.86000061035156,177800500
2007-11-07,105.06609344482422,147.91000366210938,151.1300048828125,147.5500030517578,150.44000244140625,306639700
2007-11-08,104.5333251953125,147.16000366210938,148.39999389648438,145.07000732421875,147.99000549316406,374509900
2007-11-09,103.09839630126953,145.13999938964844,147.5399932861328,144.88999938964844,145.69000244140625,277745100
2007-11-12,102.07550811767578,143.6999969482422,146.61000061035156,143.6999969482422,145.2100067138672,243087800
2007-11-13,105.1867904663086,148.0800018310547,148.30999755859375,145.22000122070312,145.3699951171875,191117400
2007-11-14,104.89556884765625,147.6699981689453,149.39999389648438,146.77999877929688,149.22000122070312,230558800
2007-11-15,103.38253021240234,145.5399932861328,147.49000549316406,144.52000427246094,146.57000732421875,263111100
2007-11-16,103.56013488769531,145.7899932861328,146.47000122070312,144.57000732421875,146.30999755859375,308770600
2007-11-19,102.11813354492188,143.75999450683594,145.36000061035156,143.19000244140625,145.27999877929688,267746000
2007-11-20,102.74322509765625,144.63999938964844,145.52999877929688,142.11000061035156,144.02000427246094,414767500
2007-11-21,100.64063262939453,141.67999267578125,143.91000366210938,141.6699981689453,143.0800018310547,259012400
2007-11-23,102.3809585571289,144.1300048828125,144.33999633789062,142.6999969482422,143.07000732421875,77688400
2007-11-26,100.1220703125,140.9499969482422,144.8800048828125,140.66000366210938,144.42999267578125,214232000
2007-11-27,101.27286529541016,142.57000732421875,143.22999572753906,140.9499969482422,141.74000549316406,293897900
2007-11-28,104.51200103759766,147.1300048828125,147.47000122070312,144.13999938964844,144.19000244140625,258596900
2007-11-29,104.54747009277344,147.17999267578125,147.72000122070312,146.10000610351562,146.6199951171875,199409900
2007-11-30,105.59879302978516,148.66000366210938,149.8699951171875,147.3300018310547,149.0399932861328,222908000
2007-12-03,104.90263366699219,147.67999267578125,148.4499969482422,147.2899932861328,148.19000244140625,146430400
2007-12-04,103.96502685546875,146.36000061035156,147.5399932861328,146.30999755859375,146.66000366210938,136533900
2007-12-05,105.70537567138672,148.80999755859375,149.1999969482422,147.8300018310547,147.92999267578125,171130000
2007-12-06,107.21839141845703,150.94000244140625,151.2100067138672,148.57000732421875,148.6300048828125,154457400
2007-12-07,107.19702911376953,150.91000366210938,151.5,150.5500030517578,151.4199981689453,148980100
2007-12-10,108.02815246582031,152.0800018310547,152.25,150.86000061035156,151.27999877929688,123914300
2007-12-11,105.06609344482422,147.91000366210938,152.88999938964844,147.8300018310547,152.13999938964844,250346400
2007-12-12,106.10313415527344,149.3699951171875,151.77000427246094,147.1999969482422,151.05999755859375,322435600
2007-12-13,105.88294219970703,149.05999755859375,149.38999938964844,147.3000030517578,148.32000732421875,237551300
2007-12-14,104.54037475585938,147.1699981689453,149.10000610351562,147.10000610351562,147.92999267578125,159152900
2007-12-17,103.04866790771484,145.07000732421875,146.8699951171875,144.86000061035156,146.61000061035156,177269400
2007-12-18,103.62406921386719,145.8800048828125,146.47999572753906,143.9600067138672,146.10000610351562,245569300
2007-12-19,103.62406921386719,145.8800048828125,146.88999938964844,144.94000244140625,145.94000244140625,198917200
2007-12-20,104.277587890625,146.8000030517578,146.86000061035156,145.17999267578125,146.83999633789062,214813800
2007-12-21,105.78077697753906,148.1300048828125,148.4199981689453,147.08999633789062,147.3699951171875,146084400
2007-12-24,106.5662612915039,149.22999572753906,149.47999572753906,148.47999572753906,148.82000732421875,45601400
2007-12-26,106.79479217529297,149.5500030517578,149.67999267578125,148.5,148.64999389648438,67093100
2007-12-27,105.45228576660156,147.6699981689453,149.02999877929688,147.32000732421875,149.02000427246094,122981700
2007-12-28,105.18807220458984,147.3000030517578,148.61000061035156,146.89999389648438,148.5399932861328,116398100
2007-12-31,104.40967559814453,146.2100067138672,147.61000061035156,146.05999755859375,147.10000610351562,108126800
2008-01-02,103.4956283569336,144.92999267578125,146.99000549316406,143.8800048828125,146.52999877929688,204935600
2008-01-03,103.44563293457031,144.86000061035156,145.49000549316406,144.07000732421875,144.91000366210938,125133300
2008-01-04,100.9104995727539,141.30999755859375,143.44000244140625,140.91000366210938,143.33999633789062,232330900
2008-01-07,100.82483673095703,141.19000244140625,142.22999572753906,140.10000610351562,141.80999755859375,234991000
2008-01-08,99.1966781616211,138.91000366210938,142.89999389648438,138.44000244140625,142.0800018310547,326365700
2008-01-09,100.23927307128906,140.3699951171875,140.7899932861328,137.6999969482422,139.08999633789062,301824900
2008-01-10,100.8962631225586,141.2899932861328,142.8000030517578,139.3699951171875,139.67999267578125,335701200
2008-01-11,100.08219146728516,140.14999389648438,141.89999389648438,139.0,140.77999877929688,267076600
2008-01-14,100.88916778564453,141.27999877929688,141.86000061035156,140.39999389648438,141.16000366210938,170365500
2008-01-15,98.66827392578125,138.1699981689453,141.49000549316406,137.89999389648438,139.7899932861328,239940100
2008-01-16,97.81849670410156,136.97999572753906,139.1199951171875,136.27999877929688,137.36000061035156,378802600
2008-01-17,95.28337097167969,133.42999267578125,137.8800048828125,132.92999267578125,137.80999755859375,397892600
