withdrawal_rate,horizon,n_paths,success_rate_A,success_rate_B,median_terminal_pct,p5_terminal_pct,p95_terminal_pct
0.025,20,10000,0.9957,0.9423,2.7681387584021344,0.45342076322458824,10.78779684575074
0.025,30,10000,0.9815,0.9361,4.9444732140186165,0.3687678163150133,27.323766596530977
0.025,40,10000,0.9621,0.9299,8.849253250276238,0.22926351635979053,63.73308160883843
0.03,20,10000,0.9886,0.9196,2.5934297601208254,0.3256164507225504,10.250313738263252
0.03,30,10000,0.9589,0.8996,4.398447631712634,0.07788705555987614,25.703253826314175
0.03,40,10000,0.9282,0.8941,7.89833477120477,0.0,62.69590900490323
0.035,20,10000,0.9796,0.8862,2.2890823619755913,0.1772326665348832,9.440808389952924
0.035,30,10000,0.9319,0.8696,3.8612556283676076,0.0,23.784273852671955
0.035,40,10000,0.8929,0.8529,6.955363604714643,0.0,59.21856244724287
0.04,20,10000,0.9619,0.852,2.0714352963849447,0.07371520729072842,9.414105737751717
0.04,30,10000,0.8926,0.8191,3.2163952662856676,0.0,21.96211477461292
0.04,40,10000,0.8503,0.8052,5.736386574028936,0.0,53.86863220222824
0.045,20,10000,0.9361,0.8155,1.8143138331561772,0.0,8.74353966473678
0.045,30,10000,0.8475,0.7733,2.8020442262646625,0.0,20.34941846583075
0.045,40,10000,0.8012,0.7577,4.627399355053734,0.0,49.088257668148465
0.05,20,10000,0.9017,0.7678,1.5718616429168049,0.0,8.019750209910573
0.05,30,10000,0.7926,0.7093,2.165988564062336,0.0,19.831867338952335
0.05,40,10000,0.735,0.6861,3.4630904719636475,0.0,46.08679186870707
