withdrawal_rate,horizon,n_windows,success_rate_A,success_rate_B,median_terminal_pct,p5_terminal_pct,p95_terminal_pct
0.025,20,132,1.0,1.0,2.550385401278885,0.7588659393031638,7.050067162139648
0.025,30,122,1.0,1.0,4.3557355189405,1.5932202777317424,10.030125401397093
0.025,40,112,1.0,1.0,7.4010842449027585,2.5399083565776293,23.654654779221882
0.03,20,132,1.0,0.9924242424242424,2.3220990818632803,0.6461658335995033,6.6618844021573445
0.03,30,122,1.0,1.0,3.780973963385029,1.2518347560977001,9.06501163527101
0.03,40,112,1.0,1.0,6.328886846619827,1.7597592393968242,21.75384165956114
0.035,20,132,1.0,0.9545454545454546,2.120965037978474,0.506955887668732,6.273701642175045
0.035,30,122,1.0,0.9754098360655737,3.290578567243051,0.8056245984097056,8.429622095391547
0.035,40,112,0.9910714285714286,0.9821428571428571,5.04066563254438,0.8667043834060016,19.853028539900393
0.04,20,132,1.0,0.8712121212121212,1.917248494820636,0.3274186519203017,5.885518882192745
0.04,30,122,0.9672131147540983,0.9180327868852459,2.8435415904517036,0.35227181379092304,7.921935248471215
0.04,40,112,0.9375,0.8839285714285714,3.897789463378399,0.0,17.952215420239675
0.045,20,132,0.9924242424242424,0.8106060606060606,1.676583344174057,0.1494326747309847,5.4973361222104495
0.045,30,122,0.9180327868852459,0.8114754098360656,2.468910752309224,0.0,7.182528170409608
0.045,40,112,0.8214285714285714,0.7767857142857143,2.8621579694422348,0.0,16.051402300578964
0.05,20,132,0.946969696969697,0.7575757575757576,1.4862454059890893,0.00304044640027412,5.1202328655192595
0.05,30,122,0.8114754098360656,0.7295081967213115,2.081586727730911,0.0,6.176091363766602
0.05,40,112,0.7410714285714286,0.7053571428571429,1.9005963167821636,0.0,13.94827716655758
