bucket,n_bucket,cape_min,cape_max,fwd5y_real_n,fwd5y_real_median,fwd5y_real_mean,fwd5y_real_p5,fwd5y_real_p95,fwd5y_real_hit_pos,fwd5y_nom_n,fwd5y_nom_median,fwd5y_nom_mean,fwd5y_nom_p5,fwd5y_nom_p95,fwd5y_nom_hit_pos,fwd10y_real_n,fwd10y_real_median,fwd10y_real_mean,fwd10y_real_p5,fwd10y_real_p95,fwd10y_real_hit_pos,fwd10y_nom_n,fwd10y_nom_median,fwd10y_nom_mean,fwd10y_nom_p5,fwd10y_nom_p95,fwd10y_nom_hit_pos,fwd20y_real_n,fwd20y_real_median,fwd20y_real_mean,fwd20y_real_p5,fwd20y_real_p95,fwd20y_real_hit_pos,fwd20y_nom_n,fwd20y_nom_median,fwd20y_nom_mean,fwd20y_nom_p5,fwd20y_nom_p95,fwd20y_nom_hit_pos
<15 (economico),691,4.78,15.0,691,0.09383276899494675,0.09290938223886669,-0.04756176031509557,0.22677965483604978,0.85383502170767,691,0.13281157279550082,0.13005270605486588,0.017357068521095864,0.2436472935684657,0.9696092619392185,691,0.09500286932997892,0.088098007943213,-0.009151075260116381,0.16755962514432798,0.934876989869754,691,0.13691908372811024,0.12011133735934088,0.041944317610340454,0.18300447644563012,0.9985528219971056,688,0.08563797278751994,0.08568105582638391,0.04734267006109682,0.1242201499473285,1.0,688,0.11556791356659502,0.11185526994650964,0.06069401349458166,0.16540355995156364,1.0
15-20 (equo-basso),513,15.01,19.97,513,0.0650439302948207,0.058119872282715423,-0.06057282180001215,0.1414532273004379,0.847953216374269,513,0.0773914694682083,0.07379842205225484,-0.024604482957319918,0.17735422099061166,0.8966861598440545,513,0.06171837151055071,0.060287013263355615,-0.0168216211538742,0.1280861289267457,0.9103313840155945,513,0.08106882176797803,0.08290525924421882,0.018745408400667875,0.1638772573946562,0.9980506822612085,497,0.05341145232763678,0.05188758919834103,0.019626358004183997,0.08664297950737718,1.0,497,0.0760477928405614,0.08286388642915456,0.05886319931505577,0.12196207186607878,1.0
20-25 (equo-alto),261,20.05,24.96,261,0.0589697392923918,0.06513700014565463,-0.05282344122628324,0.21200709400283757,0.7931034482758621,261,0.08285868000790586,0.08872411179094218,-0.07491315177479896,0.2412777693867605,0.89272030651341,260,0.048739442539201816,0.045967636698399095,-0.02878329063344882,0.118488614421666,0.7576923076923077,260,0.07490093937755626,0.07610368783872826,0.003988192446003584,0.14237494626210997,0.9538461538461539,197,0.02793627281608657,0.035210914826735946,0.006624998240865754,0.07221819018867977,1.0,197,0.08349595089844741,0.07927279053885411,0.0443413531377975,0.10504783890110282,1.0
25-30 (caro),147,25.03,30.0,134,0.054371776934884486,0.042052691731446136,-0.06585363872202911,0.14555586564331252,0.6044776119402985,134,0.07632644384737663,0.06355955603418871,-0.10439229886270825,0.1738914442535796,0.7835820895522388,103,0.05474323396487568,0.055463960833776076,0.002376754981134388,0.10717187910276213,0.9514563106796117,103,0.07682675096132541,0.07530479782607487,-0.016968867468408033,0.14111432576404678,0.8932038834951457,65,0.0676682991029609,0.058103218394003404,0.01070484801007594,0.08214930382065866,0.9846153846153847,65,0.09394226869438982,0.08250772635816221,0.02790154537715468,0.10903289649261319,1.0
30-40 (molto caro),110,30.01,39.59,64,0.02464955632442234,0.02428942803554948,-0.05321854421937611,0.10673686569003892,0.5625,64,0.0510024840660136,0.055343174511250315,-0.029609253366697067,0.15483348815045045,0.75,36,0.004445227260502227,0.005335330866026968,-0.024621045906217026,0.03887270223544537,0.6388888888888888,36,0.02974638269679386,0.028910786660102415,-0.018907351927758942,0.06600992387829868,0.8888888888888888,36,0.04834246785062046,0.049226723009045036,0.028542125372792382,0.06801433711268506,1.0,36,0.07094449998986463,0.07158271087487136,0.04935863908454441,0.0928982781581002,1.0
>40 (carissimo),22,40.05,44.2,21,-0.04532395658860189,-0.04349596514391333,-0.05393413863848984,-0.02890209898176288,0.0,21,-0.02011726028195404,-0.01921127328697065,-0.029467135297254643,-0.005365087630800347,0.0,21,-0.03452229606668067,-0.0369155765513873,-0.05181011601512864,-0.026680616365384546,0.0,21,-0.00973992914498123,-0.012858087963779016,-0.027881779869633472,-0.0019453450866391275,0.0,21,0.037211622093486385,0.037215974912004915,0.031067365367624777,0.04116680368425363,1.0,21,0.059413422014476414,0.059233344928223505,0.05206900745351328,0.062434981383926,1.0
