date,cape,tr_nom,tr_real,fwd5y_nom,fwd10y_nom,fwd20y_nom,fwd5y_real,fwd10y_real,fwd20y_real,bucket
1881-01-31,18.47,0.06364155251141557,0.07380373294942255,0.022726593731687172,0.025953682028315495,0.054638317033558925,0.05696443341403801,0.04549842873005483,0.06525448721069482,15-20 (equo-basso)
1881-02-28,18.15,0.0003365643511039629,-0.009130343197960022,0.027329277262716722,0.02756759450915225,0.05612990689254782,0.06374225860669136,0.046804889268180494,0.06796528020993886,15-20 (equo-basso)
1881-03-31,18.27,0.014991896272285254,0.014991896272285254,0.020763038421368396,0.02452900690735471,0.05738286212702848,0.059340609368431,0.04252777102306804,0.06923227651347119,15-20 (equo-basso)
1881-04-30,17.95,0.0004674145299143895,-0.00994327656821159,0.018676898102588435,0.028217528089893307,0.06179100149911587,0.06209218727060173,0.04607419687257863,0.07489073077416819,15-20 (equo-basso)
1881-05-31,18.87,0.0487674169346195,0.05979546548282788,0.005826589555046224,0.023298925509313007,0.05670682961761786,0.05167677769406742,0.041276079748900685,0.06918448521625908,15-20 (equo-basso)
1881-06-30,19.03,0.01596153846153836,0.01596153846153836,0.012412824416574209,0.01998151734758391,0.06105563806955372,0.061084994848898955,0.040401317748954835,0.07358464465089587,15-20 (equo-basso)
1881-07-31,18.12,-0.031281661600810584,-0.0413619772969519,0.022688797676601924,0.02191979982011416,0.05923328361206259,0.07154704993908179,0.04468104474280854,0.07166378666348172,15-20 (equo-basso)
1881-08-31,17.29,-0.019750656167978997,-0.03875549038513049,0.02904125101980859,0.027725694342950913,0.06119201896089832,0.07961056065735406,0.05267518253698089,0.07399574299835643,15-20 (equo-basso)
1881-09-30,16.72,0.012096774193548487,-0.02568286963685884,0.03257388117110627,0.03488517405104563,0.060462514248734056,0.0915906709687706,0.06543872377577875,0.07467706417056919,15-20 (equo-basso)
1881-10-31,16.26,-0.01193333333333324,-0.021544876783398004,0.0409527740686908,0.03648415225122914,0.06067486327029514,0.10260199569945505,0.06812852164471583,0.07541775492039426,15-20 (equo-basso)
1881-11-30,16.48,0.010704607046070347,0.02063294306813379,0.044505922835543776,0.03417692949677087,0.061411086212668886,0.10420468881680889,0.06597701165909209,0.07495343980853764,15-20 (equo-basso)
1881-12-31,15.96,-0.02483844911147015,-0.02483844911147015,0.044960226716821206,0.040250441545790494,0.06206209576518207,0.10212383747332066,0.07223727916229361,0.075003700894547,15-20 (equo-basso)
1882-01-31,15.68,-0.010537992235163607,-0.010537992235163607,0.045624777454786436,0.04360870277865492,0.06392397154410889,0.09752915462520728,0.07845510956991775,0.07749838659302455,15-20 (equo-basso)
1882-02-28,15.15,-0.01745495495495497,-0.02701278613243585,0.04850548137000921,0.04598704388355479,0.06549184203066738,0.0999669181667322,0.08197000002910393,0.07961380700923426,15-20 (equo-basso)
1882-03-31,15.09,0.0028785261945882823,0.0028785261945882823,0.05347068633672092,0.047166096356661136,0.06557760913730881,0.1051758191237051,0.08603810452755778,0.07970071086796393,15-20 (equo-basso)
