elapsed_date,cheap,fair,expensive
2000-01-31,1.0,1.0,1.0
2000-02-29,1.0,1.0,1.0
2000-03-31,1.0058764336831212,1.0340629409998903,0.9694758864118215
2000-04-30,1.125247536117716,1.057013665248736,0.9994420871069141
2000-05-31,1.2214423398206078,1.0874113140494044,1.0130890349634043
2000-06-30,1.2790111356059326,1.1216000944372115,0.9831816180723987
2000-07-31,1.3016610213282944,1.1549727213260805,1.008989385440448
2000-08-31,1.3499946384364638,1.1959451475206464,1.015213766251824
2000-09-30,1.3773413946064685,1.1989370777419137,1.024753842661663
2000-10-31,1.4305841071552063,1.2410744635690798,1.0084378014521809
2000-11-30,1.480048706829325,1.2483259344274489,0.9542075107032768
2000-12-31,1.5361782958617216,1.2785981497199093,0.9462918004191738
2001-01-31,1.5584023328468828,1.3227927982821643,0.9154000044374953
2001-02-28,1.5631538586257707,1.3172202765182914,0.913788321773751
2001-03-31,1.5209584009403305,1.3904912596824641,0.8907066556271219
2001-04-30,1.5635582530128864,1.3805704581875111,0.8079929186674483
2001-05-31,1.5690146397306648,1.3779806252508877,0.8084067268943206
2001-06-30,1.5480401170188363,1.407727693587079,0.86012992697594
2001-07-31,1.544530435728729,1.4248169590316855,0.838169383782394
2001-08-31,1.559633485016203,1.3726543512661962,0.818170405565481
2001-09-30,1.4726761368520533,1.4121753793609395,0.8014319540968756
2001-10-31,1.476307264247081,1.4361888256103363,0.708100859048281
2001-11-30,1.4765991971733163,1.4906294320710929,0.7331140264441784
2001-12-31,1.4685963825838533,1.5629752007490114,0.7714617615353551
2002-01-31,1.4372821915523435,1.5817031988930197,0.7858727353710742
2002-02-28,1.4187527081144065,1.628095106185186,0.7817635800120689
2002-03-31,1.5434404082259425,1.6937760067486767,0.7525782329921878
2002-04-30,1.5577030006073114,1.6790041430730047,0.785378064446958
2002-05-31,1.5468594013819716,1.619805158237768,0.7535619330776278
2002-06-30,1.5667504989634562,1.7702210642798675,0.7323086879391452
2002-07-31,1.5556648520174932,1.8623681647030146,0.6885660323493652
2002-08-31,1.6256556073742778,1.966738375620495,0.6138042775853945
2002-09-30,1.7116261874490912,1.9698964291276173,0.6187329264487356
2002-10-31,1.697035262399354,1.9884314054190728,0.5883185508213203
2002-11-30,1.70640616048571,2.0161457308772524,0.5793157930442059
2002-12-31,1.746551921631349,1.9941528646628202,0.6176988055969682
2003-01-31,1.7854154176575296,2.0492288907291356,0.6126569418886244
2003-02-28,1.8221507461299076,2.050274091642811,0.6086022310563554
2003-03-31,1.7852143231544368,2.177493510421698,0.5652064755871634
2003-04-30,1.7467111604248484,2.2889395672234016,0.569179372468358
2003-05-31,1.7663105743782448,2.3625237673123145,0.6005695590465325
2003-06-30,1.8745432873710628,2.3529384429092017,0.6335071013616883
2003-07-31,1.9683737162140078,2.3527882026224964,0.6689144556325411
2003-08-31,1.9777421573512848,2.4548907926678423,0.6721687109552306
2003-09-30,2.0961566530725317,2.280964878818797,0.6685061195765046
2003-10-31,2.235985886511028,2.1665810772713594,0.6874045563303717
2003-11-30,2.301514517253606,2.189195977242662,0.7021021549701445
2003-12-31,2.3064626166019764,2.429446755630925,0.7125274567776708
2004-01-31,2.3656954919157815,2.5306969081719606,0.7351548622997303
2004-02-29,2.3230203897888866,2.6519664116391346,0.7676855992255319
2004-03-31,2.3716732653638757,2.6469751581779515,0.7718600376061959
2004-04-30,2.302922921428716,2.7161041016644916,0.7549137297530081
2004-05-31,2.2987672265338652,2.811094800604913,0.7597897047121441
2004-06-30,2.3778257351589573,2.808316546418544,0.736000386212829
2004-07-31,2.416272686745145,2.79113618833712,0.7546384880913515
2004-08-31,2.5612941318387628,2.9086118405854258,0.7389123442093514
2004-09-30,2.7170283443764514,2.7921298399435384,0.7282749002832706
2004-10-31,2.8232874842731825,2.762208222350616,0.7469633523600483
2004-11-30,2.784206474297604,2.7221959594045093,0.743812835769651
2004-12-31,2.7791545428426105,2.913901429876712,0.7789136657856944
2005-01-31,2.893938266441783,2.995745074758923,0.8031014290349324
2005-02-28,2.9764226264333953,2.9833190576151534,0.7906040057362386
2005-03-31,3.151903161679585,2.8922558878307307,0.7992852385308047
2005-04-30,3.040440708539797,2.981654625448721,0.7910557931260042
2005-05-31,2.6730571533444163,3.022367825067268,0.7668426591129055
2005-06-30,2.34214850752131,2.93314445829229,0.77788615647746
2005-07-31,2.310887994788271,3.0101372625158893,0.7944408372771053
2005-08-31,2.4027744476298105,3.0287065764123215,0.8050773730597849
2005-09-30,2.476331450517937,3.057167668176899,0.8034613794441455
2005-10-31,2.5453964067205885,3.0084917114918164,0.7959817202521584
2005-11-30,2.509916964078916,2.8467054516006,0.7735369991954869
2005-12-31,2.4466358552616527,2.823090362255476,0.8106925818880657
2006-01-31,2.582401016763205,2.730930278579375,0.831441050674858
2006-02-28,2.5636123388925607,2.7261221149737986,0.8372548645035021
2006-03-31,2.5089706614632497,2.65726214047705,0.8354303623935062
2006-04-30,2.540245481097658,2.4105006726786886,0.8431781876422326
2006-05-31,2.6280411213264543,2.4117351946481143,0.8427390915834533
2006-06-30,2.5728077462539285,2.5660420031724516,0.8319808682127081
2006-07-31,2.628280508234841,2.500526696147565,0.8078733890124635
2006-08-31,2.7071235663160422,2.4408633633002177,0.8112913185707011
2006-09-30,2.7849560565176135,2.390927222038961,0.8282561404428775
2006-10-31,2.764539633374652,2.1124907875123973,0.8534061557542648
2006-11-30,2.8444833188122924,2.187113046495896,0.8890846552918927
2006-12-31,2.9447970081430586,2.301516575409781,0.9082311508126767
2007-01-31,3.037342569771809,2.3445091082926757,0.9263631617268175
2007-02-28,3.114863591062576,2.332250186799454,0.9299241997873697
2007-03-31,3.25573983179569,2.245180984831931,0.939752243954528
2007-04-30,3.2601051083492103,2.3430333470975118,0.9082470064050976
2007-05-31,3.2538190195791308,2.2481156760438012,0.9400796543277656
2007-06-30,3.187196632397419,2.184710464786,0.9660755558566395
2007-07-31,3.269227473316728,2.054212166734313,0.9675464512515882
2007-08-31,3.1643156592218813,1.8311739989662088,0.9733397461709534
2007-09-30,3.069889708099102,1.845877731048508,0.9341528615058126
2007-10-31,3.1358475825771692,1.755141944613774,0.9602432173114751
2007-11-30,3.1371183099174194,1.7282838457662153,0.9868401955074045
2007-12-31,3.2503615402085018,1.8427926186035528,0.9338673564976369
2008-01-31,3.335325957542568,1.8277511305165524,0.9460608638546933
2008-02-29,3.328176258662762,1.8156546344175255,0.8789358619449753
2008-03-31,3.0385783953891057,1.686191250106678,0.8626965003955618
2008-04-30,2.8825773705039612,1.698043669086286,0.8327979629665675
2008-05-31,2.798949691498286,1.791690610927049,0.8629270580454066
2008-06-30,2.876002237099015,1.889953808626859,0.8776457200675235
2008-07-31,3.007913112539396,1.9955852434028254,0.8320031259406373
2008-08-31,2.9695486124447292,2.0052937253253504,0.7773445616091949
2008-09-30,3.30930019929298,1.9943670466649401,0.796902650981444
