date,port_mincorr,sp500
2006-06-30,1.0,1.0
2006-07-31,1.0083714593685802,1.0044779344281993
2006-08-31,1.019515426718779,1.026397990023873
2006-09-30,1.0062418735164613,1.054112724245147
2006-10-31,1.001048498960063,1.0873343075965003
2006-11-30,1.0402647110069432,1.1089567518220693
2006-12-31,1.0267847804922694,1.1237850349091734
2007-01-31,1.0231096465726883,1.1406874216692588
2007-02-28,1.0427364922192122,1.118309608969131
2007-03-31,1.0423032311927984,1.1312698137063628
2007-04-30,1.0703421239741475,1.1813801065064358
2007-05-31,1.0616805319826201,1.2214527243732634
2007-06-30,1.0693981665230556,1.203594310861742
2007-07-31,1.083027153851398,1.165909076350388
2007-08-31,1.0855467864920028,1.1808711027669896
2007-09-30,1.1374341775811365,1.2265878622691284
2007-10-31,1.1801311501241174,1.2432288219385461
2007-11-30,1.137033063124976,1.1950747309248684
2007-12-31,1.1621940968821927,1.18161746845432
2008-01-31,1.156669000923299,1.110175936969409
2008-02-29,1.174786520254794,1.0814858719433156
2008-03-31,1.1547598418893783,1.0718148874591
2008-04-30,1.1895359114212674,1.1228999916724218
2008-05-31,1.2330925288789647,1.1398743141650718
2008-06-30,1.2371656868567595,1.044608897281487
2008-07-31,1.182193621194328,1.035221933421272
2008-08-31,1.143550164744109,1.051219799760699
2008-09-30,1.081937606432397,0.9522227275709839
2008-10-31,0.8819762114735074,0.7949281932496755
2008-11-30,0.8708498435926579,0.7395959375961414
2008-12-31,0.9087182239411787,0.7468416231402102
2009-01-31,0.8471550390899555,0.6855149828020793
2009-02-28,0.8434370275141682,0.6118571209190321
2009-03-31,0.88480137408874,0.662831551445129
2009-04-30,0.8850097199403024,0.7286811834302316
2009-05-31,0.9606559150052846,0.7712750145472922
2009-06-30,0.9562645697665544,0.7707700793751511
2009-07-31,0.9914410151451017,0.8282739111864651
2009-08-31,1.0134394517769882,0.8588697970165801
2009-09-30,1.0461015973611163,0.8893227635994457
2009-10-31,1.0465442071119044,0.8722257781308099
2009-11-30,1.1085453476274778,0.9259605584428916
2009-12-31,1.0896539043333369,0.9436473996055046
2010-01-31,1.0514418669929158,0.9093525801382237
2010-02-28,1.09595968572949,0.9377198433030255
2010-03-31,1.1199328085510079,0.9948077290313396
2010-04-30,1.1609805058379994,1.0101973878412853
2010-05-31,1.1285355353770596,0.9299332114379022
2010-06-30,1.142893740004127,0.8818171225741597
2010-07-31,1.1435205866285707,0.9420459422620088
2010-08-31,1.1443497338378843,0.8996723331709942
2010-09-30,1.20467918594682,0.9802420849485686
2010-10-31,1.2233059566734679,1.017689351555205
2010-11-30,1.242507991168598,1.017689351555205
2010-12-31,1.2835965679760861,1.085724453422608
2011-01-31,1.2661299249997784,1.1110216795772978
2011-02-28,1.3198043862987419,1.1496155896418772
2011-03-31,1.343869168381648,1.1497539209302503
2011-04-30,1.4131405590978021,1.1830522011035676
2011-05-31,1.3765931728694196,1.16978477625217
2011-06-30,1.3221860390126057,1.1500510129087842
2011-07-31,1.3606601088240509,1.127044476712126
2011-08-31,1.4082767931567848,1.0650847846143745
2011-09-30,1.3398382600265268,0.9911457587609666
2011-10-31,1.4322695526766938,1.0993266261414272
2011-11-30,1.454909184072683,1.0948589929793835
2011-12-31,1.4048820328290146,1.106298938588698
2012-01-31,1.4853200582679393,1.157602793218615
2012-02-29,1.5037282609260627,1.207849166610254
2012-03-31,1.4784876097711501,1.2466981845013891
2012-04-30,1.484311227129793,1.2383749345783022
2012-05-31,1.4029102044025101,1.1640039480684596
2012-06-30,1.4173653120695875,1.2112405338722068
2012-07-31,1.442810412466232,1.2255686428765697
2012-08-31,1.494230803457519,1.256272648718686
2012-09-30,1.4963336936828682,1.2881202682345818
2012-10-31,1.4560684516124296,1.2646787415973255
2012-11-30,1.4686491909334416,1.2718360440090857
2012-12-31,1.4656285364760369,1.2831994659269599
2013-01-31,1.4862017698285712,1.348887004459322
2013-02-28,1.4580283050074785,1.3660968710293586
2013-03-31,1.4861305534586775,1.4179689400378002
2013-04-30,1.4615624621287322,1.445211633886421
2013-05-31,1.4264410087935833,1.4793328034385096
2013-06-30,1.3722694318237487,1.459592114874179
2013-07-31,1.4287784720875765,1.5350183319254924
2013-08-31,1.4412241489337951,1.4889803287367744
2013-09-30,1.426539698593866,1.5361014364812664
2013-10-31,1.4263338073866474,1.6072329777636336
2013-11-30,1.3925076192965071,1.6548672443801389
2013-12-31,1.402910335195589,1.6977721044828846
2014-01-31,1.4243457740031222,1.6379295389932345
2014-02-28,1.487972822744405,1.7124804081171192
2014-03-31,1.4922582812400442,1.7266862869718054
2014-04-30,1.4902365271716747,1.7386890799134127
2014-05-31,1.5083707966769486,1.7790387066180342
2014-06-30,1.5605676885696118,1.8157655771158832
2014-07-31,1.5140832316137984,1.791366984944049
2014-08-31,1.5528525078421724,1.8620605060016548
2014-09-30,1.50364468480943,1.8363707063846544
2014-10-31,1.4780755551601308,1.8796192305767883
2014-11-30,1.4770538542213996,1.9312547167247016
2014-12-31,1.4606455092605923,1.9263566810809356
2015-01-31,1.488088083602333,1.8692803950977044
2015-02-28,1.4841311383775495,1.9743429220519626
2015-03-31,1.4630040001219624,1.9433347258798437
2015-04-30,1.477622742319079,1.9624450462076701
2015-05-31,1.505164947868735,1.9876741455013147
2015-06-30,1.4479162026002754,1.9473007999149572
2015-07-31,1.3965767893545733,1.9912889377040006
2015-08-31,1.381364295710574,1.8699192467298662
2015-09-30,1.3638033285493503,1.82220603259459
2015-10-31,1.4147212966882599,1.9772023457800894
2015-11-30,1.3845643564044547,1.9844296794886542
2015-12-31,1.358429867830082,1.950134080934017
2016-01-31,1.3483534054558148,1.853043695200942
2016-02-29,1.399494018055021,1.8515132213721308
2016-03-31,1.4507944026356325,1.976057260496859
2016-04-30,1.4767862363200508,1.9838448445798618
2016-05-31,1.4972408816936542,2.017592831288285
2016-06-30,1.5489641865374162,2.0246058294086064
2016-07-31,1.593819701636888,2.098445824602503
2016-08-31,1.609446105290554,2.1009586410223404
2016-09-30,1.625726361648777,2.101081217433064
2016-10-31,1.5859712258642062,2.064654209002127
2016-11-30,1.5801534871839784,2.1407123524646576
2016-12-31,1.6052202823980917,2.1841087301239637
2017-01-31,1.6440614807574665,2.223192945831438
2017-02-28,1.6929588303451666,2.3105457783939656
2017-03-31,1.6934337160563775,2.3134337686584896
2017-04-30,1.69759298799267,2.3363969356589807
2017-05-31,1.7462187287015531,2.369370509535247
2017-06-30,1.720180524600352,2.3844747626770024
