start,end,cagr_leaps,cagr_bh,mdd_leaps,mdd_bh,vol_leaps,vol_bh,sharpe_leaps,sharpe_bh,sortino_leaps,sortino_bh,calmar_leaps,calmar_bh,window
1976-12-31,1986-12-18,0.1302699773391207,0.1385074061278453,-0.6424960987876143,-0.20336700840471855,0.35185973136875975,0.13433702277613258,0.22321873980736645,0.24715367033987265,0.363390909332914,0.3872907007773953,0.202756059663147,0.6810711688899074,10y
1977-03-31,1987-03-20,0.1922179929773835,0.1694197082608535,-0.6332668019985976,-0.2033670084047201,0.3416247310271539,0.135560768878869,0.3763173904026667,0.44414494829541706,0.5980945119618171,0.7004965571441616,0.30353398026035977,0.8330737103812424,10y
1977-06-30,1987-06-19,0.20038223704076707,0.17056218609980656,-0.6403731342416201,-0.20336700840471977,0.3538671906971127,0.13782707497025587,0.3939254906731588,0.4446592645043911,0.6271177425212141,0.6941890795555494,0.31291480907935865,0.8386915234568014,10y
1977-09-30,1987-09-18,0.2512081937368209,0.17812872456971163,-0.6380032176760189,-0.20336700840471944,0.35152745335393804,0.13880344282778667,0.5110064072509157,0.4864288380160404,0.8303297287679888,0.7625440916185839,0.39374126458463354,0.8758978458060352,10y
1977-12-30,1987-12-17,0.1990860244057533,0.148652086162397,-0.6424960987876143,-0.32950299561070895,0.4027799574241179,0.16557358710975498,0.3938492706320861,0.2789260444805014,0.5331952842538363,0.3379420411871076,0.3098633980524197,0.451140317819817,10y
1978-04-03,1988-03-18,0.23234784542531228,0.1680451601730224,-0.6332668019985979,-0.32950299561070906,0.3902013245082506,0.1688974259712146,0.46045943815008095,0.3752315891201821,0.6305984420335302,0.45120481313151545,0.36690356211950415,0.5099958495417115,10y
1978-06-30,1988-06-17,0.200925041079568,0.15939414657475703,-0.6403731342416201,-0.32950299561070884,0.3837645053532765,0.17028750878281362,0.3926292487240911,0.3291430771525682,0.5550282994828389,0.3952908759091006,0.31376244619868243,0.4837411152494443,10y
1978-09-29,1988-09-16,0.19565704949150087,0.15151560911275563,-0.6380032176760186,-0.32950299561070895,0.37458141656452904,0.17101748712851064,0.38000498572413255,0.2876757669450116,0.5526011250804083,0.3470609902476621,0.30667094470808226,0.4598307485245555,10y
1978-12-29,1988-12-15,0.2062776881075603,0.15920954490239203,-0.6424960987876139,-0.32950299561070884,0.39467996247810155,0.169981765431153,0.40805283410084936,0.32741443513975516,0.5415221148700187,0.3927086471019529,0.3210567169151766,0.4831808724752538,10y
1979-03-30,1989-03-17,0.1766354394259726,0.15952686928956084,-0.6332668019985981,-0.32950299561070917,0.3848846232194086,0.17025693536213068,0.34043679990984993,0.32867405983800163,0.4607330145312015,0.39395031785974066,0.278927363424877,0.484143911935883,10y
1979-06-29,1989-06-16,0.1995601076924216,0.16898423164617604,-0.6403731342416201,-0.3295029956107085,0.37651654854292144,0.17041723922955704,0.3895425097343384,0.37649913976590205,0.5446655994108971,0.45172870718525127,0.3116309804732147,0.5128458129279727,10y
1979-09-28,1989-09-15,0.21804760243803756,0.16860007689849432,-0.6380032176760186,-0.32950299561070884,0.36606883338945134,0.17080350623747995,0.43174346530973945,0.37552896969453775,0.6199631773443485,0.4517278830405932,0.3417656782865369,0.5116799517588811,10y
1979-12-28,1989-12-14,0.23421394003914275,0.17237877795260848,-0.642496098787614,-0.3295029956107086,0.3940204878432861,0.17145245542716545,0.4686779788628591,0.39725235879668935,0.6150207735741731,0.47400754078493607,0.3645375286808791,0.5231478324897095,10y
1980-03-28,1990-03-16,0.22608905371205612,0.17989736396410794,-0.6332668019985976,-0.3295029956107087,0.378419027578669,0.17092502504390542,0.4535476310915924,0.44069040543271115,0.6093358637627537,0.5260687577418312,0.3570202211745766,0.5459657919973743,10y
1980-06-27,1990-06-15,0.1939563646563658,0.16658222455678806,-0.6403731342416199,-0.3295029956107087,0.36956776816477127,0.16991079094994135,0.3835285109883656,0.37815896850426434,0.5290400357800136,0.44973395176120345,0.3028802338593797,0.5055560246062121,10y
1980-09-26,1990-09-14,0.13495928224225784,0.13872474359331588,-0.6380032176760189,-0.32950299561070906,0.3637185497249442,0.1711980877265229,0.2452521262334891,0.23867072760456934,0.34129627994570344,0.282329535549719,0.2115338582991141,0.42101208620637876,10y
1980-12-29,1990-12-13,0.13886605690280884,0.1361748847995139,-0.624422237546415,-0.32950299561070895,0.3974591882277197,0.17107022957079712,0.2729160545267805,0.2311526074528493,0.3564839984658939,0.2751106105271394,0.22239127396946132,0.4132735866243766,10y
1981-03-30,1991-03-15,0.17384098670456916,0.15188005045569875,-0.6092510750699381,-0.32950299561070895,0.39008565712624516,0.17148702548077854,0.3478634542346105,0.31828153340045007,0.47142184386343056,0.38012941450005083,0.2853355436174049,0.4609367819985992,10y
1981-06-29,1991-06-14,0.16744213063243074,0.1559055394763489,-0.5706955352191934,-0.3295029956107087,0.37878911923148156,0.1720798215666844,0.3348231751984443,0.34625996615872395,0.4651649053682523,0.414127438991108,0.2934001061846741,0.4731536330569312,10y
1981-09-28,1991-09-13,0.23204171939914509,0.17459078982252008,-0.4992494799844698,-0.32950299561070895,0.36326228713863645,0.17178663715766213,0.48561269004206137,0.44984796712770986,0.6847132772633058,0.5381205692945705,0.46478109382580274,0.5298610093025989,10y
1981-12-28,1991-12-12,0.22556262144667483,0.16362735365472858,-0.5991137502945653,-0.3295029956107087,0.39581335901977516,0.17138951212727138,0.4730892217611144,0.40552474601456995,0.6161484176998464,0.4823361133859318,0.3764938149654766,0.49658836439850185,10y
1982-03-29,1992-03-13,0.26787099329781405,0.18066961637411394,-0.5800699974296725,-0.32950299561070906,0.38617832735178764,0.17056329943985407,0.5641700471121597,0.5023299359946983,0.7616950694547667,0.5970410689658502,0.4617908088416358,0.5483094805837998,10y
1982-06-28,1992-06-12,0.25510721796481994,0.1839689292535207,-0.5393169945037599,-0.32950299561070895,0.3732723310222481,0.1703661791495122,0.5465376711297205,0.5286745990088246,0.7519523354504575,0.6257808201750683,0.47301906033862506,0.5583224787154004,10y
