start,end,cagr_strat,cagr_bench,mdd_strat,mdd_bench,vol_strat,vol_bench,dvol_strat,dvol_bench,final_strat,final_bench,contributed,months_in_2x_ndx,months_in_2x_sp,months_total,frac_2x_ndx,frac_2x_sp
1976-01-05,1996-01-01,0.15129,0.14688,-0.35212,-0.33616,0.13863,0.13336,0.11470,0.11007,404509.99690,383082.98146,72000.00000,25,7,240,0.10417,0.02917
1976-04-01,1996-03-31,0.15338,0.14860,-0.35257,-0.33614,0.13909,0.13354,0.11526,0.11039,415084.07241,391284.98958,72000.00000,25,7,240,0.10417,0.02917
1976-07-01,1996-06-30,0.15579,0.15037,-0.35303,-0.33613,0.13938,0.13357,0.11564,0.11056,427652.15311,399960.73205,72000.00000,25,7,240,0.10417,0.02917
1976-10-01,1996-09-30,0.15630,0.15056,-0.35349,-0.33610,0.14038,0.13420,0.11657,0.11118,430340.58532,400875.05670,72000.00000,25,7,240,0.10417,0.02917
1977-01-03,1997-01-01,0.16027,0.15401,-0.35398,-0.33608,0.14074,0.13429,0.11677,0.11121,452041.34074,418355.43996,72000.00000,25,7,240,0.10417,0.02917
1977-04-01,1997-03-31,0.15796,0.15211,-0.35450,-0.33606,0.14173,0.13492,0.11751,0.11169,439278.75936,408631.50798,72000.00000,25,7,240,0.10417,0.02917
1977-07-01,1997-06-30,0.17004,0.16259,-0.35508,-0.33605,0.14297,0.13576,0.11812,0.11203,510442.22032,465252.12005,72000.00000,25,7,240,0.10417,0.02917
1977-10-03,1997-09-30,0.17668,0.16738,-0.35569,-0.33605,0.14432,0.13666,0.11868,0.11230,554510.46162,493789.09749,72000.00000,25,7,240,0.10417,0.02917
1978-01-03,1998-01-01,0.17341,0.16491,-0.35637,-0.33605,0.14739,0.13881,0.12195,0.11456,532321.73799,478881.01948,72000.00000,25,7,240,0.10417,0.02917
1978-04-03,1998-03-31,0.18344,0.17290,-0.35712,-0.33606,0.14849,0.13935,0.12280,0.11500,603483.00725,528957.15847,72000.00000,25,7,240,0.10417,0.02917
1978-07-03,1998-06-30,0.18375,0.17258,-0.35789,-0.33608,0.14944,0.13970,0.12337,0.11515,605781.93096,526897.66965,72000.00000,25,7,240,0.10417,0.02917
1978-10-02,1998-09-30,0.17085,0.16125,-0.35868,-0.33610,0.15462,0.14335,0.12901,0.11905,515616.04442,457596.43970,72000.00000,26,7,240,0.10833,0.02917
1979-01-02,1999-01-03,0.18835,0.17515,-0.35949,-0.33612,0.15674,0.14427,0.13058,0.11963,641734.62417,544050.31538,72000.00000,26,7,240,0.10833,0.02917
1979-04-02,1999-03-31,0.19269,0.17743,-0.36037,-0.33614,0.15997,0.14596,0.13261,0.12043,677638.26275,559758.89378,72000.00000,26,7,240,0.10833,0.02917
1979-07-02,1999-06-30,0.19728,0.18034,-0.36127,-0.33617,0.16301,0.14741,0.13445,0.12102,717890.13646,580494.49686,72000.00000,26,7,240,0.10833,0.02917
1979-10-01,1999-09-30,0.19197,0.17421,-0.36219,-0.33620,0.16559,0.14854,0.13595,0.12135,671574.51604,537692.44801,72000.00000,26,7,240,0.10833,0.02917
