date,WORLD,ALLWORLD,SP500,NASDAQ,ENERGY,HEALTH,EM,SMALLCAP,GOLD,BTC,COMMODITY,US_20Y,US_10Y,US_2Y,EU_30Y,EU_10Y,EU_3Y,WORLD2X
2017-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-31,101.22113916570954,101.71629394133464,101.65346119994992,104.65693507917528,99.67914408142728,102.53827509087685,104.2151289293025,98.69158002978125,98.63886879696338,69.47926769963205,98.8138523280534,92.80952027944133,93.77478053071576,95.93298400508097,97.30512466240283,98.455933056429,99.65099937795674,98.89896951988601
2018-02-28,98.2276261754538,98.58842616338636,99.39290344975032,104.81792056046955,90.18149830522945,99.36446678207757,99.50527844690572,96.28898128748882,98.32796941615976,71.71697724711946,99.32605216697384,91.73989206050354,94.14527127248347,97.3120933113913,99.18706328162304,97.77295410451508,99.66307102546263,96.37040694912933
2018-03-31,95.98511246911738,96.53961765454936,96.09863091044303,99.94985893976526,91.19457720352361,95.89777039570473,99.45427918842103,96.88680533378712,98.29075303752707,47.81467695032348,96.67070747426001,93.75728097343804,94.85546878632155,96.88206838396945,102.05877364834164,98.9478643796059,99.86555373793641,88.74519802715218
2018-04-30,98.1371296401501,98.36946667778206,98.02966516632796,101.94717510186378,101.33551846039666,98.35001779512727,98.08799915878052,99.29047189896104,99.25262809565237,64.29956911309887,101.40180095201607,93.11653287777257,94.76452211750794,98.10462297681133,105.14020564072639,100.82345171040252,100.00616435489616,96.9873436639445
2018-05-31,102.64291377410323,102.69324803474609,104.33358373532084,111.93716357570705,108.44500413981335,102.37668038847438,99.24631768606528,109.52633364686824,101.86671742127875,54.18376800063507,107.48079009582439,98.43901400849884,99.71317586013295,102.31446245988569,99.15573131933215,97.35254683045113,98.44460244437109,108.19406817471659
2018-06-30,103.72788802890605,103.0129482059166,105.87993843938482,114.23999567376879,110.04625081117965,105.00375202430394,95.58929318342578,111.19305881661687,98.92733020739351,46.719292367104885,103.26189002974593,99.56453100655992,100.67498379849759,103.21234740147118,93.35700215058559,92.81224294274936,96.55175240317625,109.59563266358042
2018-07-31,105.52883381289956,104.86064642186838,108.44772498747442,115.98571817391208,110.37741004764155,110.50533618415155,97.74359417196979,111.63219672846472,95.55166368200165,56.06057794238147,100.7817776866823,96.82595805960095,98.73770560655595,101.86839385094282,94.70330014831946,93.83192607100615,97.04701202124934,113.47288776470583
2018-08-31,107.12646637328582,105.97713037243798,112.31946012253246,123.14010683740328,106.93208079244805,115.71185383748397,94.40601130306699,116.8709599329566,94.06795156111247,50.89385150335374,99.00255617876243,98.58133394013073,100.1860882422275,102.56085093153646,91.501855593931,89.95281351894097,95.8047577402617,118.24415526889098
2018-09-30,108.17897253326865,106.8732862407824,113.25216256464716,123.08122248731014,109.80450428100048,119.40953468979852,94.0793667350838,114.42134928269513,93.59722024718093,48.026573742841336,101.73877486852913,96.44523373369948,99.04523201351203,102.663350632423,93.13322086644143,91.73222307613398,96.60381430264738,120.15532814493237
2018-10-31,103.03699712664832,101.46640785311078,108.12997685587345,115.38702133324914,99.86289543854424,114.17013539295193,88.03918286431983,104.46120455885546,97.67371761788051,46.9689124117704,102.15662278209503,96.74652067344313,100.98633941987825,105.42372397861686,87.20162703493293,88.08266225409609,94.52679921730008,111.13460461197609
2018-11-30,103.77286387926054,102.65547459247566,109.68709386115324,114.61244426634893,97.90118173822144,122.89633095542357,91.9795141456289,105.83165865085545,97.90973989497512,29.74512953248588,100.64698554917993,98.15843490026555,102.0272871581086,105.37754655653153,86.96117075923881,88.90949619837795,95.32350911078413,111.25957808768344
2018-12-31,95.44804871271492,94.86106532017263,99.61679787482836,104.25445703037244,85.3695390700121,110.94161629819321,88.40437227706943,92.77715569522132,102.1487184705497,27.59785260104622,94.06928092199568,102.70579148479044,104.65568120620132,105.80618895994758,91.78799531280676,92.28573056810993,97.1151411414311,92.3471034105728
