date,us_20y,us_10y,us_2y,eu_30y,eu_10y,eu_3y
1989-08-31,,,,,,100.0
1989-09-30,,,,,,100.89351246491695
1989-10-31,,,,,,101.78490833424736
1991-04-30,,,,,100.0,
1991-05-31,,,,,103.071231196378,
1991-06-30,,,,,103.94309531505637,
1991-07-31,,,,,103.66397279688591,
1991-08-31,,,,,104.1384417100181,
1991-09-30,,,,,107.6660228769023,
1991-10-31,,,,,110.0991766733693,
1991-11-30,,,,,110.50882423747952,
1991-12-31,,,,,111.36757193176221,
1992-01-31,,,,,114.17996905637993,
1992-02-29,,,,,115.75837141443648,
1992-03-31,,,,,117.11931044936713,
1992-04-30,,,,,117.54199341606456,
1992-05-31,,,,,119.43784086702935,
1992-06-30,,,,,117.25742231970186,
1992-07-31,,,,,115.20143869552042,
1992-08-31,,,,,116.13302948664398,
1992-09-30,,,,,114.77469674747954,
1992-10-31,,,,,114.24385452015123,100.34106319174933
1992-11-30,,,,,121.31948116416247,104.06635305837106
1992-12-31,,,,,121.36444119037124,104.3088575717047
1993-01-31,,,,,124.1440198812393,107.42906187938371
1993-02-28,,,,,127.91798790022797,110.86947231044812
1993-03-31,,,,,130.34819605764082,112.28172415047514
1993-04-30,,,,,130.23194299864196,112.37127966774905
1993-05-31,,,,,136.20827257351442,116.1116351938836
1993-06-30,,,,,143.68892996119652,119.95171921441728
1993-07-31,,,,,149.8525276413902,123.44981054155137
1993-08-31,,,,,163.52005388915043,127.7258157501926
1993-09-30,,,,,167.80870487724744,129.3336706432227
1993-10-31,,,,,173.93882076653935,131.43159672044288
1993-11-30,,,,,171.71986123134693,131.04550673310715
1993-12-31,,,,100.0,177.40037042768614,133.3268467365019
1994-01-31,,,,104.17166623528182,181.67653397433025,135.13384882551998
1994-02-28,,,,103.33734697153449,181.81625819306282,135.13179311576513
1994-03-31,,,,97.78393822422116,175.37020040155647,133.9525054621312
1994-04-30,,,,102.18411540757954,181.14581529085848,136.29920933816888
1994-05-31,,,,99.78721639592933,178.76354402087557,136.74720006757775
1994-06-30,,,,93.46599832611702,168.25785797368107,134.2261120650372
1994-07-31,,,,90.76415195043461,166.76319497586235,133.70347571193108
1994-08-31,,,,85.7778224012275,161.56284953149722,131.3948624958286
1994-09-30,,,,83.9699273824588,158.66054827785945,131.12242935126702
1994-10-31,,,,84.67274118787572,158.97324255446907,132.51549466280156
1994-11-30,,,,85.70516780110437,160.91109444862468,134.32953236553996
1994-12-31,,,,85.36373297101439,160.8861336248034,134.81742713162555
1995-01-31,,,,84.95814761940733,160.88021037404835,135.78768664091635
1995-02-28,,,,85.42809861160615,162.2647894504327,137.9960199575088
1995-03-31,,,,80.78826287870116,154.70908900046243,135.19027137138934
1995-04-30,,,,82.79639182114022,156.73976432761074,136.6566060940162
1995-05-31,,,,89.39587147200312,168.0274901874385,141.71919353234574
1995-06-30,,,,89.63612382658728,168.87782782313818,142.3704152250313
1995-07-31,,,,91.62992319414477,172.14161386685598,144.256406527661
1995-08-31,,,,96.0368889504414,179.26839305256837,147.5815628538701
1995-09-30,,,,97.79320401851008,182.0704023933232,149.69833270577783
1995-10-31,,,,95.63363440442357,179.44596181566897,150.1169564190401
1995-11-30,,,,99.1085171208321,184.5726384265484,152.4337260445752
1995-12-31,,,,103.24902682449688,191.18181065296986,154.9877536272095
1996-01-31,,,,111.34110012464252,201.36483958641873,159.62397886914525
1996-02-29,,,,111.95335831180739,201.98909055465043,161.33762616788675
1996-03-31,,,,111.9620976913721,201.65537233552593,162.03078697914776
1996-04-30,,,,115.87053269547026,207.60684807703868,164.6703985916674
1996-05-31,,,,123.11945045753716,217.59213936530327,169.07766297636397
1996-06-30,,,,126.28619051828456,220.97707296309972,170.9408108858824
1996-07-31,,,,128.71904794388308,224.63806073124633,172.53803493242464
1996-08-31,,,,129.3926527084706,225.5462259182854,173.33048852567464
1996-09-30,,,,134.16141132414836,231.7677244331713,176.19029759568602
1996-10-31,,,,145.7386202471546,247.79474791880025,181.24033819590494
1996-11-30,,,,155.14987382129192,258.4895364030267,185.7784147048843
1996-12-31,,,,158.19290914603172,262.332369232055,187.50016282202952
1997-01-31,,,,162.27826356660617,267.35466152656124,189.40875576637362
1997-02-28,,,,163.1567829251869,269.16669001766337,189.1932547412572
1997-03-31,,,,158.12601114930305,261.6189721844829,186.90407342185085
1997-04-30,,,,162.64734592456705,265.6179732102594,188.87157880812967
1997-05-31,,,,167.1514528845927,274.89730337305645,191.88197734160804
1997-06-30,,,,171.86568663538324,281.3728591523363,194.0244946450446
1997-07-31,,,,183.206868786346,293.99528284498757,196.98091480340977
1997-08-31,,,,182.48485415244102,292.63971934353395,196.7872476234299
1997-09-30,,,,190.91050798657471,300.5687835849582,200.26625615479324
1997-10-31,,,,197.72354379149382,305.5788897678814,202.2445474387418
1997-11-30,,,,202.26914564691086,308.53499339484915,203.90888983736122
1997-12-31,,,,216.39970226939624,319.10372910310224,206.4578229233235
1998-01-31,,,,222.88175225036,327.86536467562485,208.28636333620508
1998-02-28,,,,225.23135835901303,330.7834416866891,209.3331668362632
1998-03-31,,,,231.44581225220628,336.6855795390101,211.454817863267
1998-04-30,,,,235.6591119911562,339.43122854236486,211.91759162906254
1998-05-31,,,,234.0761745502068,339.2700098103548,212.3719050861999
1998-06-30,,,,239.10580755919668,344.0448928280918,213.7885940236593
1998-07-31,,,,242.7686877583161,348.34976411482575,215.26128687677732
1998-08-31,,,,248.6490837534817,354.6939967579955,217.0294045426054
1998-09-30,,,,251.8295679814756,363.36093631903105,219.78086697887224
1998-10-31,,,,248.9970633356873,365.8331474725146,221.85446128441066
