date,market,cape
2012-07,Denmark,24.3
2012-07,Dev ex US Large,13.4
2012-07,Developed Markets Large,17.0
2012-07,Egypt,10.4
2012-07,Emerging Markets,14.7
2012-07,Europe,12.3
2012-07,Europe ex UK,12.5
2012-07,Finland,8.3
2012-07,France,11.9
2012-07,Germany,15.0
2012-07,Hong Kong,18.0
2012-07,Hungary,6.9
2012-07,India,17.7
2012-07,Indonesia,22.9
2012-07,Ireland,5.5
2012-07,Israel,15.5
2012-07,Italy,6.7
2012-07,Japan,17.0
2012-07,Malaysia,21.0
2012-07,Mexico,25.1
2012-07,Netherlands,11.5
2012-07,New Zealand,12.8
2012-07,Norway,12.7
2012-07,Peru,22.4
2012-07,Philippines,22.9
2012-07,Poland,10.9
2012-07,Portugal,7.7
2012-07,Singapore,15.0
2012-07,South Africa,18.3
2012-07,South Korea,14.8
2012-07,Spain,7.0
2012-07,Sweden,17.4
2012-07,Switzerland,18.1
2012-07,Taiwan,16.7
2012-07,Thailand,17.4
2012-07,Turkey,12.4
2012-07,US Large,21.2
2013-01,Asia ex Japan,17.8
2013-01,Australia,15.9
2013-01,Austria,8.7
2013-01,Belgium,10.8
2013-01,Brazil,11.8
2013-01,Canada,18.1
2013-01,Chile,25.9
2013-01,China,18.1
2013-01,Colombia,33.4
2013-01,Czech Republic,11.0
2013-01,Denmark,26.3
2013-01,Dev ex US Large,14.9
2013-01,Developed Markets Large,18.2
2013-01,Developed Markets Small,23.9
2013-01,Egypt,11.3
2013-01,Emerging Markets,15.3
2013-01,Europe,13.5
2013-01,Europe ex UK,13.9
2013-01,Finland,10.1
2013-01,France,13.1
2013-01,Germany,16.4
2013-01,Hong Kong,20.6
2013-01,Hungary,7.9
2013-01,India,19.4
2013-01,Indonesia,23.1
2013-01,Ireland,6.0
2013-01,Israel,13.0
2013-01,Italy,8.1
2013-01,Japan,20.9
2013-01,Malaysia,20.0
2013-01,Mexico,26.3
2013-01,Netherlands,13.1
2013-01,New Zealand,14.8
2013-01,Norway,12.8
2013-01,Peru,22.7
2013-01,Philippines,26.0
2013-01,Poland,11.7
2013-01,Portugal,9.9
2013-01,Singapore,14.9
2013-01,South Africa,19.4
2013-01,South Korea,14.5
2013-01,Spain,8.5
2013-01,Sweden,18.4
2013-01,Switzerland,20.5
2013-01,Taiwan,17.6
2013-01,Thailand,18.9
2013-01,Turkey,13.9
2013-01,US Large,22.1
2013-11,Asia ex Japan,16.7
2013-11,Australia,16.7
2013-11,Austria,9.1
2013-11,Belgium,12.5
2013-11,Brazil,10.8
2013-11,Canada,18.2
2013-11,Chile,19.9
2013-11,China,16.1
2013-11,Colombia,25.2
2013-11,Czech Republic,10.4
2013-11,Denmark,26.0
2013-11,Dev ex US Large,16.2
2013-11,Developed Markets Large,20.0
2013-11,Developed Markets Small,26.5
2013-11,Egypt,10.0
2013-11,Emerging Markets,14.2
2013-11,Europe,14.4
2013-11,Europe ex UK,15.3
2013-11,Finland,13.4
2013-11,France,14.2
2013-11,Germany,17.7
2013-11,Hong Kong,19.4
2013-11,Hungary,6.6
2013-11,India,17.5
2013-11,Indonesia,18.7
2013-11,Ireland,8.9
2013-11,Israel,12.1
2013-11,Italy,8.7
2013-11,Japan,25.3
2013-11,Malaysia,20.7
2013-11,Mexico,23.1
2013-11,Netherlands,14.8
2013-11,New Zealand,14.0
2013-11,Norway,12.8
2013-11,Peru,13.3
2013-11,Philippines,24.4
2013-11,Poland,11.3
2013-11,Portugal,9.9
2013-11,Singapore,14.0
2013-11,South Africa,19.5
2013-11,South Korea,14.4
2013-11,Spain,10.2
2013-11,Sweden,18.8
2013-11,Switzerland,21.8
2013-11,Taiwan,17.4
2013-11,Thailand,16.1
2013-11,Turkey,11.6
2013-11,US Large,24.8
2014-02,Asia ex Japan,15.9
2014-02,Australia,16.7
2014-02,Austria,8.7
2014-02,Belgium,13.2
2014-02,Brazil,9.3
2014-02,Canada,19.1
2014-02,Chile,19.0
2014-02,China,14.4
2014-02,Colombia,23.1
2014-02,Czech Republic,10.2
2014-02,Denmark,31.1
2014-02,Dev ex US Large,16.2
2014-02,Developed Markets Large,20.3
2014-02,Developed Markets Small,27.4
2014-02,Egypt,12.2
2014-02,Emerging Markets,13.4
2014-02,Europe,14.8
2014-02,Europe ex UK,15.8
2014-02,Finland,13.7
2014-02,France,14.6
2014-02,Germany,17.7
2014-02,Hong Kong,18.6
2014-02,Hungary,6.0
2014-02,India,17.6
2014-02,Indonesia,20.0
2014-02,Ireland,11.2
2014-02,Israel,13.2
2014-02,Italy,9.4
2014-02,Japan,23.6
2014-02,Malaysia,20.4
2014-02,Mexico,20.4
2014-02,Netherlands,15.0
2014-02,New Zealand,14.8
2014-02,Norway,12.6
2014-02,Peru,14.0
2014-02,Philippines,24.6
2014-02,Poland,11.1
2014-02,Portugal,10.3
2014-02,Singapore,13.1
2014-02,South Africa,20.1
2014-02,South Korea,13.5
2014-02,Spain,10.8
2014-02,Sweden,19.5
2014-02,Switzerland,22.3
2014-02,Taiwan,17.7
2014-02,Thailand,15.2
2014-02,Turkey,9.3
2014-02,US Large,25.1
2014-06,Asia ex Japan,16.2
2014-06,Australia,16.3
2014-06,Austria,8.3
2014-06,Belgium,13.9
2014-06,Brazil,10.0
2014-06,Canada,19.8
2014-06,Chile,18.9
2014-06,China,14.2
2014-06,Colombia,24.7
2014-06,Czech Republic,10.4
2014-06,Denmark,30.3
2014-06,Dev ex US Large,16.0
2014-06,Developed Markets Large,20.4
2014-06,Developed Markets Small,26.4
2014-06,Egypt,11.8
2014-06,Emerging Markets,13.8
2014-06,Europe,14.6
2014-06,Europe ex UK,15.7
2014-06,Finland,13.6
2014-06,France,14.4
2014-06,Germany,17.1
2014-06,Hong Kong,18.8
2014-06,Hungary,6.3
2014-06,India,19.8
2014-06,Indonesia,20.7
2014-06,Ireland,9.8
2014-06,Israel,13.7
2014-06,Italy,10.1
2014-06,Japan,22.9
2014-06,Malaysia,20.3
2014-06,Mexico,22.1
2014-06,Netherlands,15.0
2014-06,New Zealand,14.5
2014-06,Norway,13.7
2014-06,Peru,14.8
2014-06,Philippines,25.3
2014-06,Poland,10.5
2014-06,Portugal,10.1
2014-06,Singapore,13.6
2014-06,South Africa,20.9
2014-06,South Korea,13.2
2014-06,Spain,11.7
2014-06,Sweden,19.1
2014-06,Switzerland,22.0
2014-06,Taiwan,19.4
2014-06,Thailand,16.4
2014-06,Turkey,11.3
2014-06,US Large,25.6
2015-01,Asia ex Japan,16.1
2015-01,Australia,16.5
2015-01,Austria,6.9
2015-01,Belgium,17.7
2015-01,Brazil,8.5
2015-01,Canada,19.4
2015-01,Chile,17.3
2015-01,China,14.6
2015-01,Colombia,19.4
2015-01,Czech Republic,10.0
2015-01,Denmark,31.9
2015-01,Dev ex US Large,16.7
2015-01,Developed Markets Large,21.1
2015-01,Developed Markets Small,25.5
2015-01,Egypt,14.7
2015-01,Emerging Markets,14.1
2015-01,Europe,15.1
2015-01,Europe ex UK,16.5
2015-01,Finland,16.1
2015-01,France,15.1
2015-01,Germany,18.0
2015-01,Hong Kong,18.4
2015-01,Hungary,5.6
2015-01,India,21.4
2015-01,Indonesia,20.5
2015-01,Ireland,12.6
2015-01,Israel,15.4
2015-01,Italy,9.9
2015-01,Japan,24.7
2015-01,Malaysia,18.4
2015-01,Mexico,20.3
2015-01,Netherlands,17.5
2015-01,New Zealand,15.9
2015-01,Norway,11.6
2015-01,Peru,13.3
2015-01,Philippines,27.7
2015-01,Poland,10.3
2015-01,Portugal,7.2
2015-01,Singapore,13.8
2015-01,South Africa,21.8
2015-01,South Korea,12.1
2015-01,Spain,11.5
2015-01,Sweden,21.1
2015-01,Switzerland,21.2
2015-01,Taiwan,20.0
2015-01,Thailand,17.0
2015-01,Turkey,12.2
2015-01,US Large,25.7
2015-06,Asia ex Japan,16.2
2015-06,Australia,15.9
2015-06,Austria,8.3
2015-06,Belgium,18.3
2015-06,Brazil,9.1
2015-06,Canada,18.7
2015-06,Chile,16.9
2015-06,China,15.4
2015-06,Colombia,17.7
2015-06,Czech Republic,9.8
2015-06,Denmark,35.9
2015-06,Dev ex US Large,17.1
2015-06,Developed Markets Large,21.3
2015-06,Developed Markets Small,27.0
2015-06,Egypt,12.4
2015-06,Emerging Markets,14.0
2015-06,Europe,15.2
2015-06,Europe ex UK,17.0
2015-06,Finland,15.7
2015-06,France,15.6
2015-06,Germany,17.6
2015-06,Hong Kong,18.8
2015-06,Hungary,7.7
2015-06,India,19.5
2015-06,Indonesia,18.5
2015-06,Ireland,15.7
2015-06,Israel,15.8
2015-06,Italy,11.0
2015-06,Japan,27.4
2015-06,Malaysia,17.2
2015-06,Mexico,22.1
2015-06,Netherlands,18.8
2015-06,New Zealand,14.9
2015-06,Norway,11.7
2015-06,Peru,12.7
2015-06,Philippines,26.9
2015-06,Poland,10.4
2015-06,Portugal,8.0
2015-06,Singapore,13.4
2015-06,South Africa,21.0
2015-06,South Korea,11.9
2015-06,Spain,12.0
2015-06,Sweden,20.2
2015-06,Switzerland,22.0
2015-06,Taiwan,20.3
2015-06,Thailand,16.6
2015-06,Turkey,10.5
2015-06,US Large,25.8
2016-01,Asia ex Japan,12.8
2016-01,Australia,14.1
2016-01,Austria,7.9
2016-01,Belgium,19.7
2016-01,Brazil,6.7
2016-01,Canada,16.5
2016-01,Chile,15.6
2016-01,China,10.3
2016-01,Colombia,14.3
2016-01,Czech Republic,8.4
2016-01,Denmark,35.6
2016-01,Dev ex US Large,15.6
2016-01,Developed Markets Large,19.8
2016-01,Developed Markets Small,24.6
2016-01,Egypt,8.2
2016-01,Emerging Markets,11.7
2016-01,Europe,14.2
2016-01,Europe ex UK,15.8
2016-01,Finland,16.3
2016-01,France,14.9
2016-01,Germany,15.7
2016-01,Hong Kong,14.1
2016-01,Hungary,9.0
2016-01,India,17.4
2016-01,Indonesia,16.9
2016-01,Ireland,16.9
2016-01,Israel,15.5
2016-01,Italy,9.5
2016-01,Japan,23.3
2016-01,Malaysia,16.4
2016-01,Mexico,20.8
2016-01,Netherlands,18.1
2016-01,New Zealand,15.8
2016-01,Norway,9.6
2016-01,Peru,9.0
2016-01,Philippines,23.3
2016-01,Poland,8.2
2016-01,Portugal,7.7
2016-01,Singapore,10.6
2016-01,South Africa,18.3
2016-01,South Korea,11.0
2016-01,Spain,10.0
2016-01,Sweden,17.3
2016-01,Switzerland,21.1
2016-01,Taiwan,16.7
2016-01,Thailand,14.2
2016-01,Turkey,9.0
2016-01,US Large,24.1
2016-07,Asia ex Japan,13.8
2016-07,Australia,15.6
2016-07,Austria,8.4
2016-07,Belgium,20.0
2016-07,Brazil,9.1
2016-07,Canada,18.1
2016-07,Chile,16.2
2016-07,China,11.1
2016-07,Colombia,15.3
2016-07,Czech Republic,8.2
2016-07,Denmark,35.4
2016-07,Dev ex US Large,16.0
2016-07,Developed Markets Large,21.1
2016-07,Developed Markets Small,25.8
2016-07,Egypt,11.9
2016-07,Emerging Markets,12.6
2016-07,Europe,14.9
2016-07,Europe ex UK,15.9
2016-07,Finland,15.6
2016-07,France,15.2
2016-07,Germany,15.9
2016-07,Hong Kong,16.1
2016-07,Hungary,10.2
2016-07,India,18.7
2016-07,Indonesia,18.6
2016-07,Ireland,16.9
2016-07,Israel,14.8
2016-07,Italy,9.1
2016-07,Japan,21.0
2016-07,Malaysia,16.2
2016-07,Mexico,22.2
2016-07,Netherlands,18.5
2016-07,New Zealand,20.3
2016-07,Norway,9.7
2016-07,Peru,13.7
2016-07,Philippines,27.0
2016-07,Poland,8.1
2016-07,Portugal,8.2
2016-07,Singapore,11.4
2016-07,South Africa,19.6
2016-07,South Korea,11.8
2016-07,Spain,9.8
2016-07,Sweden,17.5
2016-07,Switzerland,20.5
2016-07,Taiwan,18.4
2016-07,Thailand,16.8
2016-07,Turkey,8.9
2016-07,US Large,26.5
2017-01,Asia ex Japan,14.2
2017-01,Australia,16.1
2017-01,Austria,10.8
2017-01,Belgium,19.8
2017-01,Brazil,10.2
2017-01,Canada,19.8
2017-01,Chile,16.1
2017-01,China,11.7
2017-01,Colombia,15.9
2017-01,Czech Republic,7.7
2017-01,Denmark,30.9
2017-01,Dev ex US Large,17.4
2017-01,Developed Markets Large,22.6
2017-01,Developed Markets Small,27.1
2017-01,Egypt,17.1
2017-01,Emerging Markets,13.0
2017-01,Europe,16.1
2017-01,Europe ex UK,17.3
2017-01,Finland,15.9
2017-01,France,16.9
2017-01,Germany,17.6
2017-01,Hong Kong,16.0
2017-01,Hungary,12.5
2017-01,India,18.4
2017-01,Indonesia,17.5
2017-01,Ireland,20.4
2017-01,Israel,12.3
2017-01,Italy,10.7
2017-01,Japan,24.0
2017-01,Malaysia,15.9
2017-01,Mexico,22.1
2017-01,Netherlands,20.0
2017-01,New Zealand,19.4
2017-01,Norway,11.2
2017-01,Peru,14.6
2017-01,Philippines,23.7
2017-01,Poland,9.7
2017-01,Portugal,8.7
2017-01,Singapore,12.1
2017-01,South Africa,17.8
2017-01,South Korea,12.6
2017-01,Spain,11.1
2017-01,Sweden,19.5
2017-01,Switzerland,21.3
2017-01,Taiwan,19.0
2017-01,Thailand,17.3
2017-01,Turkey,9.6
2017-01,US Large,27.7
2017-06,Asia ex Japan,15.9
2017-06,Australia,16.4
2017-06,Austria,13.0
2017-06,Belgium,21.5
2017-06,Brazil,10.0
2017-06,Canada,19.4
2017-06,Chile,17.5
2017-06,China,13.5
2017-06,Colombia,16.7
2017-06,Czech Republic,7.5
2017-06,Denmark,32.9
2017-06,Dev ex US Large,18.5
2017-06,Developed Markets Large,23.7
2017-06,Developed Markets Small,28.6
2017-06,Egypt,15.7
2017-06,Emerging Markets,14.2
2017-06,Europe,17.3
2017-06,Europe ex UK,18.8
2017-06,Finland,18.5
2017-06,France,18.6
2017-06,Germany,18.2
2017-06,Hong Kong,17.5
2017-06,Hungary,13.4
2017-06,India,19.6
2017-06,Indonesia,19.4
2017-06,Ireland,22.5
2017-06,Israel,13.3
2017-06,Italy,12.5
2017-06,Japan,25.1
2017-06,Malaysia,16.4
2017-06,Mexico,22.7
2017-06,Netherlands,22.4
2017-06,New Zealand,19.3
2017-06,Norway,11.3
2017-06,Peru,14.9
2017-06,Philippines,25.1
2017-06,Poland,11.0
2017-06,Portugal,9.3
2017-06,Singapore,12.9
2017-06,South Africa,17.6
2017-06,South Korea,14.4
2017-06,Spain,12.9
2017-06,Sweden,20.6
2017-06,Switzerland,23.1
2017-06,Taiwan,21.0
2017-06,Thailand,17.6
2017-06,Turkey,10.4
2017-06,US Large,29.0
2018-01,Asia ex Japan,18.6
2018-01,Australia,17.4
2018-01,Austria,16.4
2018-01,Belgium,24.4
2018-01,Brazil,13.5
2018-01,Canada,20.7
2018-01,Chile,21.1
2018-01,China,18.1
2018-01,Colombia,17.7
2018-01,Czech Republic,8.6
2018-01,Denmark,33.2
2018-01,Dev ex US Large,20.1
2018-01,Developed Markets Large,26.4
2018-01,Developed Markets Small,31.0
2018-01,Egypt,14.5
2018-01,Emerging Markets,16.8
2018-01,Europe,18.6
2018-01,Europe ex UK,20.4
2018-01,Finland,18.9
2018-01,France,20.3
2018-01,Germany,19.7
2018-01,Hong Kong,19.7
2018-01,Hungary,15.8
2018-01,India,22.4
2018-01,Indonesia,23.0
2018-01,Ireland,27.3
2018-01,Israel,12.7
2018-01,Italy,15.7
2018-01,Japan,27.9
2018-01,Malaysia,17.1
2018-01,Mexico,22.6
2018-01,Netherlands,24.6
2018-01,New Zealand,20.2
2018-01,Norway,14.0
2018-01,Peru,20.1
2018-01,Philippines,27.1
2018-01,Poland,12.5
2018-01,Portugal,10.6
2018-01,Singapore,14.7
2018-01,South Africa,20.3
2018-01,South Korea,15.5
2018-01,Spain,13.4
2018-01,Sweden,20.3
2018-01,Switzerland,25.1
2018-01,Taiwan,21.5
2018-01,Thailand,20.7
2018-01,Turkey,11.5
2018-01,US Large,33.3
2018-06,Asia ex Japan,16.5
2018-06,Australia,18.3
2018-06,Austria,15.2
2018-06,Belgium,24.6
2018-06,Brazil,12.6
2018-06,Canada,20.9
2018-06,Chile,19.1
2018-06,China,15.0
2018-06,Colombia,16.7
2018-06,Czech Republic,8.8
2018-06,Denmark,31.7
2018-06,Dev ex US Large,20.0
2018-06,Developed Markets Large,25.9
2018-06,Developed Markets Small,29.9
2018-06,Egypt,14.1
2018-06,Emerging Markets,15.2
2018-06,Europe,18.8
2018-06,Europe ex UK,20.3
2018-06,Finland,21.2
2018-06,France,20.6
2018-06,Germany,18.7
2018-06,Hong Kong,17.8
2018-06,Hungary,13.5
2018-06,India,22.4
2018-06,Indonesia,17.2
2018-06,Ireland,31.9
2018-06,Israel,13.9
2018-06,Italy,15.9
2018-06,Japan,26.2
2018-06,Malaysia,16.7
2018-06,Mexico,21.9
2018-06,Netherlands,25.5
2018-06,New Zealand,21.7
2018-06,Norway,14.8
2018-06,Peru,19.7
2018-06,Philippines,23.0
2018-06,Poland,11.4
2018-06,Portugal,12.1
2018-06,Singapore,13.7
2018-06,South Africa,18.8
2018-06,South Korea,13.4
2018-06,Spain,12.9
2018-06,Sweden,20.4
2018-06,Switzerland,24.8
2018-06,Taiwan,21.0
2018-06,Thailand,19.3
2018-06,Turkey,8.3
2018-06,US Large,31.8
2019-01,Asia ex Japan,15.3
2019-01,Australia,16.9
2019-01,Austria,13.1
2019-01,Belgium,21.1
2019-01,Brazil,15.6
2019-01,Canada,19.8
2019-01,Chile,18.4
2019-01,China,13.7
2019-01,Colombia,15.9
2019-01,Czech Republic,8.9
2019-01,Denmark,28.4
2019-01,Dev ex US Large,18.4
2019-01,Developed Markets Large,24.0
2019-01,Developed Markets Small,25.8
2019-01,Egypt,13.3
2019-01,Emerging Markets,14.5
2019-01,Europe,17.4
2019-01,Europe ex UK,18.8
2019-01,Finland,21.4
2019-01,France,18.9
2019-01,Germany,16.3
2019-01,Hong Kong,17.1
2019-01,Hungary,15.7
2019-01,India,21.7
2019-01,Indonesia,19.3
2019-01,Ireland,33.7
2019-01,Israel,13.4
2019-01,Italy,15.3
2019-01,Japan,22.8
2019-01,Malaysia,15.5
2019-01,Mexico,19.0
2019-01,Netherlands,23.6
2019-01,New Zealand,22.2
2019-01,Norway,14.3
2019-01,Peru,19.4
2019-01,Philippines,23.3
2019-01,Poland,11.9
2019-01,Portugal,11.2
2019-01,Singapore,13.3
2019-01,South Africa,17.8
2019-01,South Korea,12.5
2019-01,Spain,12.4
2019-01,Sweden,18.9
2019-01,Switzerland,24.0
2019-01,Taiwan,18.6
2019-01,Thailand,18.4
2019-01,Turkey,8.4
2019-01,US Large,29.3
2019-07,Asia ex Japan,15.2
2019-07,Australia,19.1
2019-07,Austria,13.1
2019-07,Belgium,22.0
2019-07,Brazil,16.0
2019-07,Canada,20.6
2019-07,Chile,16.3
2019-07,China,13.5
2019-07,Colombia,16.6
2019-07,Czech Republic,8.7
2019-07,Denmark,30.0
2019-07,Dev ex US Large,19.2
2019-07,Developed Markets Large,24.8
2019-07,Developed Markets Small,25.9
2019-07,Egypt,13.7
2019-07,Emerging Markets,14.5
2019-07,Europe,18.6
2019-07,Europe ex UK,20.1
2019-07,Finland,21.6
2019-07,France,20.7
2019-07,Germany,16.8
2019-07,Hong Kong,17.6
2019-07,Hungary,15.0
2019-07,India,22.4
2019-07,Indonesia,18.5
2019-07,Ireland,38.6
2019-07,Israel,12.4
2019-07,Italy,17.0
2019-07,Japan,21.7
2019-07,Malaysia,15.4
2019-07,Mexico,18.2
2019-07,Netherlands,25.3
2019-07,New Zealand,26.5
2019-07,Norway,14.7
2019-07,Peru,18.7
2019-07,Philippines,23.0
2019-07,Poland,11.6
2019-07,Portugal,12.1
2019-07,Singapore,14.1
2019-07,South Africa,18.3
2019-07,South Korea,11.7
2019-07,Spain,13.0
2019-07,Sweden,19.8
2019-07,Switzerland,25.6
2019-07,Taiwan,19.5
2019-07,Thailand,18.5
2019-07,Turkey,7.3
2019-07,US Large,29.8
2020-01,Asia ex Japan,14.7
2020-01,Australia,19.4
2020-01,Austria,12.7
2020-01,Belgium,20.7
2020-01,Brazil,17.4
2020-01,Canada,21.1
2020-01,Chile,15.0
2020-01,China,13.2
2020-01,Colombia,16.6
2020-01,Czech Republic,8.5
2020-01,Denmark,33.2
2020-01,Dev ex US Large,19.2
2020-01,Developed Markets Large,25.3
2020-01,Developed Markets Small,25.8
2020-01,Egypt,15.0
2020-01,Emerging Markets,14.3
2020-01,Europe,19.0
2020-01,Europe ex UK,20.9
2020-01,Finland,22.4
2020-01,France,21.2
2020-01,Germany,17.1
2020-01,Hong Kong,14.9
2020-01,Hungary,16.3
2020-01,India,22.0
2020-01,Indonesia,17.2
2020-01,Ireland,42.9
2020-01,Israel,13.4
2020-01,Italy,18.7
2020-01,Japan,21.1
2020-01,Malaysia,13.8
2020-01,Mexico,17.9
2020-01,Netherlands,25.4
2020-01,New Zealand,30.6
2020-01,Norway,14.3
2020-01,Peru,16.3
2020-01,Philippines,19.6
2020-01,Poland,9.9
2020-01,Portugal,15.1
2020-01,Singapore,13.4
2020-01,South Africa,17.0
2020-01,South Korea,11.7
2020-01,Spain,13.5
2020-01,Sweden,20.6
2020-01,Switzerland,26.5
2020-01,Taiwan,20.5
2020-01,Thailand,15.5
2020-01,Turkey,7.9
2020-01,US Large,30.6
2020-07,Asia ex Japan,15.7
2020-07,Australia,16.1
2020-07,Austria,8.6
2020-07,Belgium,15.5
2020-07,Brazil,16.0
2020-07,Canada,19.0
2020-07,Chile,12.7
2020-07,China,15.4
2020-07,Colombia,10.5
2020-07,Czech Republic,6.5
2020-07,Denmark,34.3
2020-07,Dev ex US Large,16.5
2020-07,Developed Markets Large,23.8
2020-07,Developed Markets Small,21.6
2020-07,Egypt,10.7
2020-07,Emerging Markets,14.9
2020-07,Europe,16.4
2020-07,Europe ex UK,18.4
2020-07,Finland,21.0
2020-07,France,17.3
2020-07,Germany,15.3
2020-07,Hong Kong,13.4
2020-07,Hungary,12.1
2020-07,India,20.7
2020-07,Indonesia,14.2
2020-07,Ireland,37.9
2020-07,Israel,13.7
2020-07,Italy,15.0
2020-07,Japan,17.7
2020-07,Malaysia,14.8
2020-07,Mexico,15.0
2020-07,Netherlands,24.2
2020-07,New Zealand,33.4
2020-07,Norway,12.2
2020-07,Peru,12.0
2020-07,Philippines,15.6
2020-07,Poland,8.2
2020-07,Portugal,13.8
2020-07,Singapore,10.7
2020-07,South Africa,16.5
2020-07,South Korea,12.2
2020-07,Spain,10.3
2020-07,Sweden,19.0
2020-07,Switzerland,24.3
2020-07,Taiwan,22.5
2020-07,Thailand,13.3
2020-07,Turkey,6.5
2020-07,US Large,30.2
2021-01,Asia ex Japan,19.0
2021-01,Australia,17.5
2021-01,Austria,12.0
2021-01,Belgium,17.0
2021-01,Brazil,17.5
2021-01,Canada,20.2
2021-01,Chile,13.7
2021-01,China,18.4
2021-01,Colombia,11.8
2021-01,Czech Republic,8.4
2021-01,Denmark,37.0
2021-01,Dev ex US Large,18.5
2021-01,Developed Markets Large,26.6
2021-01,Developed Markets Small,25.4
2021-01,Egypt,10.9
2021-01,Emerging Markets,17.8
2021-01,Europe,18.0
2021-01,Europe ex UK,20.4
2021-01,Finland,23.7
2021-01,France,19.5
2021-01,Germany,17.0
2021-01,Hong Kong,16.0
2021-01,Hungary,15.1
2021-01,India,24.4
2021-01,Indonesia,15.4
2021-01,Ireland,36.7
2021-01,Israel,15.5
2021-01,Italy,17.4
2021-01,Japan,21.3
2021-01,Malaysia,14.0
2021-01,Mexico,17.0
2021-01,Netherlands,28.5
2021-01,New Zealand,32.5
2021-01,Norway,13.6
2021-01,Peru,14.9
2021-01,Philippines,16.5
2021-01,Poland,8.9
2021-01,Portugal,16.5
2021-01,Singapore,12.0
2021-01,South Africa,17.3
2021-01,South Korea,16.7
2021-01,Spain,12.2
2021-01,Sweden,21.2
2021-01,Switzerland,25.2
2021-01,Taiwan,27.4
2021-01,Thailand,14.1
2021-01,Turkey,7.4
2021-01,US Large,33.8
2021-06,Asia ex Japan,19.3
2021-06,Australia,19.5
2021-06,Austria,14.4
2021-06,Belgium,18.8
2021-06,Brazil,18.8
2021-06,Canada,23.1
2021-06,Chile,13.8
2021-06,China,17.3
2021-06,Colombia,11.3
2021-06,Czech Republic,10.2
2021-06,Denmark,41.2
2021-06,Dev ex US Large,20.5
2021-06,Developed Markets Large,29.8
2021-06,Developed Markets Small,27.8
2021-06,Egypt,8.6
2021-06,Emerging Markets,18.1
2021-06,Europe,20.4
2021-06,Europe ex UK,23.3
2021-06,Finland,25.8
2021-06,France,23.4
2021-06,Germany,18.7
2021-06,Hong Kong,16.7
2021-06,Hungary,16.2
2021-06,India,27.8
2021-06,Indonesia,14.1
2021-06,Ireland,37.7
2021-06,Israel,16.2
2021-06,Italy,20.5
2021-06,Japan,22.7
2021-06,Malaysia,13.4
2021-06,Mexico,19.3
2021-06,Netherlands,33.3
2021-06,New Zealand,27.5
2021-06,Norway,15.8
2021-06,Peru,13.3
2021-06,Philippines,17.3
2021-06,Poland,10.0
2021-06,Portugal,17.0
2021-06,Singapore,13.1
2021-06,South Africa,17.0
2021-06,South Korea,17.6
2021-06,Spain,14.2
2021-06,Sweden,24.0
2021-06,Switzerland,28.2
2021-06,Taiwan,29.5
2021-06,Thailand,15.0
2021-06,Turkey,6.7
2021-06,US Large,37.5
2022-01,Asia ex Japan,16.6
2022-01,Australia,18.1
2022-01,Austria,16.4
2022-01,Belgium,17.2
2022-01,Brazil,14.8
2022-01,Canada,23.5
2022-01,Chile,13.7
2022-01,China,12.9
2022-01,Colombia,14.1
2022-01,Czech Republic,12.8
2022-01,Denmark,39.3
2022-01,Dev ex US Large,20.2
2022-01,Developed Markets Large,29.6
2022-01,Developed Markets Small,26.0
2022-01,Egypt,9.5
2022-01,Emerging Markets,15.8
2022-01,Europe,20.7
2022-01,Europe ex UK,23.3
2022-01,Finland,25.8
2022-01,France,25.1
2022-01,Germany,17.9
2022-01,Hong Kong,15.0
2022-01,Hungary,17.2
2022-01,India,30.6
2022-01,Indonesia,16.4
2022-01,Ireland,34.5
2022-01,Israel,16.2
2022-01,Italy,21.3
2022-01,Japan,21.3
2022-01,Malaysia,13.0
2022-01,Mexico,19.0
2022-01,Netherlands,31.3
2022-01,New Zealand,23.0
2022-01,Norway,17.1
2022-01,Peru,14.6
2022-01,Philippines,18.6
2022-01,Poland,10.2
2022-01,Portugal,19.9
2022-01,Singapore,12.4
2022-01,South Africa,17.2
2022-01,South Korea,14.1
2022-01,Spain,14.4
2022-01,Sweden,22.1
2022-01,Switzerland,27.7
2022-01,Taiwan,28.4
2022-01,Thailand,15.5
2022-01,Turkey,7.6
2022-01,US Large,37.0
2022-07,Asia ex Japan,14.1
2022-07,Australia,17.6
2022-07,Austria,11.0
2022-07,Belgium,15.1
2022-07,Brazil,12.1
2022-07,Canada,20.2
2022-07,Chile,15.7
2022-07,China,10.6
2022-07,Colombia,12.0
2022-07,Czech Republic,12.4
2022-07,Denmark,37.8
2022-07,Dev ex US Large,18.2
2022-07,Developed Markets Large,25.6
2022-07,Developed Markets Small,22.8
2022-07,Egypt,6.5
2022-07,Emerging Markets,13.9
2022-07,Europe,18.2
2022-07,Europe ex UK,19.8
2022-07,Finland,22.8
2022-07,France,22.2
2022-07,Germany,13.6
2022-07,Hong Kong,13.8
2022-07,Hungary,9.9
2022-07,India,28.8
2022-07,Indonesia,16.7
2022-07,Ireland,25.7
2022-07,Israel,14.4
2022-07,Italy,17.2
2022-07,Japan,20.2
2022-07,Malaysia,12.7
2022-07,Mexico,17.0
2022-07,Netherlands,26.6
2022-07,New Zealand,22.1
2022-07,Norway,17.7
2022-07,Peru,12.2
2022-07,Philippines,15.5
2022-07,Poland,7.3
2022-07,Portugal,22.4
