date,market,cape
2002-06,Norway,15.0
2002-06,Philippines,8.2
2002-06,Portugal,16.3
2002-06,Singapore,15.4
2002-06,Spain,19.8
2002-06,Sweden,23.2
2002-06,Switzerland,27.1
2002-06,Thailand,14.5
2002-06,Turkey,7.2
2002-06,US Large,26.2
2002-12,Asia ex Japan,12.0
2002-12,Australia,18.7
2002-12,Austria,23.1
2002-12,Belgium,13.9
2002-12,Canada,25.8
2002-12,Chile,14.9
2002-12,Denmark,24.2
2002-12,Dev ex US Large,20.0
2002-12,Developed Markets Large,21.7
2002-12,Emerging Markets,13.7
2002-12,Europe,17.2
2002-12,Europe ex UK,19.2
2002-12,Finland,29.2
2002-12,France,24.1
2002-12,Germany,17.3
2002-12,Hong Kong,10.6
2002-12,Indonesia,11.6
2002-12,Ireland,11.2
2002-12,Italy,23.5
2002-12,Japan,56.6
2002-12,Malaysia,19.5
2002-12,Mexico,13.3
2002-12,Netherlands,14.2
2002-12,New Zealand,13.4
2002-12,Norway,11.0
2002-12,Philippines,7.1
2002-12,Portugal,13.5
2002-12,Singapore,13.3
2002-12,Spain,17.1
2002-12,Sweden,18.1
2002-12,Switzerland,21.0
2002-12,Thailand,15.9
2002-12,Turkey,7.2
2002-12,US Large,22.9
2003-07,Asia ex Japan,13.7
2003-07,Australia,18.6
2003-07,Austria,27.0
2003-07,Belgium,13.4
2003-07,Canada,26.4
2003-07,Chile,20.2
2003-07,Colombia,14.4
2003-07,Denmark,23.2
2003-07,Dev ex US Large,21.1
2003-07,Developed Markets Large,23.4
2003-07,Emerging Markets,16.3
2003-07,Europe,18.0
2003-07,Europe ex UK,20.0
2003-07,Finland,24.0
2003-07,France,25.0
2003-07,Germany,19.9
2003-07,Hong Kong,11.6
2003-07,Indonesia,13.6
2003-07,Ireland,11.7
2003-07,Italy,23.8
2003-07,Japan,69.7
2003-07,Malaysia,21.5
2003-07,Mexico,15.7
2003-07,Netherlands,13.5
2003-07,New Zealand,15.3
2003-07,Norway,12.5
2003-07,Philippines,9.4
2003-07,Portugal,13.0
2003-07,Singapore,15.7
2003-07,Spain,19.3
2003-07,Sweden,21.1
2003-07,Switzerland,22.7
2003-07,Thailand,25.5
2003-07,Turkey,7.2
2003-07,US Large,25.2
2003-12,Asia ex Japan,17.4
2003-12,Australia,19.3
2003-12,Austria,29.4
2003-12,Belgium,14.6
2003-12,Canada,28.3
2003-12,Chile,22.9
2003-12,Colombia,17.0
2003-12,Denmark,24.7
2003-12,Dev ex US Large,22.9
2003-12,Developed Markets Large,25.5
2003-12,Emerging Markets,20.7
2003-12,Europe,19.2
2003-12,Europe ex UK,21.6
2003-12,Finland,23.1
2003-12,France,27.7
2003-12,Germany,22.9
2003-12,Hong Kong,14.4
2003-12,Indonesia,18.1
2003-12,Ireland,12.2
2003-12,Italy,24.1
2003-12,Japan,81.5
2003-12,Malaysia,23.2
2003-12,Mexico,18.1
2003-12,Netherlands,14.1
2003-12,New Zealand,16.8
2003-12,Norway,14.1
2003-12,Peru,29.7
2003-12,Philippines,11.5
2003-12,Portugal,15.5
2003-12,Singapore,17.7
2003-12,Spain,20.4
2003-12,Sweden,22.8
2003-12,Switzerland,24.4
2003-12,Thailand,46.1
2003-12,Turkey,12.7
2003-12,US Large,27.8
2004-06,Asia ex Japan,17.4
2004-06,Australia,20.3
2004-06,Austria,34.1
2004-06,Belgium,15.4
2004-06,Brazil,14.8
2004-06,Canada,27.0
2004-06,Chile,23.5
2004-06,Colombia,20.1
2004-06,Denmark,26.0
2004-06,Dev ex US Large,23.5
2004-06,Developed Markets Large,25.4
2004-06,Emerging Markets,18.6
2004-06,Europe,19.0
2004-06,Europe ex UK,21.6
2004-06,Finland,19.9
2004-06,France,28.2
2004-06,Germany,22.5
2004-06,Hong Kong,14.6
2004-06,India,16.9
2004-06,Indonesia,19.9
2004-06,Ireland,13.7
2004-06,Italy,23.7
2004-06,Japan,92.0
2004-06,Malaysia,23.2
2004-06,Mexico,20.4
2004-06,Netherlands,13.9
2004-06,New Zealand,18.4
2004-06,Norway,16.1
2004-06,Peru,26.2
2004-06,Philippines,13.0
2004-06,Portugal,16.6
2004-06,Singapore,18.1
2004-06,Spain,19.7
2004-06,Sweden,24.7
2004-06,Switzerland,24.4
2004-06,Thailand,45.5
2004-06,Turkey,11.6
2004-06,US Large,27.0
2005-01,Asia ex Japan,21.3
2005-01,Australia,23.2
2005-01,Austria,37.4
2005-01,Belgium,17.5
2005-01,Brazil,16.9
2005-01,Canada,26.9
2005-01,Chile,26.6
2005-01,Colombia,27.1
2005-01,Denmark,26.4
2005-01,Dev ex US Large,23.8
2005-01,Developed Markets Large,25.4
2005-01,Emerging Markets,21.6
2005-01,Europe,19.7
2005-01,Europe ex UK,22.0
2005-01,Finland,18.8
2005-01,France,28.2
2005-01,Germany,22.3
2005-01,Hong Kong,17.1
2005-01,India,21.1
2005-01,Indonesia,29.1
2005-01,Ireland,15.1
2005-01,Italy,25.3
2005-01,Japan,78.6
2005-01,Malaysia,25.0
2005-01,Mexico,24.1
2005-01,Netherlands,14.2
2005-01,New Zealand,20.4
2005-01,Norway,18.2
2005-01,Peru,25.8
2005-01,Philippines,16.6
2005-01,Poland,15.9
2005-01,Portugal,17.5
2005-01,Singapore,20.2
2005-01,Spain,21.2
2005-01,Sweden,25.2
2005-01,Switzerland,24.1
2005-01,Thailand,60.1
2005-01,Turkey,16.2
2005-01,US Large,26.9
2005-12,Asia ex Japan,21.4
2005-12,Australia,25.7
2005-12,Austria,43.6
2005-12,Belgium,19.0
2005-12,Brazil,20.1
2005-12,Canada,30.3
2005-12,Chile,28.4
2005-12,China,12.1
2005-12,Colombia,50.1
2005-12,Czech Republic,43.3
2005-12,Denmark,32.3
2005-12,Dev ex US Large,27.6
2005-12,Developed Markets Large,27.1
2005-12,Emerging Markets,22.8
2005-12,Europe,22.1
2005-12,Europe ex UK,25.1
2005-12,Finland,22.2
2005-12,France,30.2
2005-12,Germany,25.5
2005-12,Hong Kong,18.5
2005-12,Hungary,26.1
2005-12,India,28.1
2005-12,Indonesia,28.7
2005-12,Ireland,15.6
2005-12,Israel,40.4
2005-12,Italy,25.1
2005-12,Japan,89.2
2005-12,Malaysia,23.0
2005-12,Mexico,29.1
2005-12,Netherlands,16.3
2005-12,New Zealand,21.0
2005-12,Norway,22.0
2005-12,Peru,28.7
2005-12,Philippines,17.4
2005-12,Poland,21.4
2005-12,Portugal,17.3
2005-12,Singapore,21.8
2005-12,South Africa,21.1
