date,bucket_lt40,bucket_40_70,bucket_70_100,bucket_gt100
2000-08-31,1.0,1.0093971109602473,1.0,1.0
2000-09-30,1.0,0.9984991490123584,1.0,1.0
2000-10-31,1.0,0.9464351092255504,1.0,1.0
2000-11-30,1.0,0.9391232915852834,1.0,1.0
2000-12-31,1.0,0.9079437056058537,1.0,1.0
2001-01-31,1.0,0.9120749189357794,1.0,1.0
2001-02-28,1.0,0.8925906473751413,1.0,1.0
2001-03-31,1.0,0.8115442824673592,1.0,1.0
2001-04-30,1.0,0.8151856299140249,1.0,1.0
2001-05-31,1.0,0.8712649638189561,1.0,1.0
2001-06-30,1.0,0.8504534732224839,1.0,1.0
2001-07-31,1.0,0.8278294788441678,1.0,1.0
2001-08-31,1.0,0.8108934182611197,1.0,1.0
2001-09-30,1.0,0.7196896021030039,1.0,1.0
2001-10-31,1.03184031500485,0.7196896021030039,1.0,1.0
2001-11-30,1.0839807146650013,0.7196896021030039,1.0,1.0
2001-12-31,1.0998724072411088,0.7196896021030039,1.0,1.0
2002-01-31,1.096598205509987,0.7196896021030039,1.0,1.0
2002-02-28,1.096598205509987,0.6955600698944582,1.0,1.0
2002-03-31,1.096598205509987,0.7299573982934129,1.0,1.0
2002-04-30,1.096598205509987,0.7043035408297792,1.0,1.0
2002-05-31,1.096598205509987,0.6844395652916007,1.0,1.0
2002-06-30,1.096598205509987,0.6439141827788895,1.0,1.0
2002-07-31,1.096598205509987,0.5746386807375508,1.0,1.0
2002-08-31,1.096598205509987,0.581182613300759,1.0,1.0
2002-09-30,1.096598205509987,0.5535315127647432,1.0,1.0
2002-10-31,1.096598205509987,0.5459645005772455,1.0,1.0
2002-11-30,1.096598205509987,0.5821377976470529,1.0,1.0
2002-12-31,1.096598205509987,0.5761123145613513,1.0,1.0
2003-01-31,1.096598205509987,0.5748303635362861,1.0,1.0
2003-02-28,1.096598205509987,0.5379559385371584,1.0,1.0
2003-03-31,1.096598205509987,0.5449918543790464,1.0,1.0
2003-04-30,1.096598205509987,0.5737993544714358,1.0,1.0
2003-05-31,1.096598205509987,0.6042807909040495,1.0,1.0
2003-06-30,1.096598205509987,0.6387500844670929,1.0,1.0
2003-07-31,1.096598205509987,0.6425564013924977,1.0,1.0
2003-08-31,1.096598205509987,0.6414876751689043,1.0,1.0
2003-09-30,1.096598205509987,0.6617662610150595,1.0,1.0
2003-10-31,1.096598205509987,0.6751857491956624,1.0,1.0
2003-11-30,1.096598205509987,0.6833594548213192,1.0,1.0
2003-12-31,1.096598205509987,0.7042962922523347,1.0,1.0
2004-01-31,1.096598205509987,0.739053042282169,1.0,1.0
2004-02-29,1.096598205509987,0.7470840522778887,1.0,1.0
2004-03-31,1.096598205509987,0.7353907171204961,1.0,1.0
2004-04-30,1.096598205509987,0.742510307018418,1.0,1.0
2004-05-31,1.096598205509987,0.7234704612987353,1.0,1.0
2004-06-30,1.096598205509987,0.7441449092681957,1.0,1.0
2004-07-31,1.096598205509987,0.7441449092681957,0.9776122038207564,1.0
2004-08-31,1.096598205509987,0.7441449092681957,0.9640471487502332,1.0
2004-09-30,1.096598205509987,0.7441449092681957,0.9908729607973898,1.0
2004-10-31,1.096598205509987,0.7441449092681957,0.9918895499166637,1.0
2004-11-30,1.096598205509987,0.7441449092681957,1.0392413263016362,1.0
2004-12-31,1.096598205509987,0.7441449092681957,1.0675860855772754,1.0
2005-01-31,1.096598205509987,0.7441449092681957,1.053181983823087,1.0
2005-02-28,1.096598205509987,0.7441449092681957,1.0708881502281316,1.0
2005-03-31,1.096598205509987,0.7441449092681957,1.0681510879204434,1.0
2005-04-30,1.096598205509987,0.7441449092681957,1.042420199193451,1.0
2005-05-31,1.096598205509987,0.7441449092681957,1.0563455839393099,1.0
2005-06-30,1.096598205509987,0.7441449092681957,1.0793812854279132,1.0
2005-07-31,1.096598205509987,0.7441449092681957,1.0793812854279132,1.0180779094752894
2005-08-31,1.096598205509987,0.7441449092681957,1.0793812854279132,1.0212341364672497
2005-09-30,1.096598205509987,0.7441449092681957,1.0793812854279132,1.0240904311481234
2005-10-31,1.096598205509987,0.7441449092681957,1.0510559498133376,1.0240904311481234
2005-11-30,1.096598205509987,0.7441449092681957,1.092693976215386,1.0240904311481234
2005-12-31,1.096598205509987,0.7441449092681957,1.092693976215386,1.0460482712016665
2006-01-31,1.096598205509987,0.7441449092681957,1.092693976215386,1.0613913955241907
2006-02-28,1.096598205509987,0.7441449092681957,1.092693976215386,1.0612147823982832
2006-03-31,1.096598205509987,0.7441449092681957,1.092693976215386,1.0769858960480192
2006-04-30,1.096598205509987,0.7441449092681957,1.092693976215386,1.0855838131949598
2006-05-31,1.096598205509987,0.7441449092681957,1.092693976215386,1.0770442240016695
2006-06-30,1.096598205509987,0.7441449092681957,1.092693976215386,1.047901637014919
