regime,bucket,asset,n_bucket,cont_n,cont_mean_ann,cont_median_ann,cont_std_ann,cont_p5_ann,cont_p95_ann,cont_hit_rate,fwd6_n,fwd6_median,fwd6_mean,fwd6_p5,fwd6_p95,fwd6_hit_rate,fwd6_cagr_median,fwd12_n,fwd12_median,fwd12_mean,fwd12_p5,fwd12_p95,fwd12_hit_rate,fwd12_cagr_median,fwd24_n,fwd24_median,fwd24_mean,fwd24_p5,fwd24_p95,fwd24_hit_rate,fwd24_cagr_median
regime_A,<$40 (basso),SP500,6,6,-0.09906601826284822,0.3175985236642984,0.3136666631775286,-0.8422252901236424,0.7692574220029191,0.6666666666666666,6,0.0010647383303001856,0.037151105020067375,-0.17814799780093696,0.273097544632925,0.5,0.002130610328312299,6,-0.1877450562471683,0.04106823032320295,-0.20173147301382333,0.5186533574355106,0.3333333333333333,-0.1877450562471683,6,0.01197320211745656,0.21772660307745315,-0.03564645715036502,0.6902588577703821,0.5,0.005968787844561563
regime_A,<$40 (basso),NASDAQ,6,6,0.8967969499148125,1.2422880300489871,0.3573600309517008,-0.6196569138699204,4.464793940173216,0.6666666666666666,6,-0.07863304966359203,-0.004538359587787681,-0.29456551490398175,0.3995572845548146,0.5,-0.15108294282778723,6,-0.2176730814619297,0.043835652130318,-0.30906709968154233,0.6950344781481328,0.3333333333333333,-0.21767308146192965,6,0.12366617559072612,0.2667921348506595,0.03390579241264274,0.7574988254183923,1.0,0.060031214441690794
regime_A,<$40 (basso),ACWI,6,6,0.08095329630239978,0.21138862938603165,0.28912342104442573,-0.7478600786044982,2.004500255631881,0.6666666666666666,6,0.017909453961319932,0.04074162135285062,-0.12207095465827075,0.25112085401311174,0.5,0.03613965646383277,6,-0.13795871496232254,0.05904125134487894,-0.19095044721039478,0.5278131420507068,0.3333333333333333,-0.13795871496232248,6,0.11113640416219184,0.23145754854867764,0.04335957707172422,0.5985789310827707,1.0,0.054104550868741885
regime_A,<$40 (basso),DAX,6,6,0.2325989642576407,0.7190421046935749,0.33741264296372825,-0.8008538328545176,1.944218086880086,0.6666666666666666,6,0.01479026478818396,-0.0011025597539879306,-0.24434327855561622,0.2396692529453009,0.5,0.029799281508872344,6,-0.3215233817882987,-0.1067396041472446,-0.4563653238755262,0.48127411053536495,0.3333333333333333,-0.32152338178829876,6,-0.20173826328009276,-0.02260168315781143,-0.24486459884545175,0.41257527436323704,0.3333333333333333,-0.10654505613326692
regime_A,<$40 (basso),FTSE100,6,6,-0.05372751393724906,0.24011476777600516,0.2313532817281533,-0.7294020870106412,0.6253658422743502,0.6666666666666666,6,-0.022038027193602427,-0.034024268235568755,-0.14526003281478822,0.04972644288160133,0.3333333333333333,-0.04359037974461899,6,-0.16995924856461908,-0.06591088660972973,-0.26763262987996983,0.22385595108564732,0.3333333333333333,-0.16995924856461908,6,-0.08422292495988737,0.07070736797352452,-0.10130780860987035,0.4059160124459642,0.3333333333333333,-0.04303757908676864
regime_A,<$40 (basso),NIKKEI,6,6,-0.005081331428865465,0.1297930565963763,0.23586905400062907,-0.6791893134152236,1.1833753104214035,0.5,6,0.11389488447597884,0.10421678281229481,0.0018106410115741878,0.2141389208478951,0.8333333333333334,0.2407618136617542,6,-0.1366764279232915,0.07085179714988023,-0.16630707594526103,0.5398876292283508,0.3333333333333333,-0.1366764279232915,6,0.08668901451873023,0.18369169249700143,-0.0036393209470836907,0.4868100068499455,0.8333333333333334,0.04244377043499581
regime_A,<$40 (basso),MSCI_EM,6,6,0.5337712414765454,1.2703701919836918,0.33358674558672535,-0.742335564052846,2.1813038037986563,0.8333333333333334,6,0.20160028991168333,0.16152801627735078,-0.060737303263061676,0.32663406703046244,0.8333333333333334,0.44384325671584146,6,0.06694334171450389,0.1767410929953891,-0.08607846452289886,0.5649520485197427,0.6666666666666666,0.066943341714504,6,0.47016377490113526,0.44459158207824107,0.2702662891619585,0.5793288099559055,1.0,0.21250310304804376
regime_A,$40-70 (normale),SP500,101,101,0.045128620555255905,0.07389892531257702,0.12953164006806211,-0.5486805294671832,0.988070922995405,0.5742574257425742,97,0.0634858377069345,0.04638708233697706,-0.14083577648682763,0.2032729324142185,0.6701030927835051,0.13100212700322023,92,0.15157211211405908,0.11359631878117471,-0.21464095573292113,0.3638124857851868,0.7608695652173914,0.1515721121140592,91,0.25587411458429266,0.21440498999296265,-0.31456123364488436,0.5276551095089079,0.8571428571428571,0.12065789364296742
regime_A,$40-70 (normale),NASDAQ,101,101,0.01750378653553253,0.14152666709352713,0.25042333462578514,-0.7487928242856112,2.601811198767071,0.5643564356435643,98,0.09700328002328651,0.0641045006479798,-0.24189717446857473,0.3349458270052269,0.6836734693877551,0.20341619638184905,93,0.22285379724395282,0.1524169870473046,-0.3052237646195975,0.5092960771992973,0.8064516129032258,0.22285379724395282,91,0.2875282081572619,0.27153949551778805,-0.436488491993959,0.8442452899253978,0.8241758241758241,0.13469300172216703
regime_A,$40-70 (normale),ACWI,101,101,0.04013481962448706,0.0932546799225189,0.15701000141230692,-0.64779138725069,1.3328085788578705,0.594059405940594,100,0.0768801412113963,0.05305851417936598,-0.14320121116250142,0.22508836675078722,0.67,0.15967083853547703,94,0.13912099872230055,0.11885795857828547,-0.20010046861660902,0.40293768164216776,0.7553191489361702,0.13912099872230055,91,0.29492866088639524,0.22127191831024026,-0.3117370979847891,0.5541366679510621,0.8461538461538461,0.13794932263541293
