Date,ETF a duration costante,Obbligazioni a scadenza
1978-09-01,100.0,100.70166666666664
1978-10-01,99.44970921361683,100.15655449084906
1978-11-01,99.20956690093357,99.9159045713823
1978-12-01,98.82385634883686,99.67401878013825
1979-01-01,99.06808296850537,99.92767820155004
1979-02-01,99.81934926434985,100.65924490011456
1979-03-01,100.464661453024,101.29259441731962
1979-04-01,100.89180499207797,101.72376060498402
1979-05-01,101.27050114812866,102.32241266451616
1979-06-01,103.99127919830838,104.77637579513377
1979-07-01,104.52934303252528,105.34010942272616
1979-08-01,104.83975707038749,105.71372650344645
1979-09-01,103.88310891038162,105.01249158778883
1979-10-01,99.29320933175593,101.21027849615103
1979-11-01,98.30530179438556,100.43141011224186
1979-12-01,100.54368394597317,102.92836157797281
1980-01-01,99.24300953762506,102.0001154084663
1980-02-01,92.19458306012707,96.3162812621369
1980-03-01,91.60428576027645,95.91359355530062
1980-04-01,98.6031406732178,101.87178523235761
1980-05-01,106.38418957121416,108.6676227559902
1980-06-01,109.6104279919731,111.19457700030388
1980-07-01,107.73737313232661,110.03769269893561
1980-08-01,103.88717281764843,107.42046636366378
1980-09-01,102.65955035206204,106.68163848276907
1980-10-01,102.38857527129208,106.66832881389861
1980-11-01,98.69373908062585,104.16960490244607
1980-12-01,98.96122756308915,105.68079649814467
1981-01-01,101.34411660722324,107.67633829581811
1981-02-01,99.3575998588105,106.57260578970933
1981-03-01,100.78800910881056,107.81445930354947
1981-04-01,99.19629645278282,106.98949567436085
1981-05-01,98.36608119410137,108.0845401290486
1981-06-01,102.50006592793046,111.17875438129789
1981-07-01,99.76741564883788,109.84992321089643
1981-08-01,97.9401910893325,109.04047796349894
1981-09-01,97.47620977501792,109.05659546399178
1981-10-01,99.47437270597878,110.65780129741418
1981-11-01,109.14843604077353,117.04938503066631
1981-12-01,108.64932374249278,118.44297482406616
1982-01-01,105.5156550651596,117.05815848012409
1982-02-01,107.58471222625023,118.6636168538528
1982-03-01,111.78761521402936,121.45707076004302
1982-04-01,113.02573309378765,122.61828783109125
1982-05-01,115.6836600437037,125.96955828435608
1982-06-01,113.31918541652072,125.34819275117044
1982-07-01,116.54583932688251,127.42630193585902
1982-08-01,122.95294252724511,130.9159655295936
1982-09-01,128.71052326622433,134.02406884615678
1982-10-01,139.67536951565452,139.28785042982594
1982-11-01,143.61715824208673,141.44459900940717
1982-12-01,144.95614263241183,143.2396037394329
1983-01-01,146.8475754910238,144.51874155113848
1983-02-01,146.1107843813687,144.86247108416643
1983-03-01,149.04889357373204,146.51711358250256
1983-04-01,151.2302369424018,147.90789746613632
1983-05-01,152.70260460249438,149.7381254163185
1983-06-01,150.25014820076595,149.70906822735228
1983-07-01,147.49887841235127,149.58134568614184
1983-08-01,145.3773319231272,149.63250372142932
1983-09-01,148.29986684175606,151.25938305637385
1983-10-01,150.5770664818929,152.687640863311
1983-11-01,150.87160503320058,153.5071787681187
1983-12-01,151.26782225186506,155.57527383460243
1984-01-01,153.99597776491663,157.09983193735872
1984-02-01,154.16349831473798,157.9698522323127
1984-03-01,151.98698964873486,158.2502351952029
1984-04-01,151.21750845150805,158.90845226977842
1984-05-01,147.13044563504107,160.47621418701223
1984-06-01,147.71686419624066,161.57281979156227
1984-07-01,150.81152208926048,163.25391156088486
1984-08-01,157.24762467358394,165.68912103031337
1984-09-01,160.47552994675905,167.40653307439453
1984-10-01,165.0526714165457,169.3216289564631
1984-11-01,171.71775624935685,171.6022525413463
1984-12-01,173.99134088835746,174.19120627514403
1985-01-01,176.7365753179935,175.59459194943832
1985-02-01,177.23190667445152,176.69016645740697
1985-03-01,175.78268322520842,177.5148839464325
1985-04-01,181.41458554414965,179.34183483990563
1985-05-01,188.67401894507313,182.3958622539232
1985-06-01,197.39145692100573,184.25845071796914
1985-07-01,197.4758314542471,185.38658927620781
1985-08-01,198.96094975999915,186.64362407549737
1985-09-01,200.24803694803768,187.89224123727996
1985-10-01,203.37717710152555,189.31015639585792
1985-11-01,210.22113086698607,191.04509517367225
1985-12-01,218.0156635667088,193.24789979463702
1986-01-01,220.5493599322008,194.61814905632008
1986-02-01,228.37374786230797,196.17589812243256
1986-03-01,242.36015791997306,197.92007947651112
1986-04-01,250.8859700713578,199.42259809240298
1986-05-01,246.35566749277285,200.14843820497816
1986-06-01,246.63715747206507,201.42762753196018
1986-07-01,255.61227846748707,202.68376522913493
1986-08-01,259.1638651477704,203.91339758868807
1986-09-01,256.3978502050583,205.1793599320512
1986-10-01,258.29479629428425,206.69417418380783
1986-11-01,262.67923193153956,210.17339270604873
1986-12-01,266.4808618238531,212.9951429128079
1987-01-01,268.54173916388925,214.64397939414087
1987-02-01,267.3913445827971,213.9377862496958
1987-03-01,269.0068339563182,215.24306526889515
1987-04-01,258.5804396481542,207.77202935152553
1987-05-01,251.6198765686334,203.30870143599861
1987-06-01,256.458736432425,206.78754799242887
1987-07-01,257.5191149975097,207.61059803683577
1987-08-01,254.80955826798933,205.80738179067058
1987-09-01,247.3694705185177,200.67283365920002
1987-10-01,247.9476716267778,201.0824645284937
1987-11-01,259.14965536002563,208.90304355509474
1987-12-01,259.17004997820624,209.83571947690427
1988-01-01,265.8258256835425,214.26335131954235
1988-02-01,274.8142868425946,220.13197354261234
1988-03-01,274.1673756453385,219.95649597396758
1988-04-01,270.6352644858129,217.98144414932693
1988-05-01,266.9963458359706,216.8431450643732
1988-06-01,271.575701957344,219.79519366082351
1988-07-01,271.46347075675016,220.00759116308916
1988-08-01,270.4920403673829,219.72011560537555
1988-09-01,276.83629495496103,223.67853079427658
1988-10-01,281.72724126011343,226.7891392203919
