date,strat_lordo,strat_netto,nudo3x,ndx1
1990-01-02,10000.0,10000.0,10000.0,10000.0
1990-01-03,9789.283149151288,9789.283149151288,9779.334743141952,9928.880099565835
1990-01-04,9624.071428464971,9624.071428464971,9593.174539961181,9868.295645531363
1990-01-05,9440.195633968338,9440.195633968338,9385.13963989564,9799.36505846214
1990-01-08,9477.319098316384,9477.319098316384,9429.424178671432,9817.164416937421
1990-01-09,9209.470620651875,9209.470620651875,9124.55844742095,9713.75444993892
1990-01-10,8706.458177223432,8706.458177223432,8546.14501560648,9510.865575097201
1990-01-11,8390.411418550038,8390.411418550038,8179.417072335168,9377.139795579498
1990-01-12,7925.020880493793,7925.020880493793,7632.702056766218,9170.49956635604
1990-01-15,7810.701628632845,7810.701628632845,7498.2638339876175,9118.89137159745
1990-01-16,8196.021613155925,8196.021613155925,7959.219107082152,9307.973071763192
1990-01-17,8065.016279548261,8065.016279548261,7806.368158751701,9250.65547687293
1990-01-18,8055.732080096744,8055.732080096744,7797.332088817817,9249.338893028795
1990-01-19,8363.733317877062,8363.733317877062,8163.229267691795,9396.269268568021
1990-01-22,7790.079739314442,7790.079739314442,7488.105216374377,9139.524022735273
1990-01-23,7731.985981645098,7731.985981645098,7420.546589830176,9114.263687883742
1990-01-24,7660.53417912702,7660.53417912702,7336.793356020363,9082.193295321433
1990-01-25,7569.077436392838,7569.077436392838,7228.689703045382,9039.797920851957
1990-01-26,7343.3083845916435,7343.3083845916435,6957.295361672366,8928.869048276398
1990-01-29,7237.851916392482,7237.851916392482,6830.504419969433,8876.802980544138
1990-01-30,6870.795505977689,6870.795505977689,6379.774557030288,8683.711121739301
1990-01-31,7199.253545170049,7199.253545170049,6790.494837979672,8872.17384897596
1990-02-01,7284.4844828144405,7284.4844828144405,6897.484399445132,8920.932749319687
1990-02-02,7493.973786616035,7493.973786616035,7154.843793131246,9034.060332422607
1990-02-05,7563.9006041759585,7563.9006041759585,7241.465035240525,9072.72010764538
1990-02-06,7435.041137257806,7435.041137257806,7087.816060993577,9010.763738057885
1990-02-07,7577.591105430985,7577.591105430985,7262.515356649327,9086.99233832633
1990-02-08,7610.347178793507,7610.347178793507,7304.078291977798,9106.542362052596
