Date,Value
"Jun 1, 1950","11,55"
"May 1, 1950","11,46"
"apr 1, 1950","11,18"
"mar 1, 1950","11,31"
"feb 1, 1950","11,31"
"Jan 1, 1950","11,15"
"Dec 1, 1949","10,53"
"nov 1, 1949","10,22"
"Oct 1, 1949","10,17"
"Sep 1, 1949","10,28"
"Aug 1, 1949","10,25"
"Jul 1, 1949","10,01"
"Jun 1, 1949","9,07"
"May 1, 1949","10,09"
"apr 1, 1949","10,18"
"mar 1, 1949","10,3"
"feb 1, 1949","10,27"
"Jan 1, 1949","10,25"
"Dec 1, 1948","10,16"
"nov 1, 1948","10,25"
"Oct 1, 1948","11,23"
"Sep 1, 1948","10,55"
"Aug 1, 1948","11,12"
"Jul 1, 1948","11,13"
"Jun 1, 1948","11,58"
"May 1, 1948","11,24"
"apr 1, 1948","11,18"
"mar 1, 1948","10,19"
"feb 1, 1948",10
"Jan 1, 1948","10,42"
"Dec 1, 1947","11,08"
"nov 1, 1947","11,38"
"Oct 1, 1947","11,13"
"Sep 1, 1947","11,23"
"Aug 1, 1947","11,34"
"Jul 1, 1947","12,1"
"Jun 1, 1947","11,08"
"May 1, 1947","11,13"
"apr 1, 1947","11,3"
"mar 1, 1947","11,29"
"feb 1, 1947","12,35"
"Jan 1, 1947","11,47"
"Dec 1, 1946","11,37"
"nov 1, 1946","11,11"
"Oct 1, 1946","11,39"
"Sep 1, 1946","12,24"
"Aug 1, 1946","14,38"
"Jul 1, 1946","14,51"
"Jun 1, 1946","16,17"
"May 1, 1946","16,01"
"apr 1, 1946","16,04"
"mar 1, 1946","15,13"
"feb 1, 1946","16,16"
"Jan 1, 1946","16,02"
