Price,Close,High,Low,Open,Volume
Ticker,RACE.MI,RACE.MI,RACE.MI,RACE.MI,RACE.MI
Date,,,,,
2026-01-02,312.739013671875,315.2108681276249,308.68519650364885,314.41988677138676,328403
2026-01-05,317.7816162109375,318.8692382521802,312.1458059183257,314.02440934919633,430701
2026-01-06,314.6176452636719,319.46247393236234,314.6176452636719,319.0669832566741,389017
2026-01-07,314.0244140625,314.815395464,310.8604281084874,313.43116292437185,527073
2026-01-08,317.7816162109375,318.2759871229564,307.99307818776475,310.46493274785917,616890
2026-01-09,322.0332336425781,323.41746620219544,311.552563964321,311.552563964321,625533
2026-01-12,319.5613708496094,319.5613708496094,316.10077445192985,318.57262902170095,457053
2026-01-13,307.49871826171875,319.5613810155433,306.0156054726751,317.5838972968184,672516
2026-01-14,304.334716796875,309.7727967473806,302.7527540413868,307.49870265586225,638846
2026-01-15,302.95050048828125,304.33473306030857,300.47864583322996,300.6764062752369,565084
2026-01-16,296.721435546875,303.7415087244145,295.1394425503298,301.2696540966898,745984
2026-01-19,289.20697021484375,291.67882466112445,288.1193482236793,290.69008288261216,570619
2026-01-20,286.4385070800781,288.91036154168046,284.7576339765867,286.73511754586855,674113
2026-01-21,283.1756591796875,286.5373754274604,282.28579755145444,285.6475137992274,766953
2026-01-22,285.25201416015625,289.8002325524503,285.25201416015625,289.7013523359646,610572
2026-01-23,281.0992736816406,284.26325942132314,281.000423643654,282.1868956655318,424182
2026-01-26,281.49481201171875,285.3508991268095,280.9015608769341,282.78016432541364,567419
2026-01-27,278.5285949707031,284.2632857084357,276.9466019545678,283.76891477676884,456992
2026-01-28,277.5398254394531,280.20941009991924,275.364581487366,277.63867547672646,526758
2026-01-29,279.9128112792969,280.4071821822366,273.68371979785263,276.94658586165826,526234
2026-01-30,277.6387023925781,279.71506633468215,274.6724768107172,279.5173360669623,395319
2026-02-02,281.7914123535156,282.2857832523814,276.25445225141743,276.84770336485747,388305
2026-02-03,279.2206726074219,284.0655012941043,277.5398296860038,283.2745199397905,465824
2026-02-04,286.1418762207031,289.2069818926572,277.4409602880648,278.33082188985645,707901
2026-02-05,282.1869201660156,285.944157329856,278.3308329556061,285.2520259598308,516532
2026-02-06,277.8364562988281,281.3959329481339,273.0905075490912,279.81393997355286,573919
2026-02-09,278.4296875,280.70378149350194,274.1780797993605,277.8364364052591,504479
2026-02-10,306.80657958984375,309.87168531573195,277.0454744704302,281.29705229491606,2064585
2026-02-11,319.16583251953125,319.7590836186242,304.63134654877814,309.17956474315156,1815692
2026-02-12,325.0982971191406,326.4825598011196,317.5838834547124,318.6714753134021,1107193
2026-02-13,318.6714782714844,325.3949407889174,317.7816166633846,324.8016896588489,600968
2026-02-16,312.4424133300781,320.35234784476364,311.8986174017957,320.35234784476364,355509
2026-02-17,314.7165222167969,315.90302451933616,310.86043499455474,314.2221512864067,308901
2026-02-18,306.6088562011719,312.8379178369807,304.927982972966,312.6401875697845,703522
2026-02-19,307.59759521484375,310.16833005667854,300.8741325381984,308.4874568440155,623266
2026-02-20,305.718994140625,308.68521971052496,302.5550081297956,307.00434648464557,644900
2026-02-23,300.4786376953125,307.49871076033355,300.4786376953125,305.5212270898491,360929
2026-02-24,312.9367980957031,317.58389689848065,301.0718957982357,301.4673865066832,681060
2026-02-25,315.80413818359375,320.6489671728067,314.02441493825233,314.71651612299337,539758
2026-02-26,316.00189208984375,318.7703571195973,313.03566662624826,315.11203048556627,440449
2026-02-27,317.7816162109375,318.57262777457123,313.6289186543824,315.40864186804805,504888
2026-03-02,304.8291015625,311.3548038346412,304.8291015625,310.4649422007144,633584
2026-03-03,301.3684997558594,307.20210073158086,296.02929987249297,306.21335889488313,603002
2026-03-04,309.2784423828125,310.3660644658801,303.5437516524664,307.49871910070704,500612
2026-03-05,304.63134765625,312.04691098685976,303.64260587883535,308.4874345533662,436762
2026-03-06,298.20452880859375,307.30093513893524,296.5236557021369,307.0043246726216,471397
2026-03-09,291.6788330078125,295.2383095471157,287.9216262115513,294.6450584282309,515194
2026-03-10,297.1169128417969,298.00677443281154,293.8540769500748,295.1394292288731,457541
2026-03-11,291.2833557128906,299.5887812371387,291.18447549286253,296.3259451942577,395027
2026-03-12,289.30584716796875,291.77770158639976,286.93287296107576,289.30584716796875,383025
2026-03-13,285.94415283203125,289.5035993247236,284.7576505517962,285.15314125387243,467765
2026-03-16,285.35089111328125,287.72386541177315,281.29704367577136,287.1306142936489,345626
2026-03-17,289.4047546386719,292.2720999993276,285.0542663132555,286.6362593248608,411649
2026-03-18,286.7351379394531,291.3822367273849,285.15314493670996,289.5036030637486,423481
2026-03-19,271.21185302734375,282.483533244218,270.81636235766484,281.79140194177694,776740
2026-03-20,270.7174987792969,274.7713462840779,269.7287569573506,271.0141394302842,1073617
2026-03-23,279.9128112792969,286.43851323290284,265.9715457815944,267.7512689625754,889997
2026-03-24,276.15557861328125,281.4948085873859,275.66120770264234,280.8026772428891,480223
2026-03-25,273.2882385253906,280.5060720613769,271.310754845505,277.1443256663663,474466
2026-03-26,276.55108642578125,280.604903562446,271.5084973405102,273.28822046519207,405369
2026-03-27,275.1668395996094,281.09929058780654,273.189355936877,278.5285859654593,349929
2026-03-30,286.6362609863281,287.52612263113696,272.49726436879007,273.2882457921741,877501
2026-03-31,285.74639892578125,287.13063150169296,281.29706053420335,285.74639892578125,583002
2026-04-01,294.4472961425781,298.1056528743194,290.19571846969404,295.040547257726,688289
2026-04-02,292.1732177734375,293.26083984732776,286.2407666511342,288.21825035856864,391528
2026-04-07,283.521728515625,294.2495837375041,282.4835616316396,291.1844779349662,504633
2026-04-08,299.1438293457031,307.2020994195791,298.1550875132281,304.779669860413,991595
2026-04-09,296.9685974121094,297.7101537415017,292.42037922370235,294.89223365501005,506642
2026-04-10,298.25396728515625,302.9010659604401,297.4135306940084,297.90790160950644,370740
2026-04-13,295.7821044921875,296.4742358242629,291.8271372780543,293.4091301985086,372323
2026-04-14,301.9123229980469,302.9010648253377,298.3528463849988,298.60003184182153,500553
2026-04-15,299.3415832519531,303.395430711471,297.11691417741343,301.9123179951112,477294
2026-04-16,301.6651306152344,305.91670830536964,299.98425747782915,300.57750859538424,494131
2026-04-17,317.4850158691406,318.2265722608434,301.17077525168,301.8628764461985,922762
2026-04-20,311.95001220703125,315.0,310.5,311.5,586783
2026-04-21,309.29998779296875,316.3999938964844,309.29998779296875,314.5,343339
2026-04-22,308.1000061035156,310.20001220703125,306.5,308.0,323406
2026-04-23,305.8500061035156,307.5,301.8500061035156,304.25,354672
2026-04-24,299.54998779296875,302.45001220703125,297.3500061035156,300.75,349130
2026-04-27,296.1000061035156,300.04998779296875,296.1000061035156,299.5,320015
2026-04-28,291.45001220703125,296.6499938964844,291.3500061035156,295.70001220703125,319843
2026-04-29,290.25,292.6499938964844,287.6000061035156,292.6000061035156,275955
2026-04-30,293.3500061035156,293.70001220703125,284.6499938964844,286.20001220703125,476042
2026-05-04,291.04998779296875,293.3500061035156,286.0,293.3500061035156,580910
2026-05-05,279.54998779296875,297.3500061035156,275.8500061035156,288.75,1209259
2026-05-06,286.1000061035156,295.25,278.7250061035156,279.0,1103375
2026-05-07,288.8500061035156,292.8999938964844,286.29998779296875,288.3999938964844,672948
2026-05-08,289.5,293.0,286.75,287.1000061035156,446033
2026-05-11,281.1000061035156,288.20001220703125,278.3999938964844,287.5,829035
2026-05-12,280.0,280.3500061035156,274.79998779296875,276.54998779296875,511292
2026-05-13,283.1499938964844,283.54998779296875,274.8999938964844,281.1000061035156,519853
2026-05-14,287.0,288.54998779296875,283.70001220703125,285.20001220703125,384999
2026-05-15,279.3999938964844,286.3500061035156,277.1000061035156,284.8999938964844,433659
2026-05-18,277.0,279.45001220703125,272.29998779296875,275.0,471047
2026-05-19,286.6000061035156,289.5,279.6499938964844,280.0,535802
2026-05-20,290.25,293.1000061035156,282.3999938964844,283.29998779296875,490555
