Price,Close,High,Low,Open,Volume
Ticker,RACE,RACE,RACE,RACE,RACE
Date,,,,,
2026-01-02,367.64697265625,368.54656355304155,365.03213121125987,366.82642556352295,477200
2026-01-05,374.9427490234375,375.71879627102015,364.33519110834,365.49182522480476,646000
2026-01-06,367.7161560058594,373.48952156610886,367.12498678393746,373.45986505449116,485000
2026-01-07,362.6249084472656,368.052261080419,362.4370738234051,366.8165228546999,671900
2026-01-08,366.61883544921875,372.3032314830281,359.8074316334854,359.8074316334854,873300
2026-01-09,371.89788818359375,376.079637147148,370.46441979226046,375.54578979300726,670100
2026-01-12,372.8963928222656,374.4880092344221,369.58460822124096,370.95873349086895,448900
2026-01-13,355.9815979003906,369.10018475714656,354.08352077731075,368.46750243925055,1070100
2026-01-14,349.3580322265625,359.5751072093301,346.6591691387378,356.8021179311929,1334600
2026-01-15,350.5245666503906,352.4523001657828,349.33824589523385,351.9777959992321,506200
2026-01-16,341.2911376953125,347.88501998646035,340.9599381281772,346.40213411254587,1060300
2026-01-20,332.9375305175781,338.4785915160815,331.8204183478529,336.1207933555445,1434300
2026-01-21,337.7816162109375,338.4736416725593,329.5367745386329,334.1535057408129,1485200
2026-01-22,333.69873046875,337.5542577768061,333.0660482003125,336.1306849610847,729400
2026-01-23,334.6675720214844,334.7169894833456,329.85314066384217,331.523861178465,870300
2026-01-26,336.565673828125,338.0979771539027,333.4417239861422,336.9808649753854,642200
2026-01-27,333.55047607421875,334.9048404246148,331.0443951801987,334.1980017369772,450800
2026-01-28,329.6554260253906,334.5786182684705,328.84480463016854,330.88129893290704,497400
2026-01-29,334.5885009765625,335.98238717491,331.1778513353525,331.217403406822,488000
2026-01-30,329.3687438964844,331.4843120950985,327.23338457743483,330.10029128721203,531300
2026-02-02,332.49267578125,334.5390656411931,330.64401611653125,331.91930648612663,470200
2026-02-03,326.5512390136719,332.0181435701101,324.2577016879088,330.13982755152756,586800
2026-02-04,335.45843505859375,341.73303480282374,333.9360272563958,338.71090658036377,689800
2026-02-05,330.94061279296875,334.0151152066347,328.1626755039872,332.0181729718449,451900
2026-02-06,329.9816589355469,330.8417279151033,327.27290022467724,328.28128192710085,732000
2026-02-09,332.2949523925781,334.36605083896245,329.6554023019343,330.13983219535726,647000
2026-02-10,359.07586669921875,367.429469052232,353.599066514473,358.1268282029974,2403400
2026-02-11,378.59063720703125,381.0423526878755,372.90129363504315,376.7716341739107,3085900
2026-02-12,386.74652099609375,389.0104019223087,381.1718812782917,385.55033481499464,1332600
2026-02-13,374.7549133300781,381.3389303807804,373.35113156560783,380.9632611237165,1046900
2026-02-17,370.7115783691406,373.68724572075166,368.33896696987114,372.83707228851466,576000
2026-02-18,362.2492370605469,366.0652123671179,360.31160798148983,361.2804376057134,553300
2026-02-19,362.3184509277344,364.5921972150499,355.6454644508934,355.6454644508934,804800
2026-02-20,362.7633361816406,364.0583874663839,356.3869146833499,356.3869146833499,606900
2026-02-23,354.3306579589844,358.7101070989793,352.72911583641354,357.3359516765651,498500
2026-02-24,369.65380859375,373.91463164507314,365.6895506532001,365.7785201864321,759300
2026-02-25,369.0804138183594,377.3994122286821,368.3488664229459,376.8210951706698,631900
2026-02-26,371.89788818359375,375.817646165325,370.2469286605283,373.80586073915003,532700
2026-02-27,375.5853576660156,376.20814440776223,370.14810931332784,370.5336439629805,574400
2026-03-02,358.6112365722656,364.0336414778606,355.98158198217385,358.76941468701443,873000
2026-03-03,357.0097351074219,357.1086002032115,343.80214874798713,345.8040688872043,742000
2026-03-04,360.9245300292969,362.0811942785747,358.0477278307554,358.53215772852667,374600
2026-03-05,353.9450988769531,359.83709053146754,349.17021945142,357.20743585893064,576500
2026-03-06,346.0857849121094,347.8306618071494,343.11014771322476,343.13980422452954,478300
2026-03-09,342.6257019042969,343.8317835903793,333.0561525550402,336.3778325140007,763300
2026-03-10,342.60595703125,349.5557477649665,341.399875288571,344.48427314345076,519300
2026-03-11,336.72381591796875,347.45002952012754,336.12079015810974,344.316214342041,386300
2026-03-12,330.73297119140625,336.2394280412471,330.4067495698822,333.1945822859233,546900
2026-03-13,328.07366943359375,332.1812924318464,327.0159003964754,329.3588553442125,879600
2026-03-16,330.5451354980469,330.653896151131,325.5774738125619,326.7390858585249,662200
2026-03-17,332.6409606933594,337.0204096098547,332.3147089154631,334.12384652535104,554700
2026-03-18,326.69952392578125,332.36415870173084,326.69952392578125,328.6371529780624,567300
2026-03-19,317.34747314453125,320.04630613146605,310.57562160768214,319.4729368670601,1140000
2026-03-20,311.0402526855469,314.9451672954818,308.9444455256807,313.9368157853734,941300
2026-03-23,325.40447998046875,330.5649240314537,322.7698776288598,324.8607370580845,852700
2026-03-24,318.345947265625,324.15886506019694,317.25852169634,319.32467251513043,515000
