date,100E,60/40,40/60
2012-07-01,0.029211,0.022385,0.019884
2012-08-01,0.033877,0.014266,0.007014
2012-09-01,0.030212,0.011916,0.004969
2012-10-01,-0.002171,-0.003588,-0.004140
2012-11-01,-0.028375,-0.009108,-0.001594
2012-12-01,0.021755,0.004053,-0.002665
2013-01-01,0.042688,0.011428,-0.000726
2013-02-01,0.023330,0.018534,0.016588
2013-03-01,0.027225,0.015826,0.011171
2013-04-01,0.014538,0.015669,0.016138
2013-05-01,0.045743,0.004940,-0.011961
2013-06-01,-0.011178,-0.019795,-0.023573
2013-07-01,0.032545,0.015826,0.008403
2013-08-01,0.002525,-0.004488,-0.007676
2013-09-01,0.011925,0.012995,0.013487
2013-10-01,0.021175,0.015579,0.013012
2013-11-01,0.038600,0.016123,0.005732
2013-12-01,0.015217,-0.000674,-0.008260
2014-01-01,0.009678,0.019642,0.024510
2014-02-01,-0.001300,0.000522,0.001400
2014-03-01,0.027223,0.014293,0.008083
2014-04-01,0.002017,0.004243,0.005332
2014-05-01,0.015320,0.016709,0.017386
2014-06-01,0.031963,0.017887,0.011035
2014-07-01,0.014958,0.008028,0.004584
2014-08-01,-0.004270,0.006274,0.011568
2014-09-01,0.017780,0.005309,-0.000854
2014-10-01,-0.026466,-0.009211,-0.000526
2014-11-01,0.057057,0.040702,0.032683
2014-12-01,0.006339,0.004891,0.004165
2015-01-01,-0.011100,0.011379,0.022686
2015-02-01,0.028274,0.005213,-0.006002
2015-03-01,0.000554,0.003138,0.004439
2015-04-01,0.008784,0.001968,-0.001447
2015-05-01,0.009789,0.004120,0.001250
2015-06-01,-0.004355,-0.009997,-0.012878
2015-07-01,-0.000796,0.005407,0.008602
2015-08-01,-0.024244,-0.014374,-0.009337
2015-09-01,-0.045071,-0.021098,-0.009050
2015-10-01,0.043171,0.022367,0.012292
2015-11-01,0.029325,0.016509,0.010114
2015-12-01,-0.011030,-0.008065,-0.006557
2016-01-01,-0.064196,-0.026546,-0.007484
2016-02-01,-0.005499,0.005019,0.010039
2016-03-01,0.063627,0.035687,0.022556
2016-04-01,0.028313,0.015482,0.009210
2016-05-01,-0.003044,-0.001573,-0.000841
2016-06-01,0.010665,0.019748,0.024262
2016-07-01,0.032974,0.021165,0.015374
2016-08-01,0.011993,0.003227,-0.001146
2016-09-01,-0.004387,-0.002857,-0.002084
2016-10-01,-0.005060,-0.011255,-0.014380
2016-11-01,0.012012,-0.010960,-0.022655
2016-12-01,0.039460,0.022596,0.013707
2017-01-01,0.014376,0.009832,0.007376
2017-02-01,0.025764,0.019979,0.016830
2017-03-01,0.017493,0.010596,0.006809
2017-04-01,-0.001540,0.003187,0.005810
2017-05-01,0.016924,0.014061,0.012484
2017-06-01,0.017764,0.008862,0.003937
2017-07-01,0.009879,0.007382,0.005981
2017-08-01,0.002478,0.007877,0.010917
2017-09-01,0.016533,0.004634,-0.002010
2017-10-01,0.027348,0.016988,0.011095
2017-11-01,0.015896,0.009954,0.006521
2017-12-01,0.028835,0.020392,0.015468
2018-01-01,0.048619,0.023839,0.009196
2018-02-01,-0.028867,-0.023144,-0.019631
2018-03-01,0.000646,0.004767,0.007273
2018-04-01,-0.016640,-0.016392,-0.016242
2018-05-01,0.019616,0.017395,0.016053
2018-06-01,0.021130,0.014557,0.010574
2018-07-01,0.015807,0.008568,0.004134
2018-08-01,0.024508,0.020306,0.017702
2018-09-01,0.016797,0.007313,0.001397
2018-10-01,-0.038490,-0.028666,-0.022444
2018-11-01,-0.020761,-0.009868,-0.003083
2018-12-01,-0.055625,-0.028572,-0.012019
2019-01-01,0.017356,0.014028,0.012081
2019-02-01,0.058289,0.036677,0.023971
2019-03-01,0.019480,0.022828,0.024862
2019-04-01,0.037232,0.023063,0.014499
2019-05-01,-0.015318,0.000238,0.009850
2019-06-01,0.014047,0.014119,0.014161
2019-07-01,0.038273,0.025859,0.018380
2019-08-01,-0.031344,-0.006237,0.009185
2019-09-01,0.030852,0.015496,0.006442
2019-10-01,0.000098,0.000223,0.000299
2019-11-01,0.044337,0.027850,0.017895
2019-12-01,0.024693,0.013501,0.006568
2020-01-01,0.033464,0.035020,0.036001
2020-02-01,0.001221,0.011913,0.018638
2020-03-01,-0.189177,-0.117178,-0.072661
2020-04-01,0.043186,0.029620,0.022286
2020-05-01,0.058874,0.037521,0.025742
2020-06-01,0.065083,0.042361,0.029421
2020-07-01,0.034764,0.026913,0.022287
2020-08-01,0.058935,0.034379,0.019734
2020-09-01,-0.006270,-0.003231,-0.001349
2020-10-01,0.017260,0.006287,-0.000476
2020-11-01,0.039541,0.028826,0.022106
2020-12-01,0.042601,0.027504,0.017874
2021-01-01,0.027953,0.015168,0.006815
2021-02-01,0.024915,0.009515,-0.000760
2021-03-01,0.008214,-0.001129,-0.007522
2021-04-01,0.060215,0.046972,0.037767
2021-05-01,0.007602,0.007647,0.007679
2021-06-01,0.018104,0.016879,0.016010
2021-07-01,0.030682,0.028151,0.026351
2021-08-01,0.021852,0.015249,0.010531
2021-09-01,-0.000845,-0.005395,-0.008683
2021-10-01,0.004522,0.003068,0.002010
2021-11-01,0.047447,0.039005,0.032842
2021-12-01,0.002654,0.000360,-0.001338
2022-01-01,-0.020520,-0.021237,-0.021771
2022-02-01,-0.029026,-0.022791,-0.018151
2022-03-01,-0.008926,-0.016967,-0.022886
2022-04-01,0.001183,-0.010253,-0.018792
2022-05-01,-0.078727,-0.059982,-0.045701
2022-06-01,-0.033694,-0.027789,-0.023447
2022-07-01,0.004647,0.010525,0.014802
2022-08-01,0.064474,0.038893,0.020462
2022-09-01,-0.072774,-0.068714,-0.065662
2022-10-01,-0.030912,-0.028135,-0.026065
2022-11-01,0.052851,0.049227,0.046538
2022-12-01,0.000108,-0.003010,-0.005339
2023-01-01,0.013765,0.018064,0.021292
2023-02-01,0.031470,0.017174,0.006522
2023-03-01,-0.025854,-0.011524,-0.000581
2023-04-01,0.039962,0.032139,0.026315
2023-05-01,0.007377,0.002585,-0.001030
2023-06-01,0.049422,0.035982,0.025760
2023-07-01,0.038760,0.028423,0.020380
2023-08-01,-0.011250,-0.010267,-0.009488
2023-09-01,0.013104,0.002830,-0.005293
2023-10-01,-0.054558,-0.047555,-0.041915
2023-11-01,0.044657,0.044459,0.044301
2023-12-01,0.050446,0.048867,0.047612
2024-01-01,0.025494,0.019196,0.014177
2024-02-01,0.043183,0.031194,0.021531
2024-03-01,0.031646,0.027132,0.023416
2024-04-01,-0.011233,-0.015757,-0.019510
2024-05-01,0.024008,0.022930,0.022028
2024-06-01,0.034365,0.031007,0.028192
2024-07-01,0.022688,0.023122,0.023488
2024-08-01,-0.010796,-0.005715,-0.001432
2024-09-01,0.026113,0.023450,0.021228
2024-10-01,0.030431,0.018670,0.008805
2024-11-01,0.023756,0.021690,0.019921
2024-12-01,0.013658,0.006557,0.000451
2025-01-01,-0.005222,-0.003759,-0.002484
2025-02-01,0.009895,0.013275,0.016211
2025-03-01,-0.058740,-0.048276,-0.039240
2025-04-01,-0.055327,-0.044182,-0.034753
2025-05-01,0.082209,0.064103,0.049112
2025-06-01,0.037693,0.034190,0.031198
2025-07-01,0.044204,0.035621,0.028244
2025-08-01,0.017859,0.017365,0.016933
2025-09-01,0.027316,0.024395,0.021843
2025-10-01,0.023036,0.020575,0.018414
2025-11-01,0.000772,0.002321,0.003688
2025-12-01,0.016636,0.012499,0.008860
